"CHA193005171",59,"It is unclear exactly when Watwood entered the game","FILENAME_TX","LINE_NUMBER_CT"
"CHA193006030",58,"$Bubbles Hargrave injured his ankle sliding into 3B","1930CHA.EVA.regular.comment.csv",2
"CHA193006040",4,"$Lyn Lary and Earle Combs both ended up at 3B","1930CHA.EVA.regular.comment.csv",3
"CHA193006070",7,"$lost in the sun","1930CHA.EVA.regular.comment.csv",4
"CHA193006110",41,"$Joe Cronin rounded 2B too far","1930CHA.EVA.regular.comment.csv",5
"CHA193006120",2,"$the throw hit Sam Rice","1930CHA.EVA.regular.comment.csv",6
"CHA193006140",61,"$Bill Cissell failed to touch the 2B bag","1930CHA.EVA.regular.comment.csv",7
"CHA193006160",49,"$a light rain started","1930CHA.EVA.regular.comment.csv",8
"CHA193006160",71,"$Bill Cissell held the ball while the runners took a extra base","1930CHA.EVA.regular.comment.csv",9
"CHA193007050",64,"$Goose Goslin's throw to 3B was wide and Bennie Tate tried to score","1930CHA.EVA.regular.comment.csv",10
"CHA193007071",69,"Ball bounced into the stands.","1930CHA.EVA.regular.comment.csv",11
"CHA193007071",80,"Ball hit off the wall.","1930CHA.EVA.regular.comment.csv",12
"CHA193007072",6,"$Cissell playing despite sinus infection because Kerr is in the hospital with a groin injury received in Washington.","1930CHA.EVA.regular.comment.csv",13
"CHA193007072",38,"Bad hop past Gehringer.","1930CHA.EVA.regular.comment.csv",14
"CHA193007072",67,"Akers' threw relay throw into visitor's dugout.","1930CHA.EVA.regular.comment.csv",15
"CHA193007080",39,"$Bennie Tate's sixth consecutive hit","1930CHA.EVA.regular.comment.csv",16
"CHA193007141",48,"$the White Sox argued about the walk; Greg Mulleavy flipped the ball to the mound; Bennie Tate picked up the ball and threw it away","1930CHA.EVA.regular.comment.csv",17
"CHA193007170",9,"$Johnny Watwood rounded 3B too far","1930CHA.EVA.regular.comment.csv",18
"CHA193007180",22,"$over the LF roof; first time ever","1930CHA.EVA.regular.comment.csv",19
"CHA193007202",46,"ej,bushd102,M,hildg101,Infield fly not called $White Sox manager Bush ejected by HP umpire Hildebrand for arguing that Ryan's pop-up to shallow center field should have been called an infield fly","1930CHA.EVA.regular.comment.csv",20
"CHA193007202",46,"$Rhyne left game due to injured hand from Cissell's hot smash","1930CHA.EVA.regular.comment.csv",21
"CHA193007202",55,"$Gaston replaced Smith with 3-0 count on Watwood and then completed walk which was charged to Smith","1930CHA.EVA.regular.comment.csv",22
"CHA193007240",26,"$Ad Liska injured when struck by the batted ball, which caromed to the visitor's dugout","1930CHA.EVA.regular.comment.csv",23
"CHA193007240",42,"$lost in the sun","1930CHA.EVA.regular.comment.csv",24
"CHA193007260",42,"$Carl Reynolds injured his leg rounding 1B","1930CHA.EVA.regular.comment.csv",25
"CHA193007270",48,"$Tate became ill due to the heat and collapsed chasing a foul","1930CHA.EVA.regular.comment.csv",26
"CHA193007270",67,"$Harris twisted ankle scoring.","1930CHA.EVA.regular.comment.csv",27
"CHA193007301",35,"$wind-blown popup","1930CHA.EVA.regular.comment.csv",28
"CHA193007302",73,"CC4: reconstructed bottom 9th ","1930CHA.EVA.regular.comment.csv",29
"CHA193009011",22,"Akers loses ball in the sun and it falls for a hit","1930CHA.EVA.regular.comment.csv",30
"CHA193009011",57,"Cissell runs into short left, makes catch, late throw to HP","1930CHA.EVA.regular.comment.csv",31
"CHA193009011",81,"Sorrell came in with 3-0 count on Cissell, walk charged to Wyatt","1930CHA.EVA.regular.comment.csv",32
"CHA193009110",5,"$the throw hit Tom Oliver on the back","1930CHA.EVA.regular.comment.csv",33
"CHA193009120",16,"$Bill Cissell fumbled Carl Reynolds' throw-in","1930CHA.EVA.regular.comment.csv",34
"CHA193009162",45,"no fielder for SF in CHA193009162","1930CHA.EVA.regular.comment.csv",35
"CHA193009162",62,"$Ed Walsh injured a finger catching a return throw","1930CHA.EVA.regular.comment.csv",36
"CHA193009170",51,"$lost in the sun","1930CHA.EVA.regular.comment.csv",37
"CHA193009200",77,"no fielder for SF in CHA193009200","1930CHA.EVA.regular.comment.csv",38
