"BSN192804210",58,"$Lefty O'Doul tripped over the 1B bag and was carried from the field","FILENAME_TX","LINE_NUMBER_CT"
"BSN192805220",17,"Cooney made wild throw to first.","1928BSN.EVN.regular.comment.csv",2
"BSN192806092",59,"$Pete Scott left with injured hand","1928BSN.EVN.regular.comment.csv",3
"BSN192806140",0,"$Left field bleachers added before season being removed; balls landing there now ground rule doubles","1928BSN.EVN.regular.comment.csv",4
"BSN192806140",2,"$into the bleachers","1928BSN.EVN.regular.comment.csv",5
"BSN192806140",28,"ej,hornr101,M,pfirc901,Balls and strikes Rogers Hornsby ejected by HP umpire Cy Pfirman","1928BSN.EVN.regular.comment.csv",6
"BSN192806140",49,"$into the bleachers","1928BSN.EVN.regular.comment.csv",7
"BSN192806140",50,"$into the bleachers","1928BSN.EVN.regular.comment.csv",8
"BSN192806140",56,"$into the bleachers","1928BSN.EVN.regular.comment.csv",9
"BSN192806212",46,"$into the bleachers","1928BSN.EVN.regular.comment.csv",10
"BSN192806212",56,"$into the bleachers","1928BSN.EVN.regular.comment.csv",11
"BSN192806212",58,"Reconstructed top of ninth from NY Times","1928BSN.EVN.regular.comment.csv",12
"BSN192806232",0,"$Construction on left field wall caused temporary ground rules.","1928BSN.EVN.regular.comment.csv",13
"BSN192806232",9,"$Ball landed in construction area.","1928BSN.EVN.regular.comment.csv",14
"BSN192806250",66,"$Babe Herman rounded 2B too far","1928BSN.EVN.regular.comment.csv",15
"BSN192807021",98,"Missing top of 12th to end, balance of game inferred from box score and from Boston Globe","1928BSN.EVN.regular.comment.csv",16
"BSN192807250",59,"ej,englw101,P,stard901,Call at 1B Woody English ejected by 1B umpire Dolly Stark","1928BSN.EVN.regular.comment.csv",17
"BSN192808081",0,"$Cloudy and hot","1928BSN.EVN.regular.comment.csv",18
"BSN192808081",45,"$Pid Purdy left injured","1928BSN.EVN.regular.comment.csv",19
"BSN192808082",0,"$Cloudy and hot","1928BSN.EVN.regular.comment.csv",20
"BSN192809052",41,"ej,muelh102,P,mccob104,Called third strike Heinie Mueller ejected by HP umpire Barry McCormick","1928BSN.EVN.regular.comment.csv",21
"BSN192809101",52,"$Eddie Brown called for interference at 2B","1928BSN.EVN.regular.comment.csv",22
"BSN192809111",2,"$Mel Ott struck Al Sporher on the top of the head with his back swing","1928BSN.EVN.regular.comment.csv",23
"BSN192809131",3,"$the ball rolled under fence","1928BSN.EVN.regular.comment.csv",24
"BSN192809141",42,"$Rain began","1928BSN.EVN.regular.comment.csv",25
"BSN192809142",0,"$Bob Smith starting both games of the double header","1928BSN.EVN.regular.comment.csv",26
"BSN192809142",66,"Game called for darkness","1928BSN.EVN.regular.comment.csv",27
"BSN192809151",68,"$Riggs Stephenson called for interference for knocking the ball out of Doc Farrell's glove","1928BSN.EVN.regular.comment.csv",28
"BSN192809152",33,"$Jack Smith out on appeal for leaving 3B early after apparently scoring on the play","1928BSN.EVN.regular.comment.csv",29
"BSN192809180",13,"Ball not hit deep enough to score Stephenson.","1928BSN.EVN.regular.comment.csv",30
"BSN192809222",21,"Beckman relieved Pyle with 3 balls on Cooney.","1928BSN.EVN.regular.comment.csv",31
"BSN192809241",10,"$Ben Cantwell left with injured right hand","1928BSN.EVN.regular.comment.csv",32
"BSN192809241",47,"$Carmen Hill struck on the elbow","1928BSN.EVN.regular.comment.csv",33
"BSN192809270",12,"ej,smitj106,P,jordl901,Called third strike Jack Smith ejected by HP umpire Lou Jorda","1928BSN.EVN.regular.comment.csv",34
