"ARI200904060",40,"$Lopez homered from both sides of the plate","FILENAME_TX","LINE_NUMBER_CT"
"ARI200904060",52,"$Clark homered from both sides of the plate; Clark and Lopez become the second pair of teammates to each switch hit homers in one game; Bernie Williams and Jorge Posada performed the feat as Yankees on 4/23/2000","2009ARI.EVN.regular.comment.csv",2
"ARI200904110",37,"$Justin Upton called for interference","2009ARI.EVN.regular.comment.csv",3
"ARI200904120",14,"$pitcher Haren caught line drive and threw to 2B Lopez, who walked over and tagged runner Pierre; Ethier did not tag up on the play and crossed the plate before the third out was made at 2B; the DBacks left the field and the umpires ruled that Ethier crossed the plate before the third out, which is a timing play; the umpires further told the managers that, if the Dbacks had appealed at 3B before leaving the field, then Ethier would have been the '4th out' of the inning (rule 7.10 (d)) and his out would have replaced Pierre's, thus negating the run","2009ARI.EVN.regular.comment.csv",4
"ARI200904140",31,"Cardinals pitcher Chris Carpenter left the game due to an injured back","2009ARI.EVN.regular.comment.csv",5
"ARI200904210",25,"Rockies pitcher Franklin Morales left the game due to an injured neck/shoulder","2009ARI.EVN.regular.comment.csv",6
"ARI200904240",23,"replay,3,byrne001,ARI,crawj901,PHO01,O,N,I,,H $Eric Byrne's fly hit the top of the LF wall and bounced back onto the field; DBacks manager Bob Melvin thought it hit the pole behind the wall for a home run; crew chief Jerry Crawford watched the replay and upheld the call as a ball in play","2009ARI.EVN.regular.comment.csv",7
"ARI200904250",47,"originally scored E5, changed next day to S5","2009ARI.EVN.regular.comment.csv",8
"ARI200904260",66,"Debut game for Esmerling Vasquez","2009ARI.EVN.regular.comment.csv",9
"ARI200905090",61,"$Line drive caught on short hop. Runner tagged at 3rd in case it was caught. Kearns threw home and Flores stretched like a first baseman to complete the play as Lopez dove for the plate","2009ARI.EVN.regular.comment.csv",10
"ARI200905130",1,"Debut game for Bryan Augenstein","2009ARI.EVN.regular.comment.csv",11
"ARI200905130",5,"Debut game for Gerardo Parra","2009ARI.EVN.regular.comment.csv",12
"ARI200905250",55,"ej,hundn001,P,coope901,Call at HP on force out ej,blacb001,M,coope901,Call at HP $HP umpire Eric Cooper ruled that Padres catcher Nick Hundley had taken his foot off the plate before catching the throw from Adrian Gonzalez; Hundley argued and was ejected by Cooper; Padres manager Bud Black was also ejected by Cooper for arguing","2009ARI.EVN.regular.comment.csv",13
"ARI200905290",55,"Debut game for Daniel Schlereth","2009ARI.EVN.regular.comment.csv",14
"ARI200905310",34,"Braves first baseman Casey Kotchman left the game due to an injured leg","2009ARI.EVN.regular.comment.csv",15
"ARI200906100",30,"originally scored as 3-base error, changed to triple next day","2009ARI.EVN.regular.comment.csv",16
"ARI200906120",49,"Astros third baseman Geoff Blum left the game due to an injured leg","2009ARI.EVN.regular.comment.csv",17
"ARI200906130",30,"Astros left fielder Carlos Lee left the game due to an injured leg","2009ARI.EVN.regular.comment.csv",18
"ARI200906250",16,"Diamondbacks left fielder Eric Byrnes left the game due to an injured hand/wrist","2009ARI.EVN.regular.comment.csv",19
"ARI200907060",25,"$Felipe Lopez called for interference","2009ARI.EVN.regular.comment.csv",20
"ARI200907080",69,"Debut game for Ryan Webb","2009ARI.EVN.regular.comment.csv",21
"ARI200907090",46,"Marlins pitcher Burke Badenhop left the game due to an injured knee","2009ARI.EVN.regular.comment.csv",22
"ARI200907290",57,"Phillies center fielder Shane Victorino left the game due to an injured knee","2009ARI.EVN.regular.comment.csv",23
"ARI200907290",62,"replay,8,parrg001,ARI,cousd901,PHO01,O,N,I,,H $the ball hit the top of the RF fence on the yellow padding and bounced up and back onto the field; the ball was ruled in play but Diamondbacks manager A.J. Hinch asked about it; crew chief Derryl Cousins watched the replay and upheld the call","2009ARI.EVN.regular.comment.csv",24
