"NYN197704140",27,"$Bob Forsch got in Ted Simmons way"FILENAME_TX","LINE_NUMBER_CT"

"NYN197704150",6,"$while four Cubs were trying to run down Felix Millan between 1B and 2B, Lee Mazzilli scored, using a sweeping slide to avoid the tag"1977NYN.EVN.regular.comment.csv",2

"NYN197704230",55,"ej,frazj101,M,willb901,Fair/foul call $Mets manager Frazier ejected by HP umpire Williams for arguing that Oliver was out on a ground ball that the ruled had hit Oliver's foot and was therefore foul"1977NYN.EVN.regular.comment.csv",3

"NYN197705150",74,"$Bill Russell called for interference for running into his own batted ball"1977NYN.EVN.regular.comment.csv",4

"NYN197706080",62,"ej,torrj101,M,monte901,Call at 1B Mets Manager Joe Torre ejected by 1B umpire Ed Montague"1977NYN.EVN.regular.comment.csv",5

"NYN197706160",54,"Debut game for Steve Henderson"1977NYN.EVN.regular.comment.csv",6

"NYN197706180",54,"Debut game for Craig Cacek"1977NYN.EVN.regular.comment.csv",7

"NYN197706290",6,"ej,krane101,P,pullf901,Balls and strikes (during at bat) Ed Kranepool ejected by HP umpire Frank Pulli"1977NYN.EVN.regular.comment.csv",8

"NYN197707130",0,"Suspend=19770916,,2,1,34"1977NYN.EVN.regular.comment.csv",9

"NYN197707130",43,"umpchange,6,ump2b,engeb901 umpchange,6,ump3b,tatat901 suspended,19770916,NYC17,blackout $Blackout; game suspended at 9:34 and called after 75 minutes; resumed 9/16 with two umpire changes"1977NYN.EVN.regular.comment.csv",10

"NYN197707172",10,"ej,vailm001,P,monte901,Call at 1B Mike Vail ejected by 1B umpire Ed Montague"1977NYN.EVN.regular.comment.csv",11

"NYN197707300",36,"ej,torrj101,M,davis901,Call at HP Mets Manager Joe Torre ejected by HP umpire Satch Davidson"1977NYN.EVN.regular.comment.csv",12

"NYN197708080",50,"$Mike Vail called for interference for running into his own bunt"1977NYN.EVN.regular.comment.csv",13

"NYN197709080",12,"Debut game for Luis Rosado"1977NYN.EVN.regular.comment.csv",14

"NYN197709080",69,"ej,hends001,P,westj901,Balls and strikes ej,torrj101,M,westj901,Balls and strikes Steve Henderson and Mets Manager Joe Torre ejected by HP umpire Joe West"1977NYN.EVN.regular.comment.csv",15

