"NYN198104180",5,"$off the LF pole","FILENAME_TX","LINE_NUMBER_CT"
"NYN198104180",15,"$Rusty Staub called for interference on popup by HP umpire Joe West","1981NYN.EVN.regular.comment.csv",2
"NYN198104180",69,"$Lee Mazzilli left with lower back spasms","1981NYN.EVN.regular.comment.csv",3
"NYN198105010",29,"$Juan Eichelberger left with stiff right shoulder","1981NYN.EVN.regular.comment.csv",4
"NYN198105020",56,"23 minute rain delay","1981NYN.EVN.regular.comment.csv",5
"NYN198105080",64,"ej,torrj101,M,colon901,Interference non-call $Mets manager Torre ejected by HP umpire Colosi for arguing that Landreaux should be out for running inside baseline which he did to avoid colliding with 1bman Stearns who was fielding bunt","1981NYN.EVN.regular.comment.csv",6
"NYN198105090",6,"ej,cottc101,C,colon901,Balk non-call $Mets coach Cottier ejected by 3B umpire Colosi for arguing that Sutcliffe had balked with Wilso on 1st","1981NYN.EVN.regular.comment.csv",7
"NYN198105260",70,"$Doug Flynn was screened by 2B umpire Dick Stello","1981NYN.EVN.regular.comment.csv",8
"NYN198105290",17,"$Joel Youngblood left with lower right back spasms","1981NYN.EVN.regular.comment.csv",9
"NYN198105290",54,"$Leon Durham left with pulled right hamstring","1981NYN.EVN.regular.comment.csv",10
"NYN198105290",63,"ej,amalj101,C,pryop901,Balls and strikes Cubs Coach Joey Amalfitano ejected by HP umpire Paul Pryor","1981NYN.EVN.regular.comment.csv",11
"NYN198106090",0,"$umpire Harry Wendelstedt missed game ill","1981NYN.EVN.regular.comment.csv",12
"NYN198106090",7,"$Mookie Wilson slammed into fence as he tried to catch the ball","1981NYN.EVN.regular.comment.csv",13
"NYN198106090",34,"$Hubie Brooks mishandled throw on rundown","1981NYN.EVN.regular.comment.csv",14
"NYN198106090",49,"$George Foster overthrew 3B; Paul Moskau backed up the play and did the same","1981NYN.EVN.regular.comment.csv",15
"NYN198106110",66,"Debut game for Ray Searage","1981NYN.EVN.regular.comment.csv",16
"NYN198108140",47,"$Frank Taveras called for interference","1981NYN.EVN.regular.comment.csv",17
"NYN198109162",26,"Debut game for Charlie Puleo","1981NYN.EVN.regular.comment.csv",18
"NYN198109210",62,"$Dave Parker left with sprained left ankle","1981NYN.EVN.regular.comment.csv",19
"NYN198109300",42,"$Leon Durham doubled but missed 1B, out on appeal","1981NYN.EVN.regular.comment.csv",20
"NYN198110010",70,"1:14 rain delay then game called (tie)","1981NYN.EVN.regular.comment.csv",21
"NYN198110040",42,"Debut game for Tom Wieghaus","1981NYN.EVN.regular.comment.csv",22
