"BAL196804100",55,"Debut game for Ed Sprague","FILENAME_TX","LINE_NUMBER_CT"
"BAL196804130",52,"Debut game for Ellie Hendricks","1968BAL.EVA.regular.comment.csv",2
"BAL196804140",65,"$Roger Nelson struck on right thumb by the ball","1968BAL.EVA.regular.comment.csv",3
"BAL196804140",81,"Debut game for Merv Rettenmund","1968BAL.EVA.regular.comment.csv",4
"BAL196804260",56,"320 ft","1968BAL.EVA.regular.comment.csv",5
"BAL196804270",0,"1:23 rain delay before start of game","1968BAL.EVA.regular.comment.csv",6
"BAL196804270",20,"ej,andrm101,P,valeb901,Call at 1B Mike Andrews ejected by 1B umpire Bill Valentine","1968BAL.EVA.regular.comment.csv",7
"BAL196804270",70,"$No-hitter by Tom Phoebus","1968BAL.EVA.regular.comment.csv",8
"BAL196805242",0,"22 minute rain delay from 10:10pm - 10:32pm","1968BAL.EVA.regular.comment.csv",9
"BAL196806270",46,"game called after 1:04 rain delay","1968BAL.EVA.regular.comment.csv",10
"BAL196807040",64,"$Bill Voss struck on right side of face; taken to hospital","1968BAL.EVA.regular.comment.csv",11
"BAL196807110",0,"$Earl Weaver's first game as Orioles manager","1968BAL.EVA.regular.comment.csv",12
"BAL196807110",27,"ej,fox-n101,C,stevj901,Balls and strikes $Senators Coach Nellie Fox ejected by HP umpire Johnny Stevens for arguing about check swing calls","1968BAL.EVA.regular.comment.csv",13
"BAL196808060",24,"33 minute rain delay","1968BAL.EVA.regular.comment.csv",14
"BAL196808060",78,"$Larry Haney out on appeal for missing 1B on a double","1968BAL.EVA.regular.comment.csv",15
"BAL196808071",41,"ej,olivt102,P,runge901,Weather conditions Tony Oliva ejected by 1B umpire Ed Runge; HP umpire Jim Odom told Oliva to hit despite the gusty winds; Oliva appealed to Runge, who told Oliva to talk to Odom; Oliva told Runge to talk to Odom and Was ejected","1968BAL.EVA.regular.comment.csv",16
"BAL196808071",45,"1:04 rain delay","1968BAL.EVA.regular.comment.csv",17
"BAL196808072",15,"ej,huntb105,C,runge901,Call at HP Orioles Coach Billy Hunter ejected by HP umpire Ed Runge","1968BAL.EVA.regular.comment.csv",18
"BAL196808080",77,"ej,rolaj101,P,ricej901,Balls and strikes Jim Roland ejected by HP umpire John Rice","1968BAL.EVA.regular.comment.csv",19
"BAL196808100",41,"game called after 1:15 rain delay","1968BAL.EVA.regular.comment.csv",20
"BAL196808240",60,"ej,stalg102,C,salea901,Arguing whether HR cleared fence Orioles Coach George Staller ejected by 2B umpire Al Salerno","1968BAL.EVA.regular.comment.csv",21
"BAL196808250",89,"ej,willd104,M,ashfe901,Call at 2B $Red Sox manager Williams ejected by 2B umpire Ashford for arguing that Buford was out trying to advance","1968BAL.EVA.regular.comment.csv",22
"BAL196809021",52,"44 minute rain delay","1968BAL.EVA.regular.comment.csv",23
"BAL196809022",56,"ej,weave801,M,nappl901,Balls and strikes Orioles Manager Earl Weaver ejected by HP umpire Larry Napp","1968BAL.EVA.regular.comment.csv",24
"BAL196809060",3,"Debut game for Carlos May","1968BAL.EVA.regular.comment.csv",25
"BAL196809070",30,"$Boog Powell jammed right wrist sliding home","1968BAL.EVA.regular.comment.csv",26
