"BAL201904040",2,"On-field Delay","FILENAME_TX","LINE_NUMBER_CT"
"BAL201904040",8,"Mound Visit","2019BAL.EVA.regular.comment.csv",2
"BAL201904040",38,"Injury Delay","2019BAL.EVA.regular.comment.csv",3
"BAL201904040",48,"Mound Visit","2019BAL.EVA.regular.comment.csv",4
"BAL201904040",50,"Mound Visit","2019BAL.EVA.regular.comment.csv",5
"BAL201904040",52,"Mound Visit","2019BAL.EVA.regular.comment.csv",6
"BAL201904040",55,"Mound Visit","2019BAL.EVA.regular.comment.csv",7
"BAL201904040",64,"Injury Delay","2019BAL.EVA.regular.comment.csv",8
"BAL201904040",65,"Mound Visit","2019BAL.EVA.regular.comment.csv",9
"BAL201904040",77,"Mound Visit","2019BAL.EVA.regular.comment.csv",10
"BAL201904040",84,"Mound Visit","2019BAL.EVA.regular.comment.csv",11
"BAL201904060",24,"Injury Delay","2019BAL.EVA.regular.comment.csv",12
"BAL201904060",30,"Mound Visit","2019BAL.EVA.regular.comment.csv",13
"BAL201904060",37,"Mound Visit","2019BAL.EVA.regular.comment.csv",14
"BAL201904060",42,"Mound Visit","2019BAL.EVA.regular.comment.csv",15
"BAL201904060",48,"Mound Visit","2019BAL.EVA.regular.comment.csv",16
"BAL201904060",65,"Mound Visit","2019BAL.EVA.regular.comment.csv",17
"BAL201904060",68,"Mound Visit","2019BAL.EVA.regular.comment.csv",18
"BAL201904060",73,"Mound Visit","2019BAL.EVA.regular.comment.csv",19
"BAL201904060",75,"Mound Visit $Orioles challenged call that Mullins was forced out at 2nd; call was overturne - safe at 2nd","2019BAL.EVA.regular.comment.csv",20
"BAL201904070",54,"Mound Visit","2019BAL.EVA.regular.comment.csv",21
"BAL201904070",60,"Mound Visit","2019BAL.EVA.regular.comment.csv",22
"BAL201904070",64,"Mound Visit","2019BAL.EVA.regular.comment.csv",23
"BAL201904070",67,"Mound Visit","2019BAL.EVA.regular.comment.csv",24
"BAL201904070",79,"Mound Visit","2019BAL.EVA.regular.comment.csv",25
"BAL201904070",80,"Injury Delay","2019BAL.EVA.regular.comment.csv",26
"BAL201904080",38,"Mound Visit","2019BAL.EVA.regular.comment.csv",27
"BAL201904080",44,"Mound Visit","2019BAL.EVA.regular.comment.csv",28
"BAL201904080",52,"Mound Visit","2019BAL.EVA.regular.comment.csv",29
"BAL201904080",68,"Mound Visit","2019BAL.EVA.regular.comment.csv",30
"BAL201904080",69,"Mound Visit","2019BAL.EVA.regular.comment.csv",31
"BAL201904080",73,"Mound Visit","2019BAL.EVA.regular.comment.csv",32
"BAL201904080",74,"Mound Visit","2019BAL.EVA.regular.comment.csv",33
"BAL201904080",78,"Injury Delay","2019BAL.EVA.regular.comment.csv",34
"BAL201904090",15,"Mound Visit","2019BAL.EVA.regular.comment.csv",35
"BAL201904090",57,"Injury Delay","2019BAL.EVA.regular.comment.csv",36
"BAL201904090",60,"Mound Visit","2019BAL.EVA.regular.comment.csv",37
"BAL201904090",64,"Mound Visit","2019BAL.EVA.regular.comment.csv",38
"BAL201904090",65,"Mound Visit","2019BAL.EVA.regular.comment.csv",39
"BAL201904090",70,"Mound Visit","2019BAL.EVA.regular.comment.csv",40
"BAL201904090",76,"Mound Visit","2019BAL.EVA.regular.comment.csv",41
"BAL201904100",26,"Mound Visit","2019BAL.EVA.regular.comment.csv",42
"BAL201904100",39,"Mound Visit","2019BAL.EVA.regular.comment.csv",43
"BAL201904100",40,"Mound Visit","2019BAL.EVA.regular.comment.csv",44
"BAL201904100",59,"Mound Visit","2019BAL.EVA.regular.comment.csv",45
"BAL201904110",21,"Mound Visit","2019BAL.EVA.regular.comment.csv",46
"BAL201904110",43,"Mound Visit","2019BAL.EVA.regular.comment.csv",47
"BAL201904110",51,"Injury Delay","2019BAL.EVA.regular.comment.csv",48
"BAL201904110",55,"Mound Visit","2019BAL.EVA.regular.comment.csv",49
"BAL201904110",56,"Mound Visit","2019BAL.EVA.regular.comment.csv",50
"BAL201904110",58,"Injury Delay Mound Visit","2019BAL.EVA.regular.comment.csv",51
"BAL201904110",65,"Mound Visit","2019BAL.EVA.regular.comment.csv",52
"BAL201904110",66,"Mound Visit","2019BAL.EVA.regular.comment.csv",53
"BAL201904110",72,"Mound Visit","2019BAL.EVA.regular.comment.csv",54
"BAL201904201",4,"Injury Delay","2019BAL.EVA.regular.comment.csv",55
"BAL201904201",13,"Mound Visit","2019BAL.EVA.regular.comment.csv",56
"BAL201904201",17,"Mound Visit","2019BAL.EVA.regular.comment.csv",57
"BAL201904201",48,"Mound Visit","2019BAL.EVA.regular.comment.csv",58
"BAL201904201",57,"Mound Visit","2019BAL.EVA.regular.comment.csv",59
"BAL201904201",69,"Mound Visit","2019BAL.EVA.regular.comment.csv",60
"BAL201904202",25,"Mound Visit","2019BAL.EVA.regular.comment.csv",61
"BAL201904202",73,"Mound Visit","2019BAL.EVA.regular.comment.csv",62
"BAL201904210",31,"Mound Visit","2019BAL.EVA.regular.comment.csv",63
"BAL201904210",35,"Injury Delay","2019BAL.EVA.regular.comment.csv",64
"BAL201904210",53,"$Dwight Smith left with injured leg","2019BAL.EVA.regular.comment.csv",65
"BAL201904210",57,"Mound Visit","2019BAL.EVA.regular.comment.csv",66
"BAL201904210",66,"Mound Visit","2019BAL.EVA.regular.comment.csv",67
"BAL201904210",70,"Mound Visit","2019BAL.EVA.regular.comment.csv",68
"BAL201904210",72,"Mound Visit","2019BAL.EVA.regular.comment.csv",69
"BAL201904210",76,"$Orioles challenged call that Rickard was not hit by pitch; call was overturned - hit by pitch","2019BAL.EVA.regular.comment.csv",70
"BAL201904220",25,"On-field Delay","2019BAL.EVA.regular.comment.csv",71
"BAL201904220",37,"Mound Visit","2019BAL.EVA.regular.comment.csv",72
"BAL201904220",53,"Mound Visit","2019BAL.EVA.regular.comment.csv",73
"BAL201904220",61,"Mound Visit","2019BAL.EVA.regular.comment.csv",74
"BAL201904220",73,"Mound Visit","2019BAL.EVA.regular.comment.csv",75
"BAL201904220",77,"Mound Visit","2019BAL.EVA.regular.comment.csv",76
