"LAN200910150",4,"$Shane Victorino tried to run into Dodgers first baseman James Loney after Loney threw to Rafael Furcal; Victorino chased Loney three or four feet onto the grass on the infield and tried to throw a shoulder and arm into Loney but was not successful; Furcal chased Victorino back to the 1B bag, tagging the runner just before he reached the bag safely","FILENAME_TX","LINE_NUMBER_CT"
"LAN200910150",46,"$the throw went into the Phillies dugout","2009NLCS.EVE.post.comment.csv",2
"LAN200910160",15,"$James Loney tried to drop the ball intentionally and get a double play, but he touch the ball first, so rule 6.05(l) was invoked and the batter was ruled out","2009NLCS.EVE.post.comment.csv",3
"LAN200910160",55,"$the ball sailed and bounced off the protective screen in front of the dugout","2009NLCS.EVE.post.comment.csv",4
"PHI200910190",81,"$only the third post-season game to end with an extra base hit by a team that was one out from losing; the others: 1947 World Series game 4 and the 1988 World Series game 1","2009NLCS.EVE.post.comment.csv",5
