"CAL197104060",0,"Debut for umpire Dave Phillips","FILENAME_TX","LINE_NUMBER_CT"
"CAL197104210",64,"ej,willd104,M,flahr901,Called strike 3 $Athletics manager Williams ejected by HP umpire Flaherty for arguing called strike 3 to Monday","1971CAL.EVA.regular.comment.csv",2
"CAL197105190",38,"$Debut game for Jim Strickland","1971CAL.EVA.regular.comment.csv",3
"CAL197106280",47,"missed squeeze","1971CAL.EVA.regular.comment.csv",4
"CAL197106280",72,"$Paul Splittorff: 118 pitches, 31 balls","1971CAL.EVA.regular.comment.csv",5
"CAL197106300",6,"Cookie Rojas right leg knotted up running out double","1971CAL.EVA.regular.comment.csv",6
"CAL197107170",14,"$Debut game for Bruce Christensen","1971CAL.EVA.regular.comment.csv",7
"CAL197108200",40,"$Debut game for Terry Ley","1971CAL.EVA.regular.comment.csv",8
"CAL197108250",58,"$Dick Billings called for interference","1971CAL.EVA.regular.comment.csv",9
"CAL197109090",12,"$Debut game for Billy Parker","1971CAL.EVA.regular.comment.csv",10
"CAL197109090",63,"$Debut game for Rudy Meoli","1971CAL.EVA.regular.comment.csv",11
"CAL197109131",35,"ej,stepj102,P,neudj901,Balls and strikes $Catcher Stephenson ejected by HP umpire Neudecker for arguing balls and strikes at end of 4th inning","1971CAL.EVA.regular.comment.csv",12
"CAL197109210",61,"$Mickey Rivers called for interference","1971CAL.EVA.regular.comment.csv",13
"CAL197109230",68,"$missed squeeze","1971CAL.EVA.regular.comment.csv",14
