"TEX201403310",68,"originally scored as DI, changed to SB on 4-08-2014"FILENAME_TX","LINE_NUMBER_CT"
"TEX201405170",58,"Rangers pitcher Alexi Ogando left the game due to an injured hand"2014TEX.EVA.regular.comment.csv",20

"TEX201405180",58,"replay,7,choim001,TEX,scotd901,ARL02,,Y,M,TOR,A $when Robinson Chirinos was called safe at 3B, Blue Jays manager John Gibbons challenged the ruling; it was overturned by replay"2014TEX.EVA.regular.comment.csv",21

"TEX201405200",57,"replay,7,frann001,SEA,kellj901,ARL02,,N,M,SEA,A $when Kyle Seager was called out at 3B, Mariners manager Lloyd McClendon challenged the ruling; it was upheld by replay"2014TEX.EVA.regular.comment.csv",22

"TEX201406040",56,"Orioles pitcher Bud Norris left the game due to an injured arm"2014TEX.EVA.regular.comment.csv",23

"TEX201406080",44,"Rangers second baseman Rougned Odor left the game due to an injured shoulder"2014TEX.EVA.regular.comment.csv",24

"TEX201406080",72,"replay,9,gimec001,TEX,cedeg901,ARL02,,Y,M,CLE,A $when Alex Rios was called safe at 2B, Indians manager Terry Francona challenged the ruling; the call was overturned by replay"2014TEX.EVA.regular.comment.csv",25

"TEX201406090",62,"umpchange,6,umphome,rippm901 umpchange,6,ump2b,(None) $Daniel Robertson fouled off the 1-1 pitch and the ball struck HP umpire Jim Wolf on the center of his mask; 2B umpire Mark Ripperger moved to HP"2014TEX.EVA.regular.comment.csv",26

"TEX201406240",42,"replay,6,kinsi001,DET,welkt901,ARL02,,Y,M,TEX,A $when Rajai Davis was called safe at 2B, Rangers manager Ron Washington challenged the ruling; the call was overturned by replay because Davis came off the bag"2014TEX.EVA.regular.comment.csv",27

"TEX201406280",47,"originally scored a double, changed to single plus advance on throw on 06-30-2014"2014TEX.EVA.regular.comment.csv",28

"TEX201406290",5,"$Elvis Andrus called for interference"2014TEX.EVA.regular.comment.csv",29

"TEX201407070",33,"replay,4,altuj001,HOU,millb901,ARL02,,Y,M,HOU,C $when Jose Altuve was called out at 1B, Astros manager Bo Porter challenged the ruling, the call was overturned by replay"2014TEX.EVA.regular.comment.csv",30

"TEX201407080",57,"replay,7,sprig001,HOU,millb901,ARL02,,N,M,HOU,A $when George Springer was called out at 2B, Astros manager Bo Porter challenged the ruling; the call was upheld by replay"2014TEX.EVA.regular.comment.csv",31

"TEX201407090",47,"replay,6,corpc001,HOU,millb901,ARL02,,N,M,TEX,O $when Carlos COrporan's fly ball was ruled fair on the LF line, Rangers manager Ron Washington challenged the ruling; the call Was upheld by replay"2014TEX.EVA.regular.comment.csv",32

"TEX201407100",35,"Rangers shortstop Elvis Andrus left the game due to an injured ankle"2014TEX.EVA.regular.comment.csv",33

"TEX201407110",16,"Rangers left fielder Jake Smolinski left the game due to an injured elbow"2014TEX.EVA.regular.comment.csv",34

"TEX201407120",67,"$Collin Cowgill left the game after being struck by the ball on a bunt attempt; he suffered facial and right thumb injuries"2014TEX.EVA.regular.comment.csv",35

"TEX201407250",30,"replay,4,martl004,TEX,onorb901,ARL02,,Y,M,OAK,A $when J.P. Arencibia was called safe at 1B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay"2014TEX.EVA.regular.comment.csv",36

"TEX201407250",57,"replay,7,andre001,TEX,onorb901,ARL02,,Y,M,OAK,C $when Elvis Andrus was called safe at 1B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay"2014TEX.EVA.regular.comment.csv",37

