"NY1195604180",6,"$the ball struck 2B umpire Stan Landes on foot","FILENAME_TX","LINE_NUMBER_CT"
"NY1195605160",3,"CST indicates strikeout, but official records for Kellert and Liddle do not","1956.EDN.regular.comment.csv",2
"NY1195605160",46,"$Don Mueller had stopped at 3B, Bill White rounded 2B too far","1956.EDN.regular.comment.csv",3
"NY1195605160",48,"$missed squeeze","1956.EDN.regular.comment.csv",4
"PIT195605190",21,"$struck on head","1956.EDN.regular.comment.csv",5
"MLN195606031",75,"ej,foilh101,P,delmv901,Infield fly call $Dick Groat dropped the infield fly as he collided with Bill Virdon; Gene Freese failed to tag Bobby Thomson sliding into 3B; Freese touched base, thinking it was a force; Hank Foiles ejected by HP umpire Vic Delmore","1956.EDN.regular.comment.csv",6
"PIT195606190",53,"It is pretty clear Thomas and Cole traded spots and then went back to their starting positions.  The papers did not specify when, but these two places seem reasonable","1956.EDN.regular.comment.csv",7
"PIT195606190",58,"ej,clemr101,P,conlj102,Call at 1B Roberto Clemente ejected by 1B umpire Jocko Conlan","1956.EDN.regular.comment.csv",8
"PIT195606200",5,"$bogus FLE5, but Mathews has error in this game","1956.EDN.regular.comment.csv",9
"PIT195606241",37,"$Hank Foiles struck on throwing hand by foul ball","1956.EDN.regular.comment.csv",10
"PIT195606241",58,"$Jim King left with sore shoulder","1956.EDN.regular.comment.csv",11
"PIT195606242",48,"$many delaying tactics by Pirates manager Bobby Bragan in changing outfielders, pitchers and catcher, all as separate events to delay until rain came","1956.EDN.regular.comment.csv",12
"PIT195606242",49,"$Game stopped for rain at 6:08pm; at 6:58pm, game was called since PA curfew would not let play continue past 7:00pm","1956.EDN.regular.comment.csv",13
"PIT195606300",80,"ej,wilsg101,P,dascf901,Bench jockeying ej,muelr101,C,secof101,Balls and strikes ej,rignb101,M,dascf901,Balls and strikes George Wilson ejected by HP umpire Frank Dascoli for bench jockeying; Giants manager Bill Rigney ejected by Dascoli; Giants Coach Ray Mueller ejected by 1B umpire Frank Secory","1956.EDN.regular.comment.csv",14
"MLN195607060",10,"$Henry Aaron was caught in a rundown between 3B and HP but got safely back to 3B, where Wes Covington had arrived","1956.EDN.regular.comment.csv",15
"PIT195607240",34,"complete speculation on the error","1956.EDN.regular.comment.csv",16
"PIT195608122",37,"ej,rignb101,M,gorea901,Call at 2B Giants manager Bill Rigney ejected by 2B umpire Artie Gore","1956.EDN.regular.comment.csv",17
"NY1195608192",38,"$off LF pole","1956.EDN.regular.comment.csv",18
"NY1195608192",53,"ej,coled101,P,donaa901,Called third strike Dick Cole ejected by HP umpire Augie Donatelli","1956.EDN.regular.comment.csv",19
"CHN195608262",57,"$ball stuck in vines","1956.EDN.regular.comment.csv",20
"MLN195608280",48,"$the ball bounced off Roberto Clemente's glove to Bill Virdon","1956.EDN.regular.comment.csv",21
"MLN195608290",25,"ej,bragb101,M,goetl901,Arguing Lew Burdette throwing spitball ej,coled101,P,goetl901,Arguing Lew Burdette throwing spitball ej,halld101,P,goetl901,Arguing Lew Burdette throwing spitball Dick Cole, Dick Hall and Pirates Manager Bobby Bragan ejected by 3B umpire Larry Goetz arguing that Lew Burdette was throwing illegal pitch","1956.EDN.regular.comment.csv",22
"MLN195608290",52,"ej,klinr102,P,dascf901,Call at HP ej,murtd101,C,dascf901,Call at HP Ron Kline and Pirates Coach Danny Murtaugh ejected by HP umpire Frank Dascoli","1956.EDN.regular.comment.csv",23
"NY1195609182",23,"$Red Schoendienst called for interference when he bumped Don Hoak as latter fielded ball","1956.EDN.regular.comment.csv",24
"PIT195608051",68,"$the ball deflected from Frank Thomas to Dick Groat","1956.EDN.regular.comment.csv",25
"PIT195608052",44,"Game called for rain","1956.EDN.regular.comment.csv",26
"PIT195609120",13,"$Frank Thomas called for interference for running into his own bunt","1956.EDN.regular.comment.csv",27
"MLN195607170",14,"ej,adcoj101,P,jackb901,Charging mound ej,gomer101,P,jackb901,Throwing at Joe Adcock $Ruben Gomez first pitch hit Joe Adcock on right wrist; Adcock started to walk down to 1B, stopped, said something to Gomez, then charged towards the Gomez; Gomez threw the ball which struck Adcock's left thigh; Gomez ran away at full speed towards NY dugout; Braves 3B Coach Johnny Riddle tried to stop Gomez with flying tackle but missed; Braves players ran into the Giants dugout; umpires, police and ushers also went to the dugout; Adcock and Gomez ejected by HP umpire Bill Jackowski","1956.EDN.regular.comment.csv",28
"PIT195606230",69,"$Dee Fondy's throw struck Spook Jacobs on the back","1956.EDN.regular.comment.csv",29
