"TEX199504270",26,"Debut game for Wilson Heredia","FILENAME_TX","LINE_NUMBER_CT"
"TEX199504270",57,"Debut game for Jose Alberro","1995TEX.EVA.regular.comment.csv",2
"TEX199504270",73,"ej,cookd001,P,masod901,Arguing HR Dennis Cook ejected by HP umpire Derrel Mason","1995TEX.EVA.regular.comment.csv",3
"TEX199505150",83,"Debut game for Chris Nichting","1995TEX.EVA.regular.comment.csv",4
"TEX199505200",34,"ej,hamid001,P,koscg901,Balls and strikes Darryl Hamilton ejected by HP umpire Greg Kosc","1995TEX.EVA.regular.comment.csv",5
"TEX199505200",35,"Debut game for Sid Roberson","1995TEX.EVA.regular.comment.csv",6
"TEX199505200",37,"ej,garnp001,M,koscg901,Intentional HBP ej,robes001,P,koscg901,Intentional HBP Sid Roberson and Brewers manager Phil Garner ejected by HP umpire Greg Kosc; this was Roberson's debut","1995TEX.EVA.regular.comment.csv",7
"TEX199505200",38,"Debut game for Ron Rightnowar","1995TEX.EVA.regular.comment.csv",8
"TEX199506080",72,"Debut game for Edgar Caceres","1995TEX.EVA.regular.comment.csv",9
"TEX199507200",22,"Debut game for Mark Brandenburg","1995TEX.EVA.regular.comment.csv",10
"TEX199507280",1,"Debut game for Scott Taylor","1995TEX.EVA.regular.comment.csv",11
"TEX199508080",6,"$Otis Nixon called for interference","1995TEX.EVA.regular.comment.csv",12
"TEX199508130",1,"ej,gastc101,M,craft901,Checked swing ej,whitd001,P,craft901,Checked swing Devon White and Blue Jays manager Cito Gaston ejected by 3B umpire terry Craft","1995TEX.EVA.regular.comment.csv",13
"TEX199509050",53,"ej,clarw001,P,phild901,Refusal to give ball to umpire $Clark ejected by 1B umpire Phillips for refusing to him the ball at the end of the inning","1995TEX.EVA.regular.comment.csv",14
"TEX199509050",65,"Debut game for Doug Brady","1995TEX.EVA.regular.comment.csv",15
"TEX199509050",85,"ej,oatej101,M,cedeg901,Call at 2B Rangers manager Johnny Oates ejected by 2B umpire Gary Cederstrom","1995TEX.EVA.regular.comment.csv",16
"TEX199509260",13,"$No sacrifice awarded","1995TEX.EVA.regular.comment.csv",17
