"OAK200210010",76,"$Olmedo Saenz ruptured right Achilles tendon running out foul dribbler","FILENAME_TX","LINE_NUMBER_CT"
"OAK200210020",39,"$Tony Fiore licked hand while on mound for ball 4","2002ALD1.EVE.post.comment.csv",2
"MIN200210040",1,"$first IPHR in Division Series play","2002ALD1.EVE.post.comment.csv",3
"MIN200210040",14,"$Mark Ellis and Scott Hatteberg collided","2002ALD1.EVE.post.comment.csv",4
"OAK200210060",80,"$Greg Myers was about to bat out of order when the Oakland coaches noticed","2002ALD1.EVE.post.comment.csv",5
