"CIN193604140",0,"Debut for umpire Larry Goetz $overflow crowd on the field on Opening Day","FILENAME_TX","LINE_NUMBER_CT"
"CIN193604140",5,"$into the overflow crowd","1936CIN.EVN.regular.comment.csv",2
"CIN193604140",17,"Debut for George McQuinn","1936CIN.EVN.regular.comment.csv",3
"CIN193604140",31,"$into the overflow crowd","1936CIN.EVN.regular.comment.csv",4
"CIN193604140",76,"$into the overflow crowd","1936CIN.EVN.regular.comment.csv",5
"CIN193604220",77,"$Lou Scoffic lost the ball in the sun","1936CIN.EVN.regular.comment.csv",6
"CIN193604270",47,"$onto the LF roof","1936CIN.EVN.regular.comment.csv",7
"CIN193604280",29,"$after a low throw to 1B, Kiki Cuyler turned the wrong way and was tagged out","1936CIN.EVN.regular.comment.csv",8
"CIN193605010",9,"$Kiki Cuyler out on appeal for missing 2B on his way back to 1B","1936CIN.EVN.regular.comment.csv",9
"CIN193605030",92,"$Freitas hurt a muscle in his pitching arm and had to leave the game.","1936CIN.EVN.regular.comment.csv",10
"CIN193605060",44,"$Cuyler spiked Stripp's R foot","1936CIN.EVN.regular.comment.csv",11
"CIN193606040",24,"$Leo Norris and Ernie Sulik collided","1936CIN.EVN.regular.comment.csv",12
"CIN193606040",73,"ej,wilsj105,M,mageg901,Call at 2B Phillies Manager Jimmie Wilson ejected by 3B umpire George Magerkurth","1936CIN.EVN.regular.comment.csv",13
"CIN193606050",61,"$Gene Moore and Wally Berger collided; Moore left with injured right shoulder","1936CIN.EVN.regular.comment.csv",14
"CIN193606061",10,"$Coscarart muffed C PKO throw but recovered and got out at HP.","1936CIN.EVN.regular.comment.csv",15
"CIN193606070",14,"$Ernie Lombardi muffed the third strike","1936CIN.EVN.regular.comment.csv",16
"CIN193606131",84,"$a fan interfered with Buddy Hassett","1936CIN.EVN.regular.comment.csv",17
"CIN193606290",0,"The crowd of 33,468 was the largest since 1928, and the overflow forced special ground rules.","1936CIN.EVN.regular.comment.csv",18
"CIN193606290",60,"$All three doubles went into the overflow crowd.","1936CIN.EVN.regular.comment.csv",19
"CIN193607020",22,"$Al Hollingsworth left with injured elbow","1936CIN.EVN.regular.comment.csv",20
"CIN193607042",44,"$Joe Medwick suffered injured left foot when spiked in HP collision","1936CIN.EVN.regular.comment.csv",21
"CIN193607052",11,"$into the overflow crowd","1936CIN.EVN.regular.comment.csv",22
"CIN193607100",15,"Walker went to third only to find out that Lombardi had held up and was standing on third base.  Lombardi then broke for home and was put out.","1936CIN.EVN.regular.comment.csv",23
