"ARI200604150",20,"originally scored 3-base error, changed 2 days later","FILENAME_TX","LINE_NUMBER_CT"
"ARI200604170",9,"$Eric Byrnes called for interference","2006ARI.EVN.regular.comment.csv",2
"ARI200604180",18,"Diamondbacks pitcher Russ Ortiz left the game due to an injured leg","2006ARI.EVN.regular.comment.csv",3
"ARI200605160",15,"Diamondbacks pitcher Orlando Hernandez left the game due to an injured back","2006ARI.EVN.regular.comment.csv",4
"ARI200605200",26,"Braves catcher Brian McCann left the game due to an injured foot/ankle","2006ARI.EVN.regular.comment.csv",5
"ARI200605240",27,"$Andy Green called for interference","2006ARI.EVN.regular.comment.csv",6
"ARI200606050",61,"ej,burrp001,P,diazl901,Balls and strikes Phillies left fielder Pat Burrell ejected by HP umpire Laz Diaz","2006ARI.EVN.regular.comment.csv",7
"ARI200606050",68,"Phillies catcher Mike Lieberthal left the game due to an injured leg","2006ARI.EVN.regular.comment.csv",8
"ARI200606230",39,"fan interference","2006ARI.EVN.regular.comment.csv",9
"ARI200606240",41,"originally single, changed to E4 on July 13","2006ARI.EVN.regular.comment.csv",10
"ARI200606240",80,"ej,melvb001,M,everm901,Balls and strikes ej,grees001,P,everm901,Balls and strikes Diamondbacks Shawn Green & Mgr Bob Melvin ejected by HP umpire Mike Everitt","2006ARI.EVN.regular.comment.csv",11
"ARI200606290",66,"ej,melvb001,M,kulpr901,Home run call Diamondbacks Manager Bob Melvin ejected by 2B umpire Ron Kulpa for disputing the home run, which hit just above the yellow line","2006ARI.EVN.regular.comment.csv",12
"ARI200607170",9,"ej,duncm001,C,herna901,Check swing $Dodgers First Base Coach Mariano Duncan ejected by 3B umpire Angel Hernandez for complaining about check swing calls; Manager Grady Little came out to argue, then Duncan realized he was ejected and stormed across the field; crew chief Randy Marsh intercepted Duncan who threw his hat at Hernandez (about 25 feet); Hernandez caught the hat, jogged to stands and threw hat to a fan; Total delay over 5 minutes","2006ARI.EVN.regular.comment.csv",13
"ARI200607190",30,"fan interference","2006ARI.EVN.regular.comment.csv",14
"ARI200607210",63,"ej,heltt001,P,hoyej901,Balls and strikes Rockies first baseman Todd Helton ejected by HP umpire James Hoye","2006ARI.EVN.regular.comment.csv",15
"ARI200608050",6,"Diamondbacks Jeff DaVanon left the game due to an injured foot/ankle","2006ARI.EVN.regular.comment.csv",16
"ARI200608070",40,"Diamondbacks first baseman Conor Jackson left the game due to an injured arm","2006ARI.EVN.regular.comment.csv",17
"ARI200608090",31,"$Shea Hillenbrand called for interference at 2B","2006ARI.EVN.regular.comment.csv",18
"ARI200608090",59,"fan interference","2006ARI.EVN.regular.comment.csv",19
"ARI200608260",33,"Dodgers pitcher Derek Lowe left the game due to an injured hand/wrist","2006ARI.EVN.regular.comment.csv",20
"ARI200609070",35,"Diamondbacks catcher Johnny Estrada left the game due to an injured arm","2006ARI.EVN.regular.comment.csv",21
"ARI200609100",28,"ej,larut101,M,culbf901,Balls and strikes $Cardinals manager LaRussa ejected by HP umpire Culbreth for arguing balls and strikes while Rolen was at bat","2006ARI.EVN.regular.comment.csv",22
"ARI200609150",52,"Diamondbacks shortstop Stephen Drew left the game due to an injured groin","2006ARI.EVN.regular.comment.csv",23
"ARI200609160",18,"ej,melvb001,M,emmep901,Foul tip call Diamondbacks Manager Bob Melvin ejected by HP umpire Paul Emmel","2006ARI.EVN.regular.comment.csv",24
"ARI200610010",79,"$ball deep in hole, throw to 1B wide, Adrian Gonzalez came off bag to get it, threw to 2B and Young appeared to beat throw as Greene did not tag him; Padres protested that play at 2B was force out, so 2B umpire Larry Poncino reversed call and ruled Young out","2006ARI.EVN.regular.comment.csv",25
