"SLN198504180",7,"Debut game for Vince Coleman","FILENAME_TX","LINE_NUMBER_CT"
"SLN198504220",57,"DWS: really one play, separate for now","1985SLN.EVN.regular.comment.csv",2
"SLN198505010",95,"ej,allen001,P,mcshj901,Arguing balk call $Allen ejected by 3B umpire McSherry for arguing balk call after he left game","1985SLN.EVN.regular.comment.csv",3
"SLN198505050",11,"Wild throw to 2B","1985SLN.EVN.regular.comment.csv",4
"SLN198505200",38,"$suicide squeeze","1985SLN.EVN.regular.comment.csv",5
"SLN198505210",68,"$intentional walk given on 3-2 count","1985SLN.EVN.regular.comment.csv",6
"SLN198505220",26,"$Tom Nieto ran into his own bunted ball","1985SLN.EVN.regular.comment.csv",7
"SLN198505220",40,"$Tom Lawless rounded 3B too far","1985SLN.EVN.regular.comment.csv",8
"SLN198505310",65,"$perfect game ended at 24th batter","1985SLN.EVN.regular.comment.csv",9
"SLN198506040",15,"Debut game for Randy Hunt","1985SLN.EVN.regular.comment.csv",10
"SLN198506220",82,"Debut game for Curt Ford","1985SLN.EVN.regular.comment.csv",11
"SLN198506300",10,"$wild pitch came directly back to Gary Carter","1985SLN.EVN.regular.comment.csv",12
"SLN198507060",2,"$bunt that was allowed to roll (hoping for foul ball)","1985SLN.EVN.regular.comment.csv",13
"SLN198507060",15,"$pitch got away but bounced off screen","1985SLN.EVN.regular.comment.csv",14
"SLN198507060",47,"$Willie McGee out on appeal for leaving 2B too soon","1985SLN.EVN.regular.comment.csv",15
"SLN198507070",67,"Debut game for Dennis Powell","1985SLN.EVN.regular.comment.csv",16
"SLN198507080",0,"Hot & humid","1985SLN.EVN.regular.comment.csv",17
"SLN198507080",11,"$Terry Pendleton looked runner back but took too long","1985SLN.EVN.regular.comment.csv",18
"SLN198507090",0,"88 degrees 20 minutes after game over","1985SLN.EVN.regular.comment.csv",19
"SLN198507090",53,"ej,colev001,P,westj901,Called third strike Vince Coleman ejected by HP umpire Joe West","1985SLN.EVN.regular.comment.csv",20
"SLN198507130",16,"$Andy Van Slyke left 3B too soon; out on appeal","1985SLN.EVN.regular.comment.csv",21
"SLN198508080",60,"$runners going on play; throw to 2B unsuccessful; return throw from shortstop Chris Speier hit Andy Van Slyke on helmet; Van Slyke started back to 2B, passed Jack Clark and was called out; Ryne Sandberg chased throw and threw to SS","1985SLN.EVN.regular.comment.csv",22
"SLN198508152",11,"ej,tannc101,M,ripps901,Call at 2B $Pirates manager Tanner ejected by 2B umpire Rippley for arguing that Clark was out at 2nd on Van Slyke's infield single","1985SLN.EVN.regular.comment.csv",23
"SLN198508152",37,"$missed squeeze attempt","1985SLN.EVN.regular.comment.csv",24
"SLN198508300",56,"DWS: may not be CS. If not, then reync001 has CS on 4-30 in NYN","1985SLN.EVN.regular.comment.csv",25
"SLN198509030",66,"Debut game for Paul O'Neill","1985SLN.EVN.regular.comment.csv",26
"SLN198509050",47,"missing fielders in SLN198509050 DWS: fielding credit invented","1985SLN.EVN.regular.comment.csv",27
