"PHI198110090",33,"$on the popped-up bunt, Gary Carter caught the ball with no call from HP umpire Bruce Froemming; Carter threw to 3B for 'force' and 3B umpire Jerry Crawford signaled 'out' (he said later 'on the batter'); Larry Parrish threw to 1B for another out; Jerry Manuel then ran to 2B and touched the bag to triple off Larry Bowa (called by 2B umpire John Kibler); then Kibler changed his mind and said he called time before the last out; after huddle, the triple play ruled by the umpires then negated by NL President Chub Feeney; 10 minute delay","FILENAME_TX","LINE_NUMBER_CT"
"PHI198110100",26,"$Jerry Manuel missed 2B bag on attempted DP","1981NLD1.EVE.post.comment.csv",2
"PHI198110100",81,"$Tug McGraw allowed popped-up bunt to drop","1981NLD1.EVE.post.comment.csv",3
