"BRO192604240",14,"rain started falling"FILENAME_TX","LINE_NUMBER_CT"

"BRO192604300",6,"$Bounce HR"1926BRO.EVN.regular.comment.csv",2

"BRO192604300",30,"$George Harper overslid the bag after an apparent steal"1926BRO.EVN.regular.comment.csv",3

"BRO192605040",32,"$on pickoff attempt, Jack Fournier sprained his ankle and spiked Doc Gautreau"1926BRO.EVN.regular.comment.csv",4

"BRO192606080",33,"$Jack Fournier dropped the throw at 1B so no DP as McWeeny picked up the ball and got the runner trying to score from second"1926BRO.EVN.regular.comment.csv",5

"BRO192606130",69,"Possibly a bunt"1926BRO.EVN.regular.comment.csv",6

"BRO192606140",44,"$Bounce home run"1926BRO.EVN.regular.comment.csv",7

"BRO192606140",72,"$Bounce home run"1926BRO.EVN.regular.comment.csv",8

"BRO192606170",57,"$Mike Gonzalez (coaching 3B) ran toward HP; Babe Herman threw to catcher Mickey O'Neil, who chased Gonzalez to the bench;  Sparky Adams scored, Kelly to 3B; HP Umpire Bill Klem refused to listen to protest"1926BRO.EVN.regular.comment.csv",9

"BRO192606270",22,"$No SH awarded on bunt"1926BRO.EVN.regular.comment.csv",10

"BRO192606300",27,"$Bounce home run"1926BRO.EVN.regular.comment.csv",11

"BRO192606300",30,"ej,hubec101,P,pfirc901,Call at 3B Clarence Huber ejected by HP umpire Cy Pfirman"1926BRO.EVN.regular.comment.csv",12

"BRO192607271",53,"$Babe Herman's throw in got past Bob McGraw but Charlie Hargreaves recovered; Pete Donohue collided with McGraw at HP and they had to be separated by HP Umpire Charlie Moran"1926BRO.EVN.regular.comment.csv",13

"BRO192607272",57,"$Chuck Dressen left injured"1926BRO.EVN.regular.comment.csv",14

"BRO192607300",68,"$Bill Marriott injured his left leg in the eighth"1926BRO.EVN.regular.comment.csv",15

"BRO192607310",14,"$Mike Gonzalez struck by foul ball and injured"1926BRO.EVN.regular.comment.csv",16

"BRO192608020",43,"$Babe Herman failed to touch 2B on his way to 3B and was out on appeal"1926BRO.EVN.regular.comment.csv",17

"BRO192608040",74,"$off the flagpole on top of the RF wall"1926BRO.EVN.regular.comment.csv",18

"BRO192608050",67,"$Rogers Hornsby tried to climb over the dugout into the stands after a fan who had been riding him but he was pulled back by teammates and HP Umpire Frank Wilson"1926BRO.EVN.regular.comment.csv",19

"BRO192608050",93,"$Zach Wheat limped home having twisted his ankle rounding 1B"1926BRO.EVN.regular.comment.csv",20

"BRO192608072",63,"$Taylor Douthit overslid 3B"1926BRO.EVN.regular.comment.csv",21

"BRO192608090",21,"$Johnny Butler dropped a popup"1926BRO.EVN.regular.comment.csv",22

"BRO192608090",73,"$Rube Ehrhardt failed to touch the bag"1926BRO.EVN.regular.comment.csv",23

"BRO192608100",8,"$Bounce home run"1926BRO.EVN.regular.comment.csv",24

"BRO192608100",74,"$Lee Meadows called out for stepping out of the batter's box"1926BRO.EVN.regular.comment.csv",25

"BRO192608100",76,"$Gus Felix' throw went into the Pirate dugout"1926BRO.EVN.regular.comment.csv",26

"BRO192608110",71,"ej,kellj106,C,sweej901,Balls and strikes Robins Coach Joe Kelley ejected by HP umpire Monroe Sweeney"1926BRO.EVN.regular.comment.csv",27

"BRO192608141",25,"$the ball was tossed back by the Boston bat boy; an argument ensued and the umpires decided that Doc Gautreau should stay at 3B instead of scoring"1926BRO.EVN.regular.comment.csv",28

"BRO192608300",72,"$Ty Tyson did not leave 1B and was tagged out"1926BRO.EVN.regular.comment.csv",29

"BRO192608300",74,"$Paul Florence failed to touch 1B and was out on appeal"1926BRO.EVN.regular.comment.csv",30

"BRO192609030",8,"$umpire Bob Hart sent all the Phillies from the bench to the clubhouse except manager Art Fletcher due to the noise"1926BRO.EVN.regular.comment.csv",31

"BRO192609030",45,"$Ray Pierce was hit on the left hand by Gus Felix' hit"1926BRO.EVN.regular.comment.csv",32

"BRO192609040",71,"$Bounce HR"1926BRO.EVN.regular.comment.csv",33

"BRO192609122",66,"ej,mcwed101,P,riglc901,Balls and strikes Doug McWeeny ejected by HP umpire Cy Rigler"1926BRO.EVN.regular.comment.csv",34

"BRO192609170",56,"$Carmen Hill's throw got past George Grantham"1926BRO.EVN.regular.comment.csv",35

"BRO192609190",61,"$Johhny Butler let the pop fly drop to get force"1926BRO.EVN.regular.comment.csv",36

"BRO192609250",38,"$Riggs Stephenson fell rounding 3B"1926BRO.EVN.regular.comment.csv",37

"BRO192609250",61,"game called for rain"1926BRO.EVN.regular.comment.csv",38

