"WAS201804140",47,"$Nationals challenged call that Sierra was out at third trying to stretch - call was upheld - out at third","2018WAS.EVN.regular.comment.csv",15
"WAS201804270",27,"$Nationals challenged call that Wieters was out at first to complete DP; call was overturned - force out, no DP","2018WAS.EVN.regular.comment.csv",16
"WAS201804290",14,"$Robbie Ray left with injured side","2018WAS.EVN.regular.comment.csv",17
"WAS201804300",57,"$Pirates challenged call that Turner was safe at 2nd; call was upheld - safe advancing on fly ball","2018WAS.EVN.regular.comment.csv",18
"WAS201805020",4,"$Pirates challenged call that Marte was out at 2nd on force; call was overturned - safe at 2nd on dropped catch error","2018WAS.EVN.regular.comment.csv",19
"WAS201805020",5,"$Pirates challenged call that Bell was out at 2nd on force; call was upheld - force out","2018WAS.EVN.regular.comment.csv",20
"WAS201805060",57,"$Nationals challenged call that Wieters was out at first to complete DP; call was overturned - force out, no DP","2018WAS.EVN.regular.comment.csv",21
"WAS201805060",73,"$Phillies challenged call that Hoskins was out at 1st; call was overturned - safe on throwing error","2018WAS.EVN.regular.comment.csv",22
"WAS201805150",0,"Suspend=20180618,,3,3,33","2018WAS.EVN.regular.comment.csv",23
"WAS201805150",50,"suspended,20180618,WAS11,rain umpchange,6,umphome,may-b901 umpchange,6,ump1b,hicke901 umpchange,6,ump2b,mealj901 umpchange,6,ump3b,segac901 $Game suspended 10:09 after deluge makes field unplayable, beginning at 9:01; completed on 06-18-2018, beginning at 5:07","2018WAS.EVN.regular.comment.csv",24
"WAS201805191",59,"$Nationals challenged call at second, claiming slide interference; call was upheld - force out, no interference","2018WAS.EVN.regular.comment.csv",25
"WAS201805192",5,"$Rich Hill left after two pitches with blisters; strikeout credited to Hill","2018WAS.EVN.regular.comment.csv",26
"WAS201805220",45,"$Nationals challenged call that Pirela was safe at home; call was overturned - out at home","2018WAS.EVN.regular.comment.csv",27
"WAS201805230",4,"$Padres challenged call that Hosmer was out at 2nd; call was upheld - out on caught stealing","2018WAS.EVN.regular.comment.csv",28
"WAS201805230",16,"$orignally scored as E6, changed to single on 05-24-2018","2018WAS.EVN.regular.comment.csv",29
"WAS201806050",53,"ej,smitm007,P,woodt901,Check swing $Smith ejected by 3b umpire Woodring for arguing check strike three","2018WAS.EVN.regular.comment.csv",30
"WAS201806060",21,"$Nationals challenged call that Rendon was out at first; call ws overturned - single","2018WAS.EVN.regular.comment.csv",31
"WAS201806060",37,"$Rays challenged call that Harper was safe at 2nd; call was overturned - single and out stretching","2018WAS.EVN.regular.comment.csv",32
"WAS201806180",3,"$Yankees challenged call that Hicks was out at second to complete double play; call was overturned - safe at 2nd","2018WAS.EVN.regular.comment.csv",33
"WAS201806230",25,"$Nationals challenged call that Santana was safe at first; call was overturned - out to complete double play","2018WAS.EVN.regular.comment.csv",34
"WAS201806230",53,"$Nationals challenged call that Franco was safe at home; call was upheld - safe at home","2018WAS.EVN.regular.comment.csv",35
"WAS201806240",69,"$Andrew Knapp left with an injured knee","2018WAS.EVN.regular.comment.csv",36
"WAS201806240",73,"$Nationals challenged call that Severino was out at 1st to complete double play; call was upheld - double play","2018WAS.EVN.regular.comment.csv",37
"WAS201806240",76,"$Maikel Franco left with back tightness after slipping on first base while beating out a hit in the top of the 8th","2018WAS.EVN.regular.comment.csv",38
"WAS201807020",23,"Mound Visit","2018WAS.EVN.regular.comment.csv",39
"WAS201807020",48,"Mound Visit","2018WAS.EVN.regular.comment.csv",40
"WAS201807020",61,"Mound Visit","2018WAS.EVN.regular.comment.csv",41
"WAS201807020",69,"Mound Visit","2018WAS.EVN.regular.comment.csv",42
"WAS201807020",70,"Mound Visit","2018WAS.EVN.regular.comment.csv",43
"WAS201807020",78,"Mound Visit","2018WAS.EVN.regular.comment.csv",44
"WAS201807030",22,"$Mitch Moreland left with an injured back","2018WAS.EVN.regular.comment.csv",45
"WAS201807030",27,"Injury Delay","2018WAS.EVN.regular.comment.csv",46
"WAS201807030",41,"Mound Visit","2018WAS.EVN.regular.comment.csv",47
"WAS201807030",43,"Mound Visit","2018WAS.EVN.regular.comment.csv",48
"WAS201807030",50,"Mound Visit","2018WAS.EVN.regular.comment.csv",49
"WAS201807040",9,"Injury Delay","2018WAS.EVN.regular.comment.csv",50
"WAS201807040",26,"Mound Visit","2018WAS.EVN.regular.comment.csv",51
"WAS201807040",64,"Mound Visit Mound Visit","2018WAS.EVN.regular.comment.csv",52
"WAS201807040",67,"Mound Visit","2018WAS.EVN.regular.comment.csv",53
"WAS201807040",72,"Mound Visit","2018WAS.EVN.regular.comment.csv",54
"WAS201807050",16,"Mound Visit","2018WAS.EVN.regular.comment.csv",55
"WAS201807050",42,"Mound Visit","2018WAS.EVN.regular.comment.csv",56
"WAS201807050",43,"Mound Visit","2018WAS.EVN.regular.comment.csv",57
"WAS201807050",51,"Mound Visit","2018WAS.EVN.regular.comment.csv",58
"WAS201807050",55,"Mound Visit","2018WAS.EVN.regular.comment.csv",59
"WAS201807050",57,"Mound Visit","2018WAS.EVN.regular.comment.csv",60
"WAS201807050",61,"Mound Visit","2018WAS.EVN.regular.comment.csv",61
"WAS201807050",69,"Mound Visit","2018WAS.EVN.regular.comment.csv",62
"WAS201807050",71,"Mound Visit","2018WAS.EVN.regular.comment.csv",63
"WAS201807050",76,"Mound Visit","2018WAS.EVN.regular.comment.csv",64
"WAS201807050",87,"Mound Visit","2018WAS.EVN.regular.comment.csv",65
"WAS201807060",18,"$fan interference","2018WAS.EVN.regular.comment.csv",66
"WAS201807060",19,"Mound Visit","2018WAS.EVN.regular.comment.csv",67
"WAS201807060",31,"Mound Visit","2018WAS.EVN.regular.comment.csv",68
"WAS201807060",40,"Mound Visit","2018WAS.EVN.regular.comment.csv",69
"WAS201807060",53,"Mound Visit","2018WAS.EVN.regular.comment.csv",70
"WAS201807060",54,"Injury Delay","2018WAS.EVN.regular.comment.csv",71
"WAS201807060",68,"Mound Visit","2018WAS.EVN.regular.comment.csv",72
"WAS201807070",27,"Mound Visit","2018WAS.EVN.regular.comment.csv",73
"WAS201807070",39,"On-field Delay","2018WAS.EVN.regular.comment.csv",74
"WAS201807070",41,"Mound Visit","2018WAS.EVN.regular.comment.csv",75
"WAS201807070",65,"Mound Visit","2018WAS.EVN.regular.comment.csv",76
"WAS201807070",68,"Mound Visit","2018WAS.EVN.regular.comment.csv",77
"WAS201807080",16,"Mound Visit","2018WAS.EVN.regular.comment.csv",78
"WAS201807080",19,"Mound Visit","2018WAS.EVN.regular.comment.csv",79
"WAS201807080",47,"Mound Visit","2018WAS.EVN.regular.comment.csv",80
"WAS201807080",50,"Mound Visit","2018WAS.EVN.regular.comment.csv",81
"WAS201807080",61,"Mound Visit","2018WAS.EVN.regular.comment.csv",82
"WAS201807080",72,"Mound Visit","2018WAS.EVN.regular.comment.csv",83
"WAS201807080",95,"Mound Visit","2018WAS.EVN.regular.comment.csv",84
"WAS201807200",21,"Mound Visit","2018WAS.EVN.regular.comment.csv",85
"WAS201807200",25,"$Ozzie Albies left an injured leg","2018WAS.EVN.regular.comment.csv",86
"WAS201807200",36,"Mound Visit","2018WAS.EVN.regular.comment.csv",87
"WAS201807200",48,"Mound Visit","2018WAS.EVN.regular.comment.csv",88
"WAS201807200",72,"Mound Visit","2018WAS.EVN.regular.comment.csv",89
"WAS201807220",19,"Mound Visit","2018WAS.EVN.regular.comment.csv",90
"WAS201807220",42,"$Braves challenged call that Culberson was out at second; call was upheld - out on caught stealing","2018WAS.EVN.regular.comment.csv",91
"WAS201807220",47,"Mound Visit","2018WAS.EVN.regular.comment.csv",92
"WAS201807220",55,"Mound Visit","2018WAS.EVN.regular.comment.csv",93
"WAS201807220",56,"Mound Visit","2018WAS.EVN.regular.comment.csv",94
"WAS201807220",61,"Mound Visit","2018WAS.EVN.regular.comment.csv",95
"WAS201807220",73,"Mound Visit","2018WAS.EVN.regular.comment.csv",96
"WAS201807220",84,"Mound Visit","2018WAS.EVN.regular.comment.csv",97
"WAS201807310",18,"Mound Visit","2018WAS.EVN.regular.comment.csv",98
"WAS201807310",39,"Mound Visit","2018WAS.EVN.regular.comment.csv",99
"WAS201807310",59,"Mound Visit","2018WAS.EVN.regular.comment.csv",100
"WAS201807310",84,"$Umpire review ball hit by Adams; call was overturned - home run, not double","2018WAS.EVN.regular.comment.csv",101
"WAS201807310",90,"Mound Visit","2018WAS.EVN.regular.comment.csv",102
"WAS201808010",5,"$Mets challenged call at second, claiming slide interference by Eaton; call was upheld - force out, no interference","2018WAS.EVN.regular.comment.csv",103
"WAS201808010",13,"$Phillip Evans left with an injured knee","2018WAS.EVN.regular.comment.csv",104
"WAS201808010",17,"Mound Visit","2018WAS.EVN.regular.comment.csv",105
"WAS201808010",49,"Mound Visit","2018WAS.EVN.regular.comment.csv",106
"WAS201808010",52,"Mound Visit","2018WAS.EVN.regular.comment.csv",107
"WAS201808010",63,"Mound Visit","2018WAS.EVN.regular.comment.csv",108
"WAS201808010",64,"Mound Visit","2018WAS.EVN.regular.comment.csv",109
"WAS201808010",66,"Injury Delay","2018WAS.EVN.regular.comment.csv",110
"WAS201808010",70,"Mound Visit","2018WAS.EVN.regular.comment.csv",111
"WAS201808010",71,"Mound Visit","2018WAS.EVN.regular.comment.csv",112
"WAS201808020",16,"Mound Visit","2018WAS.EVN.regular.comment.csv",113
"WAS201808020",20,"Injury Delay","2018WAS.EVN.regular.comment.csv",114
"WAS201808020",21,"Mound Visit","2018WAS.EVN.regular.comment.csv",115
"WAS201808020",21,"Mound Visit","2018WAS.EVN.regular.comment.csv",116
"WAS201808020",57,"Mound Visit","2018WAS.EVN.regular.comment.csv",117
"WAS201808020",82,"Mound Visit","2018WAS.EVN.regular.comment.csv",118
"WAS201808041",33,"Mound Visit","2018WAS.EVN.regular.comment.csv",119
"WAS201808041",35,"Mound Visit","2018WAS.EVN.regular.comment.csv",120
"WAS201808041",76,"Mound Visit","2018WAS.EVN.regular.comment.csv",121
"WAS201808041",77,"Mound Visit","2018WAS.EVN.regular.comment.csv",122
"WAS201808041",81,"Mound Visit","2018WAS.EVN.regular.comment.csv",123
"WAS201808042",24,"Mound Visit","2018WAS.EVN.regular.comment.csv",124
"WAS201808042",34,"Injury Delay","2018WAS.EVN.regular.comment.csv",125
"WAS201808042",35,"Mound Visit","2018WAS.EVN.regular.comment.csv",126
"WAS201808042",41,"On-field Delay Mound Visit","2018WAS.EVN.regular.comment.csv",127
"WAS201808042",41,"ej,barnt001,P,fleta901,Balls and strikes $Catcher Barnhart ejected by HP umpire Fletcher for arguing balls and strikes; ejection happened before batter reached first base","2018WAS.EVN.regular.comment.csv",128
"WAS201808042",49,"Mound Visit","2018WAS.EVN.regular.comment.csv",129
"WAS201808042",53,"Injury Delay","2018WAS.EVN.regular.comment.csv",130
"WAS201808042",59,"Mound Visit","2018WAS.EVN.regular.comment.csv",131
"WAS201808042",66,"$Warning issued to both teams","2018WAS.EVN.regular.comment.csv",132
"WAS201808042",74,"Mound Visit","2018WAS.EVN.regular.comment.csv",133
"WAS201808050",28,"Mound Visit","2018WAS.EVN.regular.comment.csv",134
"WAS201808050",44,"On-field Delay","2018WAS.EVN.regular.comment.csv",135
"WAS201808050",47,"Mound Visit","2018WAS.EVN.regular.comment.csv",136
"WAS201808050",54,"On-field Delay","2018WAS.EVN.regular.comment.csv",137
"WAS201808050",60,"Mound Visit","2018WAS.EVN.regular.comment.csv",138
"WAS201808071",16,"Max Fried left with an injured groin","2018WAS.EVN.regular.comment.csv",139
"WAS201808071",21,"On-field Delay $Turner thought ball was caught and returned to first, but Soto passed him and was out; originally scored as single which was removed on 08-08-2018","2018WAS.EVN.regular.comment.csv",140
"WAS201808071",24,"Mound Visit","2018WAS.EVN.regular.comment.csv",141
"WAS201808071",27,"Mound Visit","2018WAS.EVN.regular.comment.csv",142
"WAS201808071",34,"Mound Visit","2018WAS.EVN.regular.comment.csv",143
"WAS201808071",36,"Mound Visit","2018WAS.EVN.regular.comment.csv",144
"WAS201808071",47,"Mound Visit","2018WAS.EVN.regular.comment.csv",145
"WAS201808071",56,"Mound Visit","2018WAS.EVN.regular.comment.csv",146
"WAS201808072",28,"Mound Visit","2018WAS.EVN.regular.comment.csv",147
