"CLE195204180",58,"Debut game for Billy Hoeft","FILENAME_TX","LINE_NUMBER_CT"
"CLE195204201",35,"$Larry Doby left with pulled right thigh muscle","1952CLE.EVA.regular.comment.csv",2
"CLE195204202",3,"$Neil Berry was listed on the lineup card, but Tiger manager Red Rolfe sent Lipon out to shortstop, making him in effect an unannounced substitute","1952CLE.EVA.regular.comment.csv",3
"CLE195204202",48,"ej,battm101,P,soarh901,Balls and strikes ej,houta101,P,soarh901,Bench jockeying Matt Batts and Art Houtteman ejected by HP umpire Hank Soar","1952CLE.EVA.regular.comment.csv",4
"CLE195205140",51,"$Johnny Hopp pulled left thigh muscle rounding 2B","1952CLE.EVA.regular.comment.csv",5
"CLE195205220",0,"Light rain fell during game","1952CLE.EVA.regular.comment.csv",6
"CLE195205270",6,"$Marlin Stuart left with aching back","1952CLE.EVA.regular.comment.csv",7
"CLE195205270",25,"ej,kolld101,P,papaj901,Called third strike Don Kolloway ejected by HP umpire Joe Paparella","1952CLE.EVA.regular.comment.csv",8
"CLE195205270",63,"ej,eastl101,P,papaj901,Called third strike Luke Easter ejected by HP umpire Joe Paparella","1952CLE.EVA.regular.comment.csv",9
"CLE195206140",59,"ej,lopea102,M,hurle901,Balls and strikes $Indians manager Lopez ejected by HP umpire Hurley for arguing balls and strikes","1952CLE.EVA.regular.comment.csv",10
"CLE195206200",8,"$Mel Parnell left with sore shoulder","1952CLE.EVA.regular.comment.csv",11
"CLE195206221",0,"48 minute rain delay, from 3:16 to 4:04 sometime in game","1952CLE.EVA.regular.comment.csv",12
"CLE195207010",6,"Debut game for Dave Pope","1952CLE.EVA.regular.comment.csv",13
"CLE195207221",50,"$Vic Raschi left injured knee","1952CLE.EVA.regular.comment.csv",14
"CLE195207221",65,"$the ball deflected off Joe Collins' glove","1952CLE.EVA.regular.comment.csv",15
"CLE195207300",0,"22 minute rain delay before start of game","1952CLE.EVA.regular.comment.csv",16
"CLE195208171",49,"ej,lolls101,P,summb901,Balls and strikes ej,richp101,M,summb901,Balls and strikes Sherm Lollar and White Sox Manager Paul Richards ejected by HP umpire Bill Summers","1952CLE.EVA.regular.comment.csv",17
"CLE195209072",3,"Debut game for Jake Crawford","1952CLE.EVA.regular.comment.csv",18
"CLE195209090",34,"ej,lopea102,M,duffj901,Call at 2B $Indians Manager Lopez ejected by 2B umpire Duffy for arguing that Astroth was forced at 2nd on bunt","1952CLE.EVA.regular.comment.csv",19
"CLE195209090",78,"ej,clara102,P,berrc103,Called third strike ej,dykej101,M,berrc103,Called third strike ej,joose101,P,berrc103,Called third strike Allie Clark ejected by HP umpire Charlie Berry; Athletics Manager Jimmy Dykes and Eddie Joost ejected by Berry arguing","1952CLE.EVA.regular.comment.csv",20
"CLE195209140",0,"$overflow crowd on field between OF barrier and CF bleachers","1952CLE.EVA.regular.comment.csv",21
"CLE195209140",4,"$Bobby Avila and Larry Doby collided and fell","1952CLE.EVA.regular.comment.csv",22
"CLE195209140",10,"$Yogi Berra beat the throw but overslid 3B","1952CLE.EVA.regular.comment.csv",23
"CLE195209140",52,"ej,mcdoj104,P,hurle901,Bench jockeying Jim McDonald ejected by 3B umpire Eddie Hurley the Yankees thought Birdie Tebbetts moved his foot into the pitch but HP umpire Bill McGowan stood by his call after the umpires huddled","1952CLE.EVA.regular.comment.csv",24
"CLE195209140",76,"$Mickey Mantle injured knee breaking up DP","1952CLE.EVA.regular.comment.csv",25
"CLE195209220",50,"ej,lopea102,M,honoj901,Balls and strikes Indians manager Lopez ejected by HP umpire Honochick for arguing a called strike on Rosen","1952CLE.EVA.regular.comment.csv",26
"CLE195209230",14,"ej,richp101,M,stevj901,Call at HP $Chicago manager Richards ejected by HP umpire Stevens for arguing that Carrasquel was safe at home on Fox's double","1952CLE.EVA.regular.comment.csv",27
"CLE195209240",57,"ej,kretl101,P,summb901,Call at HP ej,richp101,M,summb901,Call at HP Lou Kretlow and White Sox Manager Paul Richards ejected by HP umpire Bill Summers","1952CLE.EVA.regular.comment.csv",28
