"NYN199504300",12,"ej,torrj101,M,ballf901,Interference call $Cardinals manager Torre ejected by HP umpire Ballina for arguing interference on Oquendo","FILENAME_TX","LINE_NUMBER_CT"
"NYN199505270",26,"ej,bautj001,P,hohnb901,Intentional HBP Jose Bautista ejected by HP umpire Bill Hohn","1995NYN.EVN.regular.comment.csv",2
"NYN199505280",20,"Debut game for Alberto Castillo","1995NYN.EVN.regular.comment.csv",3
"NYN199506170",1,"Debut game for Bill Pulsipher","1995NYN.EVN.regular.comment.csv",4
"NYN199506190",43,"ej,hundt001,P,monte901,Balls and strikes Todd Hundley ejected by HP umpire Ed Montague","1995NYN.EVN.regular.comment.csv",5
"NYN199507020",63,"Debut game for Aaron Ledesma","1995NYN.EVN.regular.comment.csv",6
"NYN199507280",46,"ej,marta001,P,hallt901,Balls and strikes Al Martin ejected by HP umpire Tom Hallion","1995NYN.EVN.regular.comment.csv",7
"NYN199507280",72,"Debut game for Paul Byrd","1995NYN.EVN.regular.comment.csv",8
"NYN199508230",69,"ej,greed101,M,darlg901,Arguing batted ball hit foul pole $Mets manager Dallas Green ejected by 1B umpire Gary Darling for arguing that foul ball hit by Chris Jones hit foul pole","1995NYN.EVN.regular.comment.csv",9
"NYN199509130",58,"Debut game for Billy Wagner","1995NYN.EVN.regular.comment.csv",10
"NYN199509250",56,"game called for rain ej,knigr001,C,davib902,Arguing for rain stoppage $Reds coach Knight ejected by 2B umpire Davidson for arguing game should have been called for rain; a few moments later it was","1995NYN.EVN.regular.comment.csv",11
"NYN199509300",73,"ej,greed101,M,pullf901,Two trips to mound with same batter $Mets manager Green ejected by 2B umpire Pulli for making making 2nd trip to mound with Kelly at bat: pitching coach had visited at start of at bat","1995NYN.EVN.regular.comment.csv",12
