"DET191805020",65,"pbp account ends here, rest deduced"FILENAME_TX","LINE_NUMBER_CT"

"DET191805020",73,"ej,younr103,P,morig101,Arguing called third strike"1918DET.EVA.regular.comment.csv",2

"DET191805030",76,"pbp account ends here, rest deduced"1918DET.EVA.regular.comment.csv",3

"DET191805040",70,"pbp account ends here, rest deduced"1918DET.EVA.regular.comment.csv",4

"DET191806170",61,"pbp account ends here, rest deduced"1918DET.EVA.regular.comment.csv",5

"DET191806170",75,"$Game called at 4:30 so Tigers could catch train - not rain"1918DET.EVA.regular.comment.csv",6

"DET191807311",47,"Two preceding entries were one play."1918DET.EVA.regular.comment.csv",7

"DET191808010",59,"pbp account ends here, rest deduced"1918DET.EVA.regular.comment.csv",8

