"BAL198904030",6,"Debut game for Steve Finley","FILENAME_TX","LINE_NUMBER_CT"
"BAL198904030",20,"$Steve Finley ran into wall and was injured on Wade Boggs' fly","1989BAL.EVA.regular.comment.csv",2
"BAL198904030",72,"Lee Smith left with unknown injury","1989BAL.EVA.regular.comment.csv",3
"BAL198904210",56,"Bob Melvin injured on passed ball","1989BAL.EVA.regular.comment.csv",4
"BAL198904230",37,"$Brady Anderson knocked ball from Tim Laudner; it rolled into dugout","1989BAL.EVA.regular.comment.csv",5
"BAL198904230",61,"$Bob Milacki faced only 27 batters","1989BAL.EVA.regular.comment.csv",6
"BAL198905070",0,"$Intermittent dark clouds and bright sun throughout game","1989BAL.EVA.regular.comment.csv",7
"BAL198905080",23,"$Walt Weiss dropped Jim Traber's liner, then threw him out","1989BAL.EVA.regular.comment.csv",8
"BAL198905080",28,"$Walt Weiss grounder hit 2B bag","1989BAL.EVA.regular.comment.csv",9
"BAL198905080",60,"$Terry Steinbach charged mound and both benches clear; 5 minute rhubarb","1989BAL.EVA.regular.comment.csv",10
"BAL198905110",27,"umpchange,4,ump2b,(None) $2B umpire Don Denkinger left with back trouble","1989BAL.EVA.regular.comment.csv",11
"BAL198905180",87,"$infield and outfield in for Bob Melvin","1989BAL.EVA.regular.comment.csv",12
"BAL198906090",33,"ej,ripkc801,C,johnm901,Balls and strikes $Orioles coach Ripken ejected by HP umpire Johnson for arguing balls and strikes after Traber struck out","1989BAL.EVA.regular.comment.csv",13
"BAL198906130",22,"$ball bounced into stands and prevented run from scoring","1989BAL.EVA.regular.comment.csv",14
"BAL198906130",29,"$Don Mattingly stopped at 3B but Mel Hall kept running","1989BAL.EVA.regular.comment.csv",15
"BAL198906140",48,"ej,robif103,M,barnl901,Balls and strikes $Orioles manager Robinson ejected by HP umpire Barnett for arguing balls and strikes after Melvin struck out","1989BAL.EVA.regular.comment.csv",16
"BAL198906150",11,"$Roberto Kelly brought back a ball over the wall","1989BAL.EVA.regular.comment.csv",17
"BAL198906150",25,"48 minute rain delay from 8:42 to 9:30","1989BAL.EVA.regular.comment.csv",18
"BAL198906150",41,"$Billy Ripken shifted to SS side of bag","1989BAL.EVA.regular.comment.csv",19
"BAL198906161",63,"$Brady Anderson bunted ball so hard it went into RF","1989BAL.EVA.regular.comment.csv",20
"BAL198906162",46,"ej,hendd001,P,joycj901,Balls and strikes Dave Henderson ejected by HP umpire Jim Joyce","1989BAL.EVA.regular.comment.csv",21
"BAL198906170",62,"38 minute rain delay","1989BAL.EVA.regular.comment.csv",22
"BAL198906180",52,"Debut game for Mickey Weston","1989BAL.EVA.regular.comment.csv",23
"BAL198906180",59,"$Bob Melvin got in rundown, Randy Milligan out trying to score","1989BAL.EVA.regular.comment.csv",24
"BAL198906300",62,"Debut game for Mike Smith","1989BAL.EVA.regular.comment.csv",25
"BAL198907020",30,"$Jay Tibbs hurt","1989BAL.EVA.regular.comment.csv",26
"BAL198907020",68,"$Craig Worthington  called for interference","1989BAL.EVA.regular.comment.csv",27
"BAL198907150",22,"DWS: these last two plays really one play","1989BAL.EVA.regular.comment.csv",28
"BAL198907150",95,"$home run right at pole, Angels manager Doug Rader and coach Marcel Lachemann argue","1989BAL.EVA.regular.comment.csv",29
"BAL198907160",0,"ej,raded103,M,kaisk901,Arguing last night's call during lineup exchange Angels manager Doug Rader ejected by HP umpire Ken Kaiser during the pregame meeting; Rader argued about the game-ending homer from the previous night, still saying it was a foul ball; 1:04 rain delay at start","1989BAL.EVA.regular.comment.csv",30
"BAL198908040",60,"$Brady Anderson called for interference for running into his own bunt","1989BAL.EVA.regular.comment.csv",31
"BAL198908050",4,"$Mike Devereaux brought back a home run","1989BAL.EVA.regular.comment.csv",32
"BAL198908060",65,"$Pete Harnisch late covering 1B","1989BAL.EVA.regular.comment.csv",33
"BAL198908070",9,"ej,ripkc001,P,cobld901,Balls and strikes Cal Ripken Jr ejected by HP umpire Drew Coble when the first two pitches were called strikes","1989BAL.EVA.regular.comment.csv",34
"BAL198908090",8,"$Mike Devereaux's ball at wall; Carmen Castillo hurt shoulder","1989BAL.EVA.regular.comment.csv",35
"BAL198908090",10,"Cal Ripken's 1200th consecutive game","1989BAL.EVA.regular.comment.csv",36
"BAL198908120",41,"ej,bumba001,C,hirsj901,Balk non-call $Red Sox coach Bumbry ejected by 2B umpire Hirschbeck for arguing pitcher had balked","1989BAL.EVA.regular.comment.csv",37
"BAL198908120",102,"ej,morgj101,M,hirsj901,Call at 1B ej,greem001,P,barnl901,Bench jockeying $Red Sox manager Morgan ejected by 2B umpire Hirschbeck for arguing that Boggs was safe at 1st; Red Sox Greenwell, not ingame, ejected by HP umpire Barnett for yelling from bench","1989BAL.EVA.regular.comment.csv",38
"BAL198908130",66,"$lights on to start the eighth","1989BAL.EVA.regular.comment.csv",39
"BAL198908170",7,"$Cal Ripken's 1208th consecutive game; third on all-time list","1989BAL.EVA.regular.comment.csv",40
