"TEX199904050",68,"Debut game for Luis Garcia Debut game for Masao Kida","FILENAME_TX","LINE_NUMBER_CT"
"TEX199905010",20,"Debut game for Kelly Dransfeldt","1999TEX.EVA.regular.comment.csv",2
"TEX199905140",76,"Debut game for Tommy Davis","1999TEX.EVA.regular.comment.csv",3
"TEX199905160",86,"Debut game for Ryan Glynn","1999TEX.EVA.regular.comment.csv",4
"TEX199905300",71,"Debut game for Cleatus Davidson","1999TEX.EVA.regular.comment.csv",5
"TEX199906120",6,"Debut game for Ruben Mateo","1999TEX.EVA.regular.comment.csv",6
"TEX199906220",84,"$Rodriguez, runner at 2nd, waited near 2nd to see if ball would be caught, but Greer was running hard from 1st and was called out for passing Rodriguez","1999TEX.EVA.regular.comment.csv",7
"TEX199906230",65,"Debut game for Chad Harville","1999TEX.EVA.regular.comment.csv",8
"TEX199907020",58,"ej,alicl001,P,fostm901,Called third strike ej,oatej101,M,fostm901,Called third strike Luis Alicea and Rangers manager Johnny Oates ejected by HP umpire Marty Foster","1999TEX.EVA.regular.comment.csv",9
"TEX199908090",0,"Debut for umpire Travis Katzenmeier","1999TEX.EVA.regular.comment.csv",10
"TEX199908090",52,"Debut game for Doug Davis","1999TEX.EVA.regular.comment.csv",11
"TEX199908200",0,"Debut for umpire Dan Iassogna","1999TEX.EVA.regular.comment.csv",12
"TEX199908240",90,"Debut game for Corey Lee","1999TEX.EVA.regular.comment.csv",13
"TEX199909180",67,"Debut game for Jim Morris","1999TEX.EVA.regular.comment.csv",14
"TEX199909190",64,"Debut game for Steve Cox","1999TEX.EVA.regular.comment.csv",15
