"MIL199204080",82,"Debut game for Pat Listach"FILENAME_TX","LINE_NUMBER_CT"

"MIL199204090",21,"Debut game for William Suero"1992MIL.EVA.regular.comment.csv",2

"MIL199205160",74,"Fan interference"1992MIL.EVA.regular.comment.csv",3

"MIL199205290",13,"Pat Listach left with a sprained left ankle"1992MIL.EVA.regular.comment.csv",4

"MIL199206070",67,"$HP umpire Shulock warned pitcher Bailes after 2-0 pitch was behind Hamilton"1992MIL.EVA.regular.comment.csv",5

"MIL199206070",68,"ej,bails001,P,shulj901,Throwing at batters after warning ej,fitzm001,P,shulj901,Throwing at batters after warning ej,rodgb102,M,shulj901,Throwing at batters after warning $Pitcher Bailes, catcher Fitzgerald and Angels manager Wathan ejected by HP umpire Shulock for 3 consecutive inside pitches to Fletcher after warning"1992MIL.EVA.regular.comment.csv",6

"MIL199206100",35,"ej,blanl001,P,koscg901,Called third strike Lance Blankenship ejected by HP umpire Greg Kosc"1992MIL.EVA.regular.comment.csv",7

"MIL199206200",43,"Chris Bosio left with a sore knee"1992MIL.EVA.regular.comment.csv",8

"MIL199207090",17,"Debut game for John Jaha"1992MIL.EVA.regular.comment.csv",9

"MIL199207100",12,"Mark Gubicza left with stiffness in the right arm"1992MIL.EVA.regular.comment.csv",10

"MIL199207210",82,"ej,flets001,P,kaisk901,Fighting ej,thond001,P,kaisk901,Fighting $Dickie Thon slid hard into 2B Scott Fletcher; both players came up swinging and both benches cleared; Thon and Fletcher ejected by HP umpire Ken Kaiser"1992MIL.EVA.regular.comment.csv",11

"MIL199207220",0,"Protest=H"1992MIL.EVA.regular.comment.csv",12

"MIL199207220",24,"$Brewers protested the game, claiming Kevin Brown balked when he picked off Pat Listach"1992MIL.EVA.regular.comment.csv",13

"MIL199207220",47,"DWS: previous two plays a continuation, combined here"1992MIL.EVA.regular.comment.csv",14

"MIL199207250",25,"$Bell ran out of baseline--he's still mad at getting hit a fight starts, Bell hurts back, he leaves, DP called, no GDP"1992MIL.EVA.regular.comment.csv",15

"MIL199207250",41,"George Bell left with a bruised back"1992MIL.EVA.regular.comment.csv",16

"MIL199207250",59,"Debut game for Alex Diaz"1992MIL.EVA.regular.comment.csv",17

"MIL199207260",57,"ej,abnes001,P,reilm901,Called third strike Shawn Abner ejected by HP umpire Mike Reilly"1992MIL.EVA.regular.comment.csv",18

"MIL199208060",74,"Debut game for Shawn Barton"1992MIL.EVA.regular.comment.csv",19

"MIL199208090",56,"ej,seitk001,P,garcr901,Call at 1B Kevin Seitzer ejected by 1B umpire Richie Garcia"1992MIL.EVA.regular.comment.csv",20

"MIL199208190",69,"ej,whitd001,P,craft901,Call at HP Devon White ejected by HP umpire Terry Craft"1992MIL.EVA.regular.comment.csv",21

"MIL199208200",88,"$Derek Bell called for interference"1992MIL.EVA.regular.comment.csv",22

"MIL199208220",6,"$Robin Yount out rounding 2B too far when throw got away from 3rd baseman Scott Livingston"1992MIL.EVA.regular.comment.csv",23

"MIL199209010",38,"ej,hallm001,P,merrd901,Checked swing Mel Hall ejected by 3B umpire Durwood Merrill arguing check swing call"1992MIL.EVA.regular.comment.csv",24

"MIL199209070",0,"$Umpire Terry Craft unable to start game due to travel"1992MIL.EVA.regular.comment.csv",25

"MIL199209090",2,"$Start of game delayed 32 minutes to allow late arrivals"1992MIL.EVA.regular.comment.csv",26

"MIL199209180",53,"Debut game for Jim Tatum"1992MIL.EVA.regular.comment.csv",27

"MIL199209180",69,"Debut game for Manny Alexander"1992MIL.EVA.regular.comment.csv",28

"MIL199209220",61,"Luis Sojo left with sprained ankle"1992MIL.EVA.regular.comment.csv",29

"MIL199209270",76,"ej,hendr001,P,koscg901,Balls and strikes ej,larut101,M,koscg901,Balls and strikes ej,welcb001,P,koscg901,Bench jockeying $Athletics Henderson ejected by HP umpire Kosc for arguing balls and strike after second pitch called a strike; for continuing the argument and Athletics Welch, not in game, ejected from the bench by Kosc"1992MIL.EVA.regular.comment.csv",30

