"CAL199604020",15,"Debut game for George Arias"FILENAME_TX","LINE_NUMBER_CT"

"CAL199604020",83,"$both benches cleared"1996CAL.EVA.regular.comment.csv",2

"CAL199604020",84,"ej,wickk001,P,evanj901,Throwing at batter $Pitcher Wickander ejected by HP umpire Evans for throwing pitch over head of Anderson"1996CAL.EVA.regular.comment.csv",3

"CAL199604070",69,"Debut game for Jose Munoz"1996CAL.EVA.regular.comment.csv",4

"CAL199604170",2,"Debut game for Miguel Cairo"1996CAL.EVA.regular.comment.csv",5

"CAL199605080",48,"fan interference"1996CAL.EVA.regular.comment.csv",6

"CAL199605090",67,"Debut game for Ben VanRyn"1996CAL.EVA.regular.comment.csv",7

"CAL199605110",68,"ej,murre001,P,kaisk901,Balls and strikes Eddie Murray ejected by HP umpire Ken Kaiser for arguing a called strike on the first pitch"1996CAL.EVA.regular.comment.csv",8

"CAL199606140",11,"Debut game for Darin Erstad"1996CAL.EVA.regular.comment.csv",9

"CAL199607030",23,"$Darin Erstad called for interference"1996CAL.EVA.regular.comment.csv",10

"CAL199607220",28,"$Mark Lewis out on appeal"1996CAL.EVA.regular.comment.csv",11

"CAL199608060",67,"ej,edmoj001,P,morrd901,Called third strike $Angels Edmonds ejected by HP umpire Morrison at end of 8th for arguing called third strike"1996CAL.EVA.regular.comment.csv",12

"CAL199608080",41,"ej,davic001,P,clara901,Called third strike ej,mcnaj801,M,clara901,Called third strike Chili Davis and Angels manager John McNamara ejected by HP umpire Al Clark"1996CAL.EVA.regular.comment.csv",13

"CAL199608090",40,"ej,carer001,C,mcclt901,Balls and strikes Angels coach Rod Carew ejected by Tim McClelland"1996CAL.EVA.regular.comment.csv",14

"CAL199608090",48,"Debut game for Jamie Bluma"1996CAL.EVA.regular.comment.csv",15

"CAL199608140",63,"Debut game for Pep Harris"1996CAL.EVA.regular.comment.csv",16

"CAL199609030",64,"Debut game for Gene Kingsale"1996CAL.EVA.regular.comment.csv",17

"CAL199609210",76,"ej,davic001,P,everm901,Called third strike Chili Davis ejected by HP umpire Mike Everitt"1996CAL.EVA.regular.comment.csv",18

