"CHA198404100",28,"ej,bernt001,P,bremn901,Call at 1B (Bumped umpire) Tony Bernazard ejected by 1B umpire Nick Bremigan when he bumped the umpire during an argument","FILENAME_TX","LINE_NUMBER_CT"
"CHA198404110",13,"Debut game for Jerry Willard","1984CHA.EVA.regular.comment.csv",2
"CHA198405070",22,"$Scott Fletcher called out for interference","1984CHA.EVA.regular.comment.csv",3
"CHA198405080",0,"Suspend=19840509,CHI10,3,3,102","1984CHA.EVA.regular.comment.csv",4
"CHA198405080",22,"$Ron Kittle out with sore ankle","1984CHA.EVA.regular.comment.csv",5
"CHA198405080",86,"$Jim Sundberg rounded 1B too far","1984CHA.EVA.regular.comment.csv",6
"CHA198405080",141,"suspended,19840509,CHI10,curfew $Game suspended for curfew and completed the next day","1984CHA.EVA.regular.comment.csv",7
"CHA198405080",194,"$Dave Stegman out due to coach's interference","1984CHA.EVA.regular.comment.csv",8
"CHA198405080",209,"$homer on 753rd pitch of game","1984CHA.EVA.regular.comment.csv",9
"CHA198405130",5,"Debut game for Daryl Boston","1984CHA.EVA.regular.comment.csv",10
"CHA198405290",38,"ej,cox-b103,M,brinj901,Balk non-call (quick pitch) Blue Jays manager Bobby Cox ejected by 1B umpire Joe Brinkman; Cox complained that Lamarr Hoyt was not stopping in his set potition with the runner on 1B","1984CHA.EVA.regular.comment.csv",11
"CHA198406040",38,"upper deck","1984CHA.EVA.regular.comment.csv",12
"CHA198406040",41,"$Rod Carew called for interference","1984CHA.EVA.regular.comment.csv",13
"CHA198406080",19,"$Dropped third strike; Marc Hill stepped on the plate","1984CHA.EVA.regular.comment.csv",14
"CHA198406270",45,"ej,larut101,M,clara901,Balk non-call $White Sox manager LaRussa ejected by HP umpire Clark for arguing that Moore had balked","1984CHA.EVA.regular.comment.csv",15
"CHA198407020",17,"Debut game for Doug Baker","1984CHA.EVA.regular.comment.csv",16
"CHA198407050",49,"ej,corrp102,M,mckej901,HBP call $Indians manager Corrales ejected by HP umpire McKean McKean arguing HBP call","1984CHA.EVA.regular.comment.csv",17
"CHA198407050",83,"$Jerry Hairston called for interference at 2B","1984CHA.EVA.regular.comment.csv",18
"CHA198407070",41,"ej,larut101,M,morrd901,Balk White Sox manager Tony LaRussa ejected by HP umpire Dan Morrison","1984CHA.EVA.regular.comment.csv",19
"CHA198407280",74,"ej,duncd101,C,bremn901,Balls and strikes White Sox coach Dave Duncan ejected by HP umpire Nick Bremigan","1984CHA.EVA.regular.comment.csv",20
"CHA198408010",24,"On the roof","1984CHA.EVA.regular.comment.csv",21
"CHA198408010",41,"On the roof","1984CHA.EVA.regular.comment.csv",22
"CHA198408150",31,"ej,larut101,M,mccol901,Balls and strikes $White Sox manager LaRussa ejected by HP umpire McCoy for arguing balls and strikes in the 3rd inning","1984CHA.EVA.regular.comment.csv",23
"CHA198408310",59,"ej,cruzj002,P,younl901,Called third strike (Flipped bat) Julio Cruz ejected by HP umpire Larry Young when he flipped his bat arguing balls and strikes","1984CHA.EVA.regular.comment.csv",24
"CHA198409030",7,"ej,almob001,P,garcr901,Balls and strikes Bill Almon ejected by HP umpire Richie Garcia","1984CHA.EVA.regular.comment.csv",25
"CHA198409030",16,"Debut game for Steve Kiefer","1984CHA.EVA.regular.comment.csv",26
"CHA198409040",11,"Carlton Fisk injured","1984CHA.EVA.regular.comment.csv",27
"CHA198409210",57,"upper deck","1984CHA.EVA.regular.comment.csv",28
