"KCA201504060",52,"Royals pitcher Yordano Ventura left the game due to an injured hand","FILENAME_TX","LINE_NUMBER_CT"
"KCA201504170",55,"replay,7,reddj001,OAK,joycj901,KAN06,,N,M,OAK,C $Brett Lawrie slid into Alcides Escobar at 2B; both benches cleared; Escobar left the game due to an injured knee; when Lawrie was called out, Athletics manager Bob Melvin challenged the ruling; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",2
"KCA201504180",28,"ej,venty001,P,joycj901,Intentional HBP $both benches cleared; Royals pitcher Yordano Ventura ejected by HP umpire Jim Joyce","2015KCA.EVA.regular.comment.csv",3
"KCA201504180",44,"Athletics pitcher Jesse Hahn left the game due to an injured hand","2015KCA.EVA.regular.comment.csv",4
"KCA201504180",56,"replay,8,zobrb001,OAK,joycj901,KAN06,,Y,M,OAK,C $when Ben Zobrist was called out at 1B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",5
"KCA201504190",9,"ej,eilad001,C,gibsg901,Intentional HBP ej,yoste001,M,gibsg901,Intentional HBP $both teams warned by HP umpire Greg Gibson; Royals pitching coach Dave Eiland ejected by Gibson; Royals manager Ned Yost came onto the field after being told not to do so and was ejected by Gibson","2015KCA.EVA.regular.comment.csv",6
"KCA201504190",41,"Royals second baseman Omar Infante left the game due to an injured groin","2015KCA.EVA.regular.comment.csv",7
"KCA201504190",63,"ej,herrk001,P,gibsg901,Throwing at batter ej,wakad001,C,gibsg901,Throwing at batter ej,escoa003,P,gibsg901,Throwing at batter Royals Kelvin Herrera ejected by HP umpire Greg Gibson after throwing behind Brett Lawrie; Alcides Escobar ejected by Gibson from the bench; Escobar had been injured by a hard slide by Lawrie two days before; acting manager Don Wakamatsu automatically ejected by Gibson","2015KCA.EVA.regular.comment.csv",8
"KCA201504200",42,"replay,6,dozib001,MIN,nelsj901,KAN06,F,N,U,,H $Brian Dozier's fly ball down the LF line was ruled a foul ball; crew chief Jeff Nelson requested a review; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",9
"KCA201505020",51,"replay,7,kinsi001,DET,scotd901,KAN06,,N,M,DET,B $when Anthony Gose was called out at 2B, Tigers manager Brad Ausmus challenged the ruling; the call was upheld by replay saying that Gose did not retouch 2B on his way back to 1B","2015KCA.EVA.regular.comment.csv",10
"KCA201505030",41,"Tigers shortstop Jose Iglesias left the game due to an injured groin","2015KCA.EVA.regular.comment.csv",11
"KCA201505160",46,"replay,5,escoa003,KCA,welkb901,KAN06,,Y,M,NYA,C $when Paulo Orlando was called safe at 2B, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",12
"KCA201505170",54,"Yankees first baseman Mark Teixeira left the game due to an injured foot","2015KCA.EVA.regular.comment.csv",13
"KCA201505230",35,"Royals third baseman Mike Moustakas left the game due to an injured shoulder","2015KCA.EVA.regular.comment.csv",14
"KCA201505230",48,"$Game called for rain","2015KCA.EVA.regular.comment.csv",15
"KCA201506020",56,"replay,8,ramij003,CLE,wendh902,KAN06,,N,M,KCA,C $when Jose Ramirez was called safe at 1B, Royals manager Ned Yost challenged the ruling; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",16
"KCA201506040",72,"$Game called for rain","2015KCA.EVA.regular.comment.csv",17
"KCA201506050",7,"replay,1,mousm001,KCA,culbf901,KAN06,,Y,M,TEX,A $when Mike Moustakas was called safe at 2B, Rangers manager Jeff Banister challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",18
"KCA201506050",56,"replay,7,hosme001,KCA,culbf901,KAN06,,N,M,TEX,C $when Eric Hosmer was called safe at 1B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay","2015KCA.EVA.regular.comment.csv",19
"KCA201506170",53,"replay,6,escoa003,KCA,nelsj901,KAN06,,Y,M,MIL,C $when Alcides Escobar was called safe at 1B, Brewers manager Craig Counsell challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",20
"KCA201506190",2,"replay,1,bettm001,BOS,hallt901,KAN06,,Y,M,BOS,C $when Mookie Betts was called out at 1B, Red Sox manager John Farrell challenged the ruling; the call was overturned by replay","2015KCA.EVA.regular.comment.csv",21
