"COL200704030",83,"Debut game for Brian Barden","FILENAME_TX","LINE_NUMBER_CT"
"COL200704160",65,"Debut game for Zach McClellan","2007COL.EVN.regular.comment.csv",2
"COL200704180",34,"Rockies pitcher Rodrigo Lopez left the game due to an injured foot/ankle","2007COL.EVN.regular.comment.csv",3
"COL200704290",59,"$13th unassisted triple play in history","2007COL.EVN.regular.comment.csv",4
"COL200705100",36,"$DP awarded when Molina slid way out of baseline to interfere with Tulowitzki","2007COL.EVN.regular.comment.csv",5
"COL200705110",54,"$Josh Fogg called for interference for running outside the baseline","2007COL.EVN.regular.comment.csv",6
"COL200705130",64,"$cycle for Fred Lewis","2007COL.EVN.regular.comment.csv",7
"COL200705160",17,"Debut game for Mark Reynolds","2007COL.EVN.regular.comment.csv",8
"COL200705180",65,"Debut game for Darren Clarke","2007COL.EVN.regular.comment.csv",9
"COL200705290",28,"Cardinals catcher Yadier Molina left the game due to an injured hand/wrist","2007COL.EVN.regular.comment.csv",10
"COL200706010",39,"Rockies left fielder Matt Holliday left the game due to an injured head","2007COL.EVN.regular.comment.csv",11
"COL200706020",38,"Rockies shortstop Troy Tulowitzki left the game due to an injured groin","2007COL.EVN.regular.comment.csv",12
"COL200706050",61,"ej,berkl001,P,rapue901,Checked swing Astros first baseman Lance Berkman ejected by 3B umpire Ed Rapuano","2007COL.EVN.regular.comment.csv",13
"COL200706050",66,"ej,garnp001,M,rapue901,Arguing about pitcher throwing at batter Astros Manager Phil Garner ejected by 3B umpire Ed Rapuano","2007COL.EVN.regular.comment.csv",14
"COL200706060",62,"ej,willw001,P,buckc901,Intentional HBP Astros pitcher Woody Williams ejected by HP umpire CB Bucknor","2007COL.EVN.regular.comment.csv",15
"COL200706060",68,"Debut game for Sean Barker","2007COL.EVN.regular.comment.csv",16
"COL200706150",23,"$fan interference","2007COL.EVN.regular.comment.csv",17
"COL200706170",47,"$27th ball hit into the right field third deck at Coors Field","2007COL.EVN.regular.comment.csv",18
"COL200706170",61,"ej,maddj801,M,barrt901,Balls and strikes Devil Rays Manager Joe Maddon ejected by HP umpire Ted Barrett for arguing a check swing on Matt Holliday; Maddon went to the mound and waited for Barrett to come out and then said the things that got him ejected","2007COL.EVN.regular.comment.csv",19
"COL200707020",52,"Rockies pitcher Jason Hirsh left the game due to an injured foot/ankle","2007COL.EVN.regular.comment.csv",20
"COL200707070",60,"Debut game for Anderson Garcia","2007COL.EVN.regular.comment.csv",21
"COL200707080",56,"50 minute rain delay; tarp crew lost tarp to wind as they were covering the infield; Phillies players and two umpires went onto field to help","2007COL.EVN.regular.comment.csv",22
"COL200707240",19,"Padres pitcher Chris Young left the game due to an injured chest","2007COL.EVN.regular.comment.csv",23
"COL200708070",16,"Debut game for Edwin Bellorin","2007COL.EVN.regular.comment.csv",24
"COL200708070",33,"Rockies catcher Edwin Bellorin left the game due to an injured leg","2007COL.EVN.regular.comment.csv",25
"COL200708080",10,"$Graffanino tore ACL on this play, surgery in few days","2007COL.EVN.regular.comment.csv",26
"COL200708110",18,"Debut game for Ian Stewart","2007COL.EVN.regular.comment.csv",27
"COL200708120",20,"$Ryan Theriot called out for interference when the throw hit him on the back as he ran to 1B","2007COL.EVN.regular.comment.csv",28
"COL200709040",68,"ej,wilsb001,P,mealj901,Intentional HBP ej,bochb002,M,mealj901,Intentional HBP Giants pitcher Brian Wilson & Manager Bruce Bochy ejected by HP umpire Jerry Meals","2007COL.EVN.regular.comment.csv",29
"COL200709050",69,"Debut game for Eugenio Velez","2007COL.EVN.regular.comment.csv",30
"COL200709070",22,"Rockies pitcher Elmer Dessens left the game due to an injured leg","2007COL.EVN.regular.comment.csv",31
"COL200709080",57,"Rockies center fielder Willy Taveras left the game due to an injured leg","2007COL.EVN.regular.comment.csv",32
"COL200709080",58,"Rockies second baseman Kazuo Matsui left the game due to an injured leg","2007COL.EVN.regular.comment.csv",33
"COL200709160",64,"Debut game for Seth Smith","2007COL.EVN.regular.comment.csv",34
"COL200709300",16,"Diamondbacks right fielder Justin Upton left the game due to an injured arm","2007COL.EVN.regular.comment.csv",35
"COL200710010",0,"$One game playoff to decide the NL Wild Card team","2007COL.EVN.regular.comment.csv",36
"COL200710010",85,"$first extra inning game in the history of one-game playoffs","2007COL.EVN.regular.comment.csv",37
