"LAA196104270",61,"DIFF: This walk was incorrectly credited to the official records of Whisenant, Lemon's PR.","FILENAME_TX","LINE_NUMBER_CT"
"LAA196104290",47,"DIFF: Averill's & Kaat's official records credit this as a W, but not IW","1961LAA.EVA.regular.comment.csv",2
"LAA196104301",65,"470 feet","1961LAA.EVA.regular.comment.csv",3
"LAA196104302",1,"Debut game for Jim Archer","1961LAA.EVA.regular.comment.csv",4
"LAA196105030",78,"$Ken Hamlin amd Ken Hunt collided; Hamlin injured","1961LAA.EVA.regular.comment.csv",5
"LAA196105040",94,"ej,peara102,P,berrc103,Call at 1B Albie Pearson ejected by 1B umpire Charlie Berry","1961LAA.EVA.regular.comment.csv",6
"LAA196105090",87,"ej,higgm101,M,nappl901,Call at 2B $Red Sox manager Higgins ejected by 2B umpire Napp for arguing call that SS Buddin was off base on potential double play at 2nd base","1961LAA.EVA.regular.comment.csv",7
"LAA196105211",64,"DIFF: officials do not have this CS","1961LAA.EVA.regular.comment.csv",8
"LAA196105240",18,"$Tito Francona injured in collision with Ted Kluszewski","1961LAA.EVA.regular.comment.csv",9
"LAA196105270",44,"ej,regap101,P,hurle901,Intentionally throwing at batter ej,ferrt101,C,hurle901,Arguing ejection of Regan $Pitcher Regan ejected by HP umpire Hurley after warning about throwing at Ken Hunt; Tigers coach Ferrick ejected by Hurley immediately thereafter","1961LAA.EVA.regular.comment.csv",10
"LAA196106200",77,"DIFF:  officials give to Malzone instead of Pagliaroni","1961LAA.EVA.regular.comment.csv",11
"LAA196106210",22,"ej,wertv101,P,smita901,Fair/foul call (Threw bat) Vic Wertz ejected by HP umpire Al Smith","1961LAA.EVA.regular.comment.csv",12
"LAA196106220",76,"ej,asprk101,P,soarh901,Called third strike (Threw helmet) Ken Aspromonte ejected by HP umpire Hank Soar for throwing his helmet","1961LAA.EVA.regular.comment.csv",13
"LAA196106250",112,"ej,richp101,M,smita901,Balls and strikes Orioles Manager Paul Richards ejected by HP umpire Al Smith","1961LAA.EVA.regular.comment.csv",14
"LAA196106260",78,"$the Angels objected about a pitch called a ball to Bill Skowron","1961LAA.EVA.regular.comment.csv",15
"LAA196106260",79,"ej,rignb101,M,linsj901,Balls and strikes (Threw towel) $Skowron hit the next pitch for the game-winning home run; Angels Manager Bill Rigney threw a towel on the field and was ejected by HP umpire Joe Linsalata","1961LAA.EVA.regular.comment.csv",16
"LAA196106270",58,"ej,kresr101,C,umonf901,Called strike 3 $Angels coach Kress ejected by HP umpire Umont for arguing called strike 3 to Moran","1961LAA.EVA.regular.comment.csv",17
"LAA196106300",14,"Andy Carey left with back pain","1961LAA.EVA.regular.comment.csv",18
"LAA196107020",21,"$Johnny James suffered a bruised left knee sliding into 3B","1961LAA.EVA.regular.comment.csv",19
"LAA196107220",61,"DIFF: officials don't have this CS","1961LAA.EVA.regular.comment.csv",20
"LAA196107230",57,"Debut game for Tom Satriano","1961LAA.EVA.regular.comment.csv",21
"LAA196107250",55,"Debut game for Manny Montejo","1961LAA.EVA.regular.comment.csv",22
"LAA196108220",6,"$the ball rolled under bullpen bench","1961LAA.EVA.regular.comment.csv",23
"LAA196108220",46,"$Roger Maris became the first player to reach the 50 homerun mark during August","1961LAA.EVA.regular.comment.csv",24
"LAA196108230",51,"DIFF: officials do not have this CS on Hunt","1961LAA.EVA.regular.comment.csv",25
"LAA196108250",60,"$Billy Moran hurt his back rounding 1B","1961LAA.EVA.regular.comment.csv",26
"LAA196108312",77,"$Joe Pignatano fell down and couldn't score","1961LAA.EVA.regular.comment.csv",27
"LAA196108312",78,"$failed suicide squeeze","1961LAA.EVA.regular.comment.csv",28
"LAA196109020",59,"$failed suicide squeeze","1961LAA.EVA.regular.comment.csv",29
"LAA196109080",84,"Debut game for Bob Rodgers","1961LAA.EVA.regular.comment.csv",30
"LAA196109220",65,"ej,thoml103,P,drumc901,Called third strike Lee Thomas ejected by HP umpire Cal Drummond","1961LAA.EVA.regular.comment.csv",31
"LAA196109240",14,"ej,ellib103,C,carrh901,Call at 1B $Angels coach Elliott ejected by 1B umpire Carrigan for arguing call when Thomas was picked off 1st","1961LAA.EVA.regular.comment.csv",32
"LAA196109270",1,"Debut game for Bob Sprout","1961LAA.EVA.regular.comment.csv",33
