"CIN195604280",57,"rain delay"FILENAME_TX","LINE_NUMBER_CT"

"CIN195605020",24,"$Peewee Reese called for obstruction during rundown"1956CIN.EVN.regular.comment.csv",2

"CIN195605020",70,"$onto the roof"1956CIN.EVN.regular.comment.csv",3

"CIN195605030",63,"$missed squeeze"1956CIN.EVN.regular.comment.csv",4

"CIN195605040",53,"ej,tempj101,P,balll901,Balls and strikes Johnny Temple ejected by HP umpire Lee Ballanfant"1956CIN.EVN.regular.comment.csv",5

"CIN195605050",72,"Wally Post left with injured left thumb"1956CIN.EVN.regular.comment.csv",6

"CIN195605061",44,"ej,westw102,P,secof101,Called third strike Wally Westlake ejected by HP umpire Frank Secory"1956CIN.EVN.regular.comment.csv",7

"CIN195605110",33,"ej,tebbb101,M,delmv901,Umpire baiting Reds Manager Birdie Tebbetts ejected by HP umpire Vic Delmore"1956CIN.EVN.regular.comment.csv",8

"CIN195605110",60,"ej,jeffh101,P,delmv901,Catch/trap call (Bumped umpire) Hal Jeffcoat ejected by HP umpire Vic Delmore arguing that he made the diving catch of the bunt; Jeffcoat was fined $50 and suspended 4 days for bumping Delmore; fans threw scorecards and cushions onto the field; 10 minute delay to clear the field"1956CIN.EVN.regular.comment.csv",9

"CIN195605110",95,"ej,baile101,P,dixoh901,Call at 2B ej,dykej101,C,dixoh901,Call at 2B Ed Bailey and Reds Coach Jimmy Dykes ejected by 2B umpire Hal Dixon"1956CIN.EVN.regular.comment.csv",10

"CIN195605132",46,"ej,tebbb101,M,delmv901,Interference non-call Reds Manager Birdie Tebbetts ejected by HP umpire Vic Delmore arguing Ray Crone interfered with Smoky Burgess"1956CIN.EVN.regular.comment.csv",11

"CIN195606010",74,"ej,nuxhj101,P,goetl901,Balls and strikes ej,tempj101,P,goetl901,Balls and strikes $Frank Robinson objected to the called strike two; HP umpire Larry Goetz told Steve Ridzik to pitch while Robinson continued to argued; Goetz called the pitch strike three; Joe Nuxhall and Johnny Temple ejected by Goetz from the bench"1956CIN.EVN.regular.comment.csv",12

"CIN195606010",80,"ej,westw101,P,goetl901,Balls and strikes ej,rignb101,M,goetl901,Balls and strikes ej,willd102,C,goetl901,Balls and strikes $Wes Westrum, Giants Manager Bill Rigney and Giants coach Davey Williams ejected by HP umpire Larry Goetz after ball three called to Ray Jablonski"1956CIN.EVN.regular.comment.csv",13

"CIN195606040",8,"$Frank Robinson out on appeal for missing 3B"1956CIN.EVN.regular.comment.csv",14

"CIN195606040",47,"ej,rogos101,P,donaa901,Balls and strikes Saul Rogovin ejected by HP umpire Augie Donatelli after being relieved"1956CIN.EVN.regular.comment.csv",15

"CIN195606050",24,"ej,semia101,P,engeb902,Called third strike (Kicked dirt) Andy Seminick ejected by HP umpire Bill Engeln for kicking dirt while arguing pitches"1956CIN.EVN.regular.comment.csv",16

"CIN195606070",71,"we are off 1 team run and per daily it is Kaz"1956CIN.EVN.regular.comment.csv",17

"CIN195606080",48,"$the throw hit Gus Bell"1956CIN.EVN.regular.comment.csv",18

"CIN195606090",25,"$off LF pole"1956CIN.EVN.regular.comment.csv",19

"CIN195607041",14,"$Pete Whisenant injured on Roy McMillan's fly in 2nd"1956CIN.EVN.regular.comment.csv",20

"CIN195607070",38,"ej,tebbb101,M,balll901,Balls and strikes ej,tempj101,P,balll901,Balls and strikes Johnny Temple and Reds Manager Birdie Tebbetts ejected by HP umpire Lee Ballanfant"1956CIN.EVN.regular.comment.csv",21

"CIN195607151",21,"Roy McMillan injured"1956CIN.EVN.regular.comment.csv",22

"CIN195607151",44,"40 minute rain delay"1956CIN.EVN.regular.comment.csv",23

"CIN195607151",46,"Joe Nuxhall left with pulled muscle right side"1956CIN.EVN.regular.comment.csv",24

"CIN195607180",10,"$off LF pole"1956CIN.EVN.regular.comment.csv",25

"CIN195607180",56,"$Carl Erskine misplayed throw from outfield"1956CIN.EVN.regular.comment.csv",26

"CIN195607221",12,"$Vern Law twisted right ankle on double"1956CIN.EVN.regular.comment.csv",27

"CIN195607222",68,"Joe Nuxhall left with injured side"1956CIN.EVN.regular.comment.csv",28

"CIN195608230",2,"$Peewee Reese hit on right hand"1956CIN.EVN.regular.comment.csv",29

"CIN195608230",41,"55 minute rain delay"1956CIN.EVN.regular.comment.csv",30

"CIN195608230",42,"ej,ferrt101,C,donaa901,Called third strike Reds Coach Tom Ferrick ejected by HP umpire Augie Donatelli"1956CIN.EVN.regular.comment.csv",31

"CIN195608280",84,"ej,waltb102,C,gorea901,Bench jockeying $Giants coach Walters ejected by HP umpire Gore sometime in 8th inning for arguing balls and strikes"1956CIN.EVN.regular.comment.csv",32

