"KCA200004300",50,"50 minute rain delay","FILENAME_TX","LINE_NUMBER_CT"
"KCA200005070",59,"DWS: bunt assumed","2000KCA.EVA.regular.comment.csv",2
"KCA200005260",1,"Debut game for Seth Etherton","2000KCA.EVA.regular.comment.csv",3
"KCA200005260",69,"ej,andeg001,P,randt901,Balls and strikes ej,sciom001,M,randt901,Balls and strikes Garret Anderson and Angels manager Mike Scioscia ejected by HP umpire Tony Randazzo","2000KCA.EVA.regular.comment.csv",4
"KCA200005270",59,"Need FLE2 somewhere in this inning","2000KCA.EVA.regular.comment.csv",5
"KCA200005270",91,"$five man infield with Darin Erstad moving in","2000KCA.EVA.regular.comment.csv",6
"KCA200006130",47,"called after 1:26 rain delay","2000KCA.EVA.regular.comment.csv",7
"KCA200006180",3,"GG: might really be 83464, but that doesn't change anything","2000KCA.EVA.regular.comment.csv",8
"KCA200007020",6,"ej,muset101,M,wintm901,Call at 2B (Bumped umpire) Royals manager Tony Muser ejected by 2B umpire Mike Winters","2000KCA.EVA.regular.comment.csv",9
"KCA200007040",1,"Debut game for Jon Garland","2000KCA.EVA.regular.comment.csv",10
"KCA200007050",52,"ej,muset101,M,mckej901,Call at 2B Royals manager Tony Muser ejected by 2B umpire Jim McKean","2000KCA.EVA.regular.comment.csv",11
"KCA200007140",15,"not clear why early sub","2000KCA.EVA.regular.comment.csv",12
"KCA200007150",74,"PH deduced from Elias totals","2000KCA.EVA.regular.comment.csv",13
"KCA200007270",0,"Mgr Rothschild on second day of two-day suspension","2000KCA.EVA.regular.comment.csv",14
"KCA200007270",22,"Dye gets concussion crashing into wall trying for double","2000KCA.EVA.regular.comment.csv",15
"KCA200007280",50,"Debut game for Kris Wilson","2000KCA.EVA.regular.comment.csv",16
"KCA200008070",0,"2:54 rain delay at start","2000KCA.EVA.regular.comment.csv",17
"KCA200008090",23,"$late throw to second on force try, then wild throw","2000KCA.EVA.regular.comment.csv",18
"KCA200008100",40,"$Carlos Febles called for interference for running into his own batted ball","2000KCA.EVA.regular.comment.csv",19
"KCA200008100",56,"ej,fregj101,M,everm901,Checked swing Blue Jays Manager Jim Fregosi ejected by HP umpire Mike Everitt","2000KCA.EVA.regular.comment.csv",20
"KCA200008130",1,"Debut game for Leslie Brea","2000KCA.EVA.regular.comment.csv",21
"KCA200008130",42,"ej,hargm001,M,hudsm901,Balls and strikes Orioles Manager Mike Hargrove ejected by HP umpire Marvin Hudson","2000KCA.EVA.regular.comment.csv",22
"KCA200008270",46,"looks like a rundown - assist to third baseman?","2000KCA.EVA.regular.comment.csv",23
"KCA200009050",28,"Cone dislocates left shoulder making catch","2000KCA.EVA.regular.comment.csv",24
"KCA200009070",35,"fielding correct, looks like rundown","2000KCA.EVA.regular.comment.csv",25
"KCA200009220",0,"1:50 rain delay in the third","2000KCA.EVA.regular.comment.csv",26
