"SEA198304060",1,"Debut game for Matt Young","FILENAME_TX","LINE_NUMBER_CT"
"SEA198304070",78,"Debut game for Rod Allen","1983SEA.EVA.regular.comment.csv",2
"SEA198304090",1,"Debut game for Bryan Oelkers","1983SEA.EVA.regular.comment.csv",3
"SEA198304090",65,"Debut game for Tack Wilson","1983SEA.EVA.regular.comment.csv",4
"SEA198304150",31,"A's scoresheet says E4","1983SEA.EVA.regular.comment.csv",5
"SEA198305010",11,"Debut game for Jamie Allen","1983SEA.EVA.regular.comment.csv",6
"SEA198305010",45,"$Jamie Allen doubled for first ML hit, but missed 1B; out on appeal","1983SEA.EVA.regular.comment.csv",7
"SEA198305170",6,"Debut game for Ricky Nelson","1983SEA.EVA.regular.comment.csv",8
"SEA198305170",15,"$Tim Foli called for interference","1983SEA.EVA.regular.comment.csv",9
"SEA198305180",23,"ej,carer001,P,koscg901,Called strike Rod Carew ejected by HP umpire Greg Kosc for arguing a strike call during at bat","1983SEA.EVA.regular.comment.csv",10
"SEA198305200",32,"$the ball got stuck in a speaker","1983SEA.EVA.regular.comment.csv",11
"SEA198306110",47,"ej,lachr101,M,pales901,Arguing call on bunt $Mariners manager Lachemann ejected by 3B umpire Palermo when 1B umpire overruled HP umpire and said that Slaught's was foul","1983SEA.EVA.regular.comment.csv",12
"SEA198306250",4,"Debut game for Spike Owen","1983SEA.EVA.regular.comment.csv",13
"SEA198306260",94,"$the foul ball hit a speaker","1983SEA.EVA.regular.comment.csv",14
"SEA198306270",0,"Protest=V","1983SEA.EVA.regular.comment.csv",15
"SEA198306270",19,"$Dave Henderson and Jamie Allen batted out of order but nothing was said by the White Sox","1983SEA.EVA.regular.comment.csv",16
"SEA198306270",56,"$White Sox manager Tony LaRussa protested the game due to the batting out of order in the second inning","1983SEA.EVA.regular.comment.csv",17
"SEA198306280",68,"ej,larut101,M,sprim901,Throwing ball bag White Sox manager Tony LaRussa ejected HP umpire Marty Springstead for throwing a ball bag","1983SEA.EVA.regular.comment.csv",18
"SEA198307180",22,"Jim Beattie left with back spasms","1983SEA.EVA.regular.comment.csv",19
"SEA198307210",20,"Debut game for Jamie Nelson","1983SEA.EVA.regular.comment.csv",20
"SEA198307230",7,"Debut game for Al Chambers","1983SEA.EVA.regular.comment.csv",21
"SEA198308050",18,"Matt Young hit on head by line drive","1983SEA.EVA.regular.comment.csv",22
"SEA198308070",75,"ej,folit001,P,sprim901,Throwing helmet $Angels Foli ejected by HP umpire Springstead for throwing helmet after grounding out","1983SEA.EVA.regular.comment.csv",23
"SEA198308070",82,"ej,bernt001,P,merrd901,Call at 2B ej,crand102,M,merrd901,Call at 2B $Mariners Bernazard and manager Crandall ejected by by 2B umpire Merrill for arguing call at 2nd","1983SEA.EVA.regular.comment.csv",24
"SEA198308300",30,"$Ron Roenicke called for interference","1983SEA.EVA.regular.comment.csv",25
"SEA198309020",60,"Debut game for Phil Bradley","1983SEA.EVA.regular.comment.csv",26
"SEA198309020",80,"Debut game for Harold Reynolds","1983SEA.EVA.regular.comment.csv",27
"SEA198309040",20,"CS may be with Owen at bat","1983SEA.EVA.regular.comment.csv",28
"SEA198309040",65,"Debut game for Darnell Coles","1983SEA.EVA.regular.comment.csv",29
"SEA198309100",22,"Debut game for Curt Wilkerson","1983SEA.EVA.regular.comment.csv",30
"SEA198309270",13,"ej,howsd101,M,mcclt901,Call at 1B Royals manager Dick Howser ejected by HP umpire Tim McClelland","1983SEA.EVA.regular.comment.csv",31
"SEA198309270",14,"ej,martj103,C,bremn901,Call at 1B Royals coach Jose Martinez ejected by 1B umpire Nick Bremigan","1983SEA.EVA.regular.comment.csv",32
"SEA198309300",0,"ej,beatj001,P,cousd901,Bench jockeying Jim Beattie ejected by HP umpire Derryl Cousins from the bench sometime in game","1983SEA.EVA.regular.comment.csv",33
