"NYN199604010",21,"Debut game for Rey Ordonez"FILENAME_TX","LINE_NUMBER_CT"

"NYN199604040",1,"Debut game for Paul Wilson"1996NYN.EVN.regular.comment.csv",2

"NYN199604040",89,"Debut game for Miguel Mejia"1996NYN.EVN.regular.comment.csv",3

"NYN199604050",16,"Debut game for Keith Osik"1996NYN.EVN.regular.comment.csv",4

"NYN199604230",16,"Debut game for Chad Mottola"1996NYN.EVN.regular.comment.csv",5

"NYN199604230",44,"ej,greed101,M,hohnb901,Balls and strikes $Mets manager Green ejected by HP umpire Hohnm for arguing balls and strikes after Morris walked"1996NYN.EVN.regular.comment.csv",6

"NYN199605110",11,"$Kevin Foster threw a pitch over the head of Todd Hundley"1996NYN.EVN.regular.comment.csv",7

"NYN199605110",18,"$Pete Harnisch hit pitcher Kevin Foster in retaliation for Foster's pitch over Hundley's head"1996NYN.EVN.regular.comment.csv",8

"NYN199605110",53,"ej,bulls001,P,bonig901,Bench-clearing brawl ej,gomel001,P,bonig901,Bench-clearing brawl ej,servs002,P,bonig901,Bench-clearing brawl ej,wendt001,P,bonig901,Bench-clearing brawl ej,franj001,P,bonig901,Bench-clearing brawl ej,harnp001,P,bonig901,Bench-clearing brawl ej,hundt001,P,bonig901,Bench-clearing brawl ej,minob001,P,bonig901,Bench-clearing brawl ej,swiss101,C,bonig901,Bench-clearing brawl $Terry Adams threw a pitch behind Pete Harnisch, who punched catcher Scott Servais; both benches cleared; nine ejections by HP umpire Greg Bonin: Harnisch, Servais, Scott Bullett, Leo Gomez, Turk Wendell, John Franco, Todd Hundley, Blas Minor and Mets coach Steve Swisher"1996NYN.EVN.regular.comment.csv",9

"NYN199607302",0,"ej,greed101,M,westj901,Argued while exchanging lineup ej,wineb101,C,westj901,Argued while exchanging lineup $Mets manager Dallas Green and coach Bobby Wine ejected by 1B umpire Joe during the pregame meeting"1996NYN.EVN.regular.comment.csv",10

"NYN199608130",66,"Debut game for Derek Wallace"1996NYN.EVN.regular.comment.csv",11

"NYN199609010",90,"ej,franj001,P,poncl901,Balls and strikes $Pitcher Franco ejected by HP umpire Poncino at end of visotor's 10th for arguing balls and strikes"1996NYN.EVN.regular.comment.csv",12

"NYN199609030",50,"$It is not clear why Gagne was allowed to take first, since he struck out with 1 out and first base occupied"1996NYN.EVN.regular.comment.csv",13

"NYN199609030",78,"Debut game for Wilton Guerrero"1996NYN.EVN.regular.comment.csv",14

"NYN199609140",30,"Debut game for Mike Fyhrie"1996NYN.EVN.regular.comment.csv",15

"NYN199609150",62,"Debut game for Charlie Greene"1996NYN.EVN.regular.comment.csv",16

