"TOR199004100",48,"Debut game for Brian Bohanon","FILENAME_TX","LINE_NUMBER_CT"
"TOR199004110",57,"Debut game for Willie Blair","1990TOR.EVA.regular.comment.csv",2
"TOR199004200",23,"$Kevin Seitzer and Kurt Stillwell collide on foul ball","1990TOR.EVA.regular.comment.csv",3
"TOR199004220",63,"$George Brett and Bo Jackson both end up at 3B","1990TOR.EVA.regular.comment.csv",4
"TOR199004240",44,"$Mitch Webster called for interference for running in fair territory","1990TOR.EVA.regular.comment.csv",5
"TOR199004250",53,"DWS: invented play","1990TOR.EVA.regular.comment.csv",6
"TOR199005040",19,"$Greg Myers hurt in collision at plate","1990TOR.EVA.regular.comment.csv",7
"TOR199005070",22,"$Junior Felix picked off 1B; Nelson Liriano out at HP in rundown","1990TOR.EVA.regular.comment.csv",8
"TOR199005080",72,"Debut game for Carlos Diaz","1990TOR.EVA.regular.comment.csv",9
"TOR199005170",18,"$Dave Valle hurt in collision at HP","1990TOR.EVA.regular.comment.csv",10
"TOR199005220",20,"$Jimmy Key injured","1990TOR.EVA.regular.comment.csv",11
"TOR199005220",38,"$off restaurant window","1990TOR.EVA.regular.comment.csv",12
"TOR199006020",89,"$Rob Deer had stolen 2B, but overslid and was tagged out","1990TOR.EVA.regular.comment.csv",13
"TOR199006070",74,"Debut game for Tom Gilles","1990TOR.EVA.regular.comment.csv",14
"TOR199006220",42,"ej,fernt001,P,barnl901,Insulting the umpire (called him fatso) Tony Fernandez ejected by 2B umpire Larry Barnett for calling the umpire 'fatso' in Spanish","1990TOR.EVA.regular.comment.csv",15
"TOR199007070",21,"$Russ Swan left with shoulder stiffness","1990TOR.EVA.regular.comment.csv",16
"TOR199007270",40,"$Dave Steib got to 1B too late","1990TOR.EVA.regular.comment.csv",17
"TOR199007280",86,"$Rangers swap Steve Buechele and Gene Petralli defensively depending on batter","1990TOR.EVA.regular.comment.csv",18
"TOR199008070",22,"$fan interference","1990TOR.EVA.regular.comment.csv",19
"TOR199008100",23,"$Nelson Liriano rounded 2B too far","1990TOR.EVA.regular.comment.csv",20
"TOR199008250",11,"$George Bell left with eye problems","1990TOR.EVA.regular.comment.csv",21
"TOR199008270",37,"$39 minute delay to close roof","1990TOR.EVA.regular.comment.csv",22
"TOR199009080",43,"DWS: fielding credit on force invented","1990TOR.EVA.regular.comment.csv",23
"TOR199009140",42,"$Jimmy Key left with tight hamstring","1990TOR.EVA.regular.comment.csv",24
"TOR199009150",14,"$Greg Myers and Dave Wells collide","1990TOR.EVA.regular.comment.csv",25
