"DET199904140",1,"Debut game for Jeff Weaver"FILENAME_TX","LINE_NUMBER_CT"

"DET199905120",20,"Debut game for Jose Macias"1999DET.EVA.regular.comment.csv",2

"DET199905280",69,"ej,easld001,P,younl901,Balls and strikes Damion Easley ejected by HP umpire Larry Young"1999DET.EVA.regular.comment.csv",3

"DET199906040",0,"Debut for umpire Bill Welke"1999DET.EVA.regular.comment.csv",4

"DET199906090",46,"ej,lamog101,M,cedeg901,Called third strike $Pirates manager Lamont ejected by HP umpire Cederstrom for arguing called third strike"1999DET.EVA.regular.comment.csv",5

"DET199906160",46,"ej,jeffg001,P,clara901,Called third strike Gregg Jefferies ejected by HP umpire Al Clark"1999DET.EVA.regular.comment.csv",6

"DET199906210",34,"Debut game for Brett Laxton"1999DET.EVA.regular.comment.csv",7

"DET199907220",13,"ej,palmd002,P,mckej901,Balls and strikes Dean Palmer ejected by HP umpire Jim McKean"1999DET.EVA.regular.comment.csv",8

"DET199908020",1,"Debut game for Kip Wells"1999DET.EVA.regular.comment.csv",9

"DET199908020",74,"Debut game for Francisco Cordero"1999DET.EVA.regular.comment.csv",10

"DET199908140",46,"ej,collt801,M,koscg901,Call at 1B Angels manager Terry Collins ejected by 1B umpire Greg Kosc"1999DET.EVA.regular.comment.csv",11

"DET199909100",55,"Debut game for Erik Hiljus"1999DET.EVA.regular.comment.csv",12

"DET199909210",37,"$Deivi Cruz called for interference"1999DET.EVA.regular.comment.csv",13

"DET199909260",33,"Debut game for Chad Durbin"1999DET.EVA.regular.comment.csv",14

