"SEA201004140",37,"$Jack Wilson called for interference","FILENAME_TX","LINE_NUMBER_CT"
"SEA201004170",5,"fan interference","2010SEA.EVA.regular.comment.csv",2
"SEA201004200",13,"Mariners right fielder Milton Bradley left the game due to an injured leg","2010SEA.EVA.regular.comment.csv",3
"SEA201004300",48,"$the throw by Matt Treanor went past 1B Justin Smoak; however, Casey Kotchman was called for interference for running outside the baseline","2010SEA.EVA.regular.comment.csv",4
"SEA201004300",78,"ej,washr001,M,wolfj901,Checked swing $the Mariners tried to squeeze the winning run home; the pitch was in the dirt, so batter Eric Byrnes started to bunt but brought the bat back; catcher Matt Treanor blocked the ball and took several tries to pick it up and tag Ichiro; Rangers manager Ron Washington argued that Byrnes offered at the pitch and wanted a strike on the play; he continued to argue and was ejected by HP umpire Jim Wolf one pitch later","2010SEA.EVA.regular.comment.csv",5
"SEA201005050",22,"Mariners shortstop Jack Wilson left the game due to an injured leg","2010SEA.EVA.regular.comment.csv",6
"SEA201005200",61,"ej,wakad001,M,fleta901,Call at 2B Mariners Manager Don Wakamatsu ejected by 2B umpire Andy Fletcher","2010SEA.EVA.regular.comment.csv",7
"SEA201005210",60,"ej,hairj002,P,welkt901,Called third strike $Hairston ejected by HP umpire Welke for arguing called third strike","2010SEA.EVA.regular.comment.csv",8
"SEA201005220",45,"DWS: dropped throw was at second, but scored this way to capture assist for 5","2010SEA.EVA.regular.comment.csv",9
"SEA201006030",12,"Debut game for Danny Valencia","2010SEA.EVA.regular.comment.csv",10
"SEA201006030",40,"$Mariners Michael Saunders was called out on appeal because he touched 2B and took a step beyond but failed to touch the bag on the way back to 1B after the catch in CF","2010SEA.EVA.regular.comment.csv",11
"SEA201006060",9,"$Mariners manager Don Wakamatsu argued the call with 3B umpire Alfonso Marquez","2010SEA.EVA.regular.comment.csv",12
"SEA201006060",19,"$Mariners Chone Figgins was upset at the strike call on the 3-1 pitch","2010SEA.EVA.regular.comment.csv",13
"SEA201006060",20,"ej,figgc001,P,timmt901,Balls and strikes ej,wakad001,M,tscht901,Balls and strikes; Figgins' ejection $after grounding out, Chone Figgins yelled at HP umpire Tim Timmons, who ejected Figgins; Mariners manager Don Wakamatsu came out and argued with Timmons, while Figgins was talking to crew chief Tim Tschida; Figgins was told to go sit down by Wakamatsu, who started yelling at Tschida; Wakamatsu was ejected by Tschida","2010SEA.EVA.regular.comment.csv",14
"SEA201007060",65,"fan interference","2010SEA.EVA.regular.comment.csv",15
"SEA201007070",53,"$Chris Getz bunted the ball towards the 1B line and ran into it as he left the batter's box; it hit off his left knee and was ruled interference","2010SEA.EVA.regular.comment.csv",16
"SEA201007070",65,"$Alberto Callaspo failed to execute a bunt and then homered","2010SEA.EVA.regular.comment.csv",17
"SEA201007070",76,"replay,9,butlb003,KCA,gormb901,SEA03,O,Y,I,,H $the fly by Billy Butler flew over the extended reach of Ichiro Suzuki, hit something between the barrier wall and the concrete wall and rebounded back onto the field; it was ruled in play, perhaps because the flight of the ball was blocked by Ichiro's glove; crew chief Brian Gorman watched the replay and overturned the call to a homer","2010SEA.EVA.regular.comment.csv",18
"SEA201007090",47,"fan interference","2010SEA.EVA.regular.comment.csv",19
"SEA201007190",46,"Mariners designated hitter Russell Branyan left the game due to an injured back","2010SEA.EVA.regular.comment.csv",20
"SEA201007210",58,"ej,wakad001,M,nelsj901,Call at 2B on steal $Juan Pierre slid around the tag of Chone Figgins by lifting his arm; the Mariners objected to the call and Manager Don Wakamatsu was ejected by 2B umpire Jeff Nelson","2010SEA.EVA.regular.comment.csv",21
"SEA201007220",3,"$Ichiro caught the ball over the top of the wall, robbing Ortiz of a home run","2010SEA.EVA.regular.comment.csv",22
"SEA201007230",34,"$Michael Saunders overthrew cutoff man SS Jack Wilson; 2B Chone Figgins stood near the bag and let the ball go by and roll to 1B, allowing Mike Cameron to advance to 3B","2010SEA.EVA.regular.comment.csv",23
"SEA201007230",37,"$between innings, Mariners manager Don Wakamatsu and Chone Figgins yelled at each other about Figgins lack of hustle; an altercation started involving many players and coaches as pitcher Jason Vargas was in the middle trying to stop the fighting; 3B Jose Lopez had his shirt pulled off during the fracas; Wakamatsu had told Josh Wilson to get ready to go into the game after the play in the top of the fifth","2010SEA.EVA.regular.comment.csv",24
"SEA201007240",5,"$Chone Figgins called for interference","2010SEA.EVA.regular.comment.csv",25
"SEA201008080",64,"originally scored as single plus error, changed to error all the way on 8-18","2010SEA.EVA.regular.comment.csv",26
"SEA201008090",0,"$Daren Brown's first game as a big league manager; he took over for Don Wakamatsu, who was fired by the Mariners","2010SEA.EVA.regular.comment.csv",27
"SEA201008090",14,"Debut game for Chris Carter","2010SEA.EVA.regular.comment.csv",28
"SEA201008110",15,"Athletics second baseman Adam Rosales left the game due to an injured ankle","2010SEA.EVA.regular.comment.csv",29
"SEA201008280",4,"Twins second baseman Orlando Hudson left the game due to an injured ankle","2010SEA.EVA.regular.comment.csv",30
"SEA201008280",25,"Twins designated hitter Jim Thome left the game due to an injured back","2010SEA.EVA.regular.comment.csv",31
"SEA201009050",41,"ej,actam801,M,wendh902,Call at 2B $Indians SS Asdrubal Cabrera fielded the ball at the bag and dragged his right foot across the bag; he then held up his glove as he ran past the bag and made no throw to first; he thought the inning was over; 2B umpire Hunter Wendelstedt ruled that the runner was safe; Cabrera argued briefly and Indians Manager Manny Acta came out to talk to Wendelstedt, who ejected Acta","2010SEA.EVA.regular.comment.csv",32
"SEA201009130",41,"fan interference","2010SEA.EVA.regular.comment.csv",33
