"CLE200104060",42,"fog delay for 8 minutes in 6th","FILENAME_TX","LINE_NUMBER_CT"
"CLE200104060",71,"Debut game for Jay Gibbons","2001CLE.EVA.regular.comment.csv",2
"CLE200104070",79,"$RF Anderson shifted to shallow LF, LF DeShields behind 2B on edge of dirt and CF Mora to RCF for Cabrera","2001CLE.EVA.regular.comment.csv",3
"CLE200104080",1,"Debut game for C.C. Sabathia","2001CLE.EVA.regular.comment.csv",4
"CLE200104290",72,"ej,alomr001,P,schrp901,Balls and strikes Roberto Alomar ejected by HP umpire Paul Schrieber","2001CLE.EVA.regular.comment.csv",5
"CLE200105120",0,"ej,mcrah001,M,wintm901,Before game; continued yesterday's argument $Devil Rays manager McRae ejected by 3B umpire Winters before at pregame plate meeting (argument left over from previous day)","2001CLE.EVA.regular.comment.csv",6
"CLE200105130",59,"Debut game for Danys Baez","2001CLE.EVA.regular.comment.csv",7
"CLE200105220",20,"$left fielder and shortstop collide, both OK","2001CLE.EVA.regular.comment.csv",8
"CLE200105230",50,"ej,manuc101,M,herna901,Fair/foul call on HR $Indians Manager Manuel ejected by HP umpire Hernandez for that Cordero had hit home run but call was changed to foul","2001CLE.EVA.regular.comment.csv",9
"CLE200105230",76,"$Cruz collided with Jones at base, near fight","2001CLE.EVA.regular.comment.csv",10
"CLE200105240",18,"$Ellis Burks called for interference","2001CLE.EVA.regular.comment.csv",11
"CLE200105260",7,"59 minute rain delay in the 2nd","2001CLE.EVA.regular.comment.csv",12
"CLE200105260",46,"Debut game for Roy Smith","2001CLE.EVA.regular.comment.csv",13
"CLE200105260",75,"Clemens passes Don Sutton for 5th on the strikeout list with #3575","2001CLE.EVA.regular.comment.csv",14
"CLE200105270",51,"ej,zimmd101,C,clara901,Balk non-call $Yankees coach Zimmer ejected by 1B umpire Clark for arguing that pitcher was balking with Soriano at bat","2001CLE.EVA.regular.comment.csv",15
"CLE200106100",17,"Elias wrongly charged the third run to Wright.","2001CLE.EVA.regular.comment.csv",16
"CLE200106130",35,"$Jenkins' throw home got by Blanco then Levrault threw to no one around the mound which was retrieved by Lopez, who ran Branyan down between the bases","2001CLE.EVA.regular.comment.csv",17
"CLE200106140",26,"$Fryman left with strained left groin","2001CLE.EVA.regular.comment.csv",18
"CLE200106190",67,"$off the pole","2001CLE.EVA.regular.comment.csv",19
"CLE200106190",92,"ej,hawkl001,P,scotd901,Balls and strikes LaTroy Hawkins ejected by HP umpire Dale Scott as he left the field","2001CLE.EVA.regular.comment.csv",20
"CLE200106200",44,"ej,uhlat101,C,fleta901,Call at 1B $Indians coach Uhlaender ejected by 1B umpire Fletcher for arguing Alomar was safe at 1st","2001CLE.EVA.regular.comment.csv",21
"CLE200106210",0,"2 rain delays during game totaling 1:42 in the 2nd and 7th","2001CLE.EVA.regular.comment.csv",22
"CLE200106210",63,"game called for rain","2001CLE.EVA.regular.comment.csv",23
"CLE200107020",25,"originally scored as E4","2001CLE.EVA.regular.comment.csv",24
"CLE200107230",4,"off pitcher's shins","2001CLE.EVA.regular.comment.csv",25
"CLE200107230",67,"ej,valej003,P,barrt901,Balls and strikes Jose Valentin ejected by HP umpire Ted Barrett","2001CLE.EVA.regular.comment.csv",26
"CLE200107250",66,"Original pitches 1SB; corrected per FP","2001CLE.EVA.regular.comment.csv",27
"CLE200108020",26,"ej,manuc101,M,coope901,Bench jockeying (Kicked bucket) $Indians manager Manuel ejected by 3B umpire Cooper for bench jockeying after Long's single; he kicked bucket during argument","2001CLE.EVA.regular.comment.csv",28
"CLE200108030",24,"ej,perrg001,C,reynj901,Called strike 3 $Mariners coach Perry ejected by HP umpire Reynolds for arguing called strike 3 on Boone","2001CLE.EVA.regular.comment.csv",29
"CLE200108050",23,"Debut game for Mike Bacsik","2001CLE.EVA.regular.comment.csv",30
"CLE200108050",113,"$Indians first time since 1925 A's to come back from a 12-run deficit","2001CLE.EVA.regular.comment.csv",31
"CLE200108140",99,"$Allen's cleat caught in the grass while chasing Lofton's hit; Allen limped to the ball, holding Lofton to a triple","2001CLE.EVA.regular.comment.csv",32
