"CIN199304050",10,"Debut game for Frank Bolick"FILENAME_TX","LINE_NUMBER_CT"

"CIN199304070",1,"Debut game for Mike Lansing"1993CIN.EVN.regular.comment.csv",2

"CIN199304080",94,"Debut game for Lou Frazier"1993CIN.EVN.regular.comment.csv",3

"CIN199304180",21,"ej,murre001,P,kellj901,Balls and strikes ej,torbj101,M,kellj901,Balls and strikes Eddie Murray and Mets manager Jeff Torborg ejected by HP umpire Jeff Kellogg after the second pitch was called a strike"1993CIN.EVN.regular.comment.csv",4

"CIN199305100",66,"ej,saboc001,P,westj901,Balls and strikes Chris Sabo ejected by HP umpire Joe West"1993CIN.EVN.regular.comment.csv",5

"CIN199305120",44,"game called for rain"1993CIN.EVN.regular.comment.csv",6

"CIN199305130",53,"ej,robeb002,P,willc901,Called third strike (Threw equipment) Bip Roberts ejected by HP umpire Charlie Williams for throwing equipment after the called third strike"1993CIN.EVN.regular.comment.csv",7

"CIN199305140",13,"Debut game for Jay Gainer"1993CIN.EVN.regular.comment.csv",8

"CIN199305160",1,"Debut game for John Roper"1993CIN.EVN.regular.comment.csv",9

"CIN199305310",27,"ej,podrj101,C,davib902,Balls and strikes $Phillies coach Podres ejected by HP umpire Davidson for arguing balls and strikes"1993CIN.EVN.regular.comment.csv",10

"CIN199305310",74,"ej,dauld001,P,davib902,Balk call ej,fregj101,M,davib902,Balk call $Darren Daulton and Phillies manager Jim Fregosi ejected by HP umpire Bob Davidson"1993CIN.EVN.regular.comment.csv",11

"CIN199306190",0,"$HP umpire John McSherry left the game due to heat exhaustion sometime in the contest; other changes unknown"1993CIN.EVN.regular.comment.csv",12

"CIN199307021",66,"Debut game for Jerry Spradlin"1993CIN.EVN.regular.comment.csv",13

"CIN199307030",0,"ej,leylj801,M,gormb901,Call at 1B Pirates manager Jim Leyland ejected by 1B umpire Brian Gorman sometime in game"1993CIN.EVN.regular.comment.csv",14

"CIN199307030",1,"Debut game for Larry Luebbers"1993CIN.EVN.regular.comment.csv",15

"CIN199308010",19,"Debut game for Greg Tubbs"1993CIN.EVN.regular.comment.csv",16

"CIN199308170",38,"ej,hundt001,P,davig901,Call at 1B Todd Hundley ejected by 1B umpire Gerry Davis"1993CIN.EVN.regular.comment.csv",17

"CIN199308210",9,"Debut game for Brian Koelling"1993CIN.EVN.regular.comment.csv",18

"CIN199309030",56,"Debut game for Chris Bushing"1993CIN.EVN.regular.comment.csv",19

"CIN199309030",69,"Debut game for Tony Longmire"1993CIN.EVN.regular.comment.csv",20

"CIN199309050",51,"Debut game for Ross Powell"1993CIN.EVN.regular.comment.csv",21

"CIN199309071",14,"Debut game for Lonnie Maclin"1993CIN.EVN.regular.comment.csv",22

"CIN199309071",81,"Debut game for Tripp Cromer"1993CIN.EVN.regular.comment.csv",23

"CIN199309071",92,"Debut game for Steve Dixon"1993CIN.EVN.regular.comment.csv",24

"CIN199309072",46,"Debut game for Mike Anderson"1993CIN.EVN.regular.comment.csv",25

"CIN199309200",11,"ej,saboc001,P,laynj901,Called third strike Chris Sabo ejected by HP Umpire Jerry Layne"1993CIN.EVN.regular.comment.csv",26

"CIN199309220",23,"fan interference"1993CIN.EVN.regular.comment.csv",27

"CIN199310030",0,"$Casey Candaele came to the plate with huge rubber false teeth trying to put a little humor into a game that meant nothing"1993CIN.EVN.regular.comment.csv",28

"CIN199310030",5,"ej,cardj101,C,westj901,Asked to be ejected (left to catch plane) $Reds coach Jose Cardenal ejected by 2B umpire Joe West; Cardenal wanted to leave to catch a plane on the last day of the season"1993CIN.EVN.regular.comment.csv",29

