"PIT192704280",17,"$the ball was lined over Hal Rhyne's head, who threw his glove at the ball and missed; the Cubs claimed three bases under the rules","FILENAME_TX","LINE_NUMBER_CT"
"PIT192705030",35,"$Pie Traynor's throw got away from George Grantham; Ed Sicking recovered the ball before Frankie Frisch could return to 1B","1927PIT.EVN.regular.comment.csv",2
"PIT192705260",3,"rain started and fans rushed to covered seats","1927PIT.EVN.regular.comment.csv",3
"PIT192705260",7,"7 minute rain delay with 3-1 count on Paul Waner","1927PIT.EVN.regular.comment.csv",4
"PIT192705270",29,"$off the RF pole; the Pirates argued it was a home run","1927PIT.EVN.regular.comment.csv",5
"PIT192705301",47,"$Johnny Cooney turned an unassisted triple play","1927PIT.EVN.regular.comment.csv",6
"PIT192705301",89,"$Glenn Wright called for interference for running into his own batted ball","1927PIT.EVN.regular.comment.csv",7
"PIT192705310",48,"$Gabby Hartnett's line drive hit the screen just above the facing of the RF stand; the Cubs claimed it was a home run","1927PIT.EVN.regular.comment.csv",8
"PIT192706030",20,"$Glenn Wright was playing to the the right of 2B in the shift for Cy Williams","1927PIT.EVN.regular.comment.csv",9
"PIT192706170",36,"$Hugh McQuillan left with a leg injury","1927PIT.EVN.regular.comment.csv",10
"PIT192706170",39,"$Lance Richbourg ran to 3B after the catch, causing Foster Edwards to run to HP","1927PIT.EVN.regular.comment.csv",11
"PIT192706180",32,"$the throw struck Joe Harris on the face","1927PIT.EVN.regular.comment.csv",12
"PIT192706180",52,"$as Dave Bancroft started for 1B, he exchanged words with Earl Smith, the Pittsburgh catcher","1927PIT.EVN.regular.comment.csv",13
"PIT192706180",55,"ej,smite106,P,mccob104,Fighting $as Dave Bancroft crossed HP, he stopped and spoke to HP umpire Barry McCormick; Earl Smith started talking to Bancroft then threw his mitt and punched Bancroft, who required three stitches; Bancroft was carried off the field as both benches cleared; Smith ejected by McCormick","1927PIT.EVN.regular.comment.csv",14
"PIT192707020",33,"$George Grantham left with an injured leg","1927PIT.EVN.regular.comment.csv",15
"PIT192707020",51,"possible missing assists","1927PIT.EVN.regular.comment.csv",16
"PIT192707070",23,"$Hal Rhyne hurt his ankle on the play","1927PIT.EVN.regular.comment.csv",17
"PIT192707070",30,"$Hal Rhyne left with an injured ankle","1927PIT.EVN.regular.comment.csv",18
"PIT192707070",56,"game called after 30 minute rain delay in the bottom of the ninth; two Cubs runs and one Pirates run negated","1927PIT.EVN.regular.comment.csv",19
"PIT192707260",53,"$Bubbles Hargreaves struck on the side of the head","1927PIT.EVN.regular.comment.csv",20
"PIT192707270",30,"$Pie Traynor called for interference  for running out of line","1927PIT.EVN.regular.comment.csv",21
"PIT192707280",40,"ej,trayp101,P,mclap901,Call at 3B (Threw glove) Pie Traynor ejected by 3B umpire Peter McLaughlin for throwing his glove","1927PIT.EVN.regular.comment.csv",22
"PIT192707280",69,"$Bill Doak lefty with heat exhaustion","1927PIT.EVN.regular.comment.csv",23
"PIT192707290",27,"$Bob Barrett overslid 2B","1927PIT.EVN.regular.comment.csv",24
"PIT192707300",37,"$Shanty Hogan collided with HP Umpire Frank Wilson","1927PIT.EVN.regular.comment.csv",25
"PIT192708010",8,"$Kiki Cuyler overslid 3B","1927PIT.EVN.regular.comment.csv",26
"PIT192708010",17,"rain started","1927PIT.EVN.regular.comment.csv",27
"PIT192708010",18,"25 minute rain delay","1927PIT.EVN.regular.comment.csv",28
"PIT192708041",52,"$Glenn Wright was positioned to the right of 2B for Cy Williams","1927PIT.EVN.regular.comment.csv",29
"PIT192708060",32,"$Kiki Cuyler overslid 2B","1927PIT.EVN.regular.comment.csv",30
"PIT192708060",53,"$Randy Reese overslid 3B","1927PIT.EVN.regular.comment.csv",31
"PIT192708090",36,"$the throw hit Randy Reese on the face and ricocheted into LF","1927PIT.EVN.regular.comment.csv",32
"PIT192709010",15,"$Hal Carlson intentionally let bunt popup fall","1927PIT.EVN.regular.comment.csv",33
"PIT192709051",6,"ej,kolpr101,P,quige901,Call at 2B Ray Kolp ejected by 1B umpire Ernie Quigley for arguing that Glenn Wright never touched 2B","1927PIT.EVN.regular.comment.csv",34
"PIT192709070",18,"$Chuck Dressen was chased to 3B and Red Lucas dashed for HP","1927PIT.EVN.regular.comment.csv",35
"PIT192709100",9,"$Freddy Leach rounded 2B too far","1927PIT.EVN.regular.comment.csv",36
"PIT192709120",57,"ej,ferga101,P,jordl901,Call at 3B (Threw glove) ej,fribb101,P,jordl901,Call at 3B ej,mcins101,M,jordl901,Call at 3B $Alex Ferguson threw his glove across the field; Ferguson, Bernie Friberg and Phillies Manager Stuffy McInnis ejected by HP umpire Lou Jorda","1927PIT.EVN.regular.comment.csv",37
"PIT192709120",64,"$the infield was shifted for Cy Williams","1927PIT.EVN.regular.comment.csv",38
"PIT192709141",36,"$Doc Farrell intentionally let the pop fly fall","1927PIT.EVN.regular.comment.csv",39
"PIT192709160",2,"$Lance Richbourg overslid 3B","1927PIT.EVN.regular.comment.csv",40
"PIT192709221",28,"$Joe Harris rounded 3B too far","1927PIT.EVN.regular.comment.csv",41
"PIT192709230",52,"$Travis Jackson overslid 3B","1927PIT.EVN.regular.comment.csv",42
