"SFN198704060",17,"Debut game for Joey Cora"FILENAME_TX","LINE_NUMBER_CT"

"SFN198704060",58,"Debut game for Jim Steels"1987SFN.EVN.regular.comment.csv",2

"SFN198704070",7,"$Joey Cora came off the bag early"1987SFN.EVN.regular.comment.csv",3

"SFN198704070",30,"$Mike LaCoss slightly injured his hand; took a few warmups"1987SFN.EVN.regular.comment.csv",4

"SFN198704200",0,"50s"1987SFN.EVN.regular.comment.csv",5

"SFN198704200",6,"$hit off Mariano Duncan's shoulder; examined by trainer"1987SFN.EVN.regular.comment.csv",6

"SFN198704200",18,"$start of 3rd inning delayed 10 minutes because new scoreboard's graphics were distracting batters"1987SFN.EVN.regular.comment.csv",7

"SFN198704200",61,"Chris Brown left with a sore foot"1987SFN.EVN.regular.comment.csv",8

"SFN198704200",70,"Soft popup on hit and run"1987SFN.EVN.regular.comment.csv",9

"SFN198705090",46,"ej,walkb001,P,davig901,Balk Bob Walk ejected by 1B umpire Gerry Davis"1987SFN.EVN.regular.comment.csv",10

"SFN198705310",50,"ej,websm001,P,froeb901,Call at 2B Mitch Webster ejected by 2B umpire Bruce Froemming"1987SFN.EVN.regular.comment.csv",11

"SFN198706290",33,"umpchange,5,umphome,pullf901 umpchange,5,ump2b,(None) $Braves pitcher Zane Smith collided with HP umpire Bill Williams while tagging Giants runner Joel Youngblood; Williams was knocked out in the collision and his right leg was broken; 2B umpire Frank Pulli moved behind the plate; this ended Williams career as an umpire"1987SFN.EVN.regular.comment.csv",12

"SFN198707010",0,"70s"1987SFN.EVN.regular.comment.csv",13

"SFN198707010",13,"Rafael Ramirez hurt his knee while playing Mike Aldrete's double"1987SFN.EVN.regular.comment.csv",14

"SFN198707160",0,"70s"1987SFN.EVN.regular.comment.csv",15

"SFN198707170",76,"Debut game for Mackey Sasser"1987SFN.EVN.regular.comment.csv",16

"SFN198708140",10,"Debut game for Chris Gwynn"1987SFN.EVN.regular.comment.csv",17

"SFN198708310",37,"$throw was low and wide and Casey Candaele made a good play to catch the ball; Robby Thompson got up looked toward CF and was tagged"1987SFN.EVN.regular.comment.csv",18

"SFN198709010",35,"Debut game for Jack Daugherty"1987SFN.EVN.regular.comment.csv",19

"SFN198709010",84,"Debut game for Tom Romano"1987SFN.EVN.regular.comment.csv",20

"SFN198709150",53,"Debut game for John Burkett Debut game for Kirt Manwaring"1987SFN.EVN.regular.comment.csv",21

"SFN198709190",0,"70s"1987SFN.EVN.regular.comment.csv",22

"SFN198709190",12,"$Joel Youngblood injured his wrist diving for foul ball on third pitch to Tom Browning"1987SFN.EVN.regular.comment.csv",23

"SFN198709190",12,"$Tom Browning fouled the fifth pitch off his face; game was delayed 12 minutes while his nose was stitched"1987SFN.EVN.regular.comment.csv",24

"SFN198709200",0,"80s"1987SFN.EVN.regular.comment.csv",25

