"BOS192005150",51,"Account says rain began after single by McInnis.","FILENAME_TX","LINE_NUMBER_CT"
"BOS192005170",63,"$Hendryx stole second while Wilkinson held ball.","1920BOS.EVA.regular.comment.csv",2
"BOS192005270",35,"ej,shawb102,P,hildg101,Balls and strikes (Struck umpire) $Shawkey was enraged with Hildebrand's calls, charged ump and swung at him, but missed; Hildebrand took off mask and rained blow after blow on Shawkey's head; Shawkey was ejected left field bleeding from head and ear","1920BOS.EVA.regular.comment.csv",3
"BOS192005292",5,"$Pratt's bat hit ball while he ducked pitch","1920BOS.EVA.regular.comment.csv",4
"BOS192005292",10,"$Menosky overslid second","1920BOS.EVA.regular.comment.csv",5
"BOS192005292",66,"$When Lewis couldn't score, Hannah broke for third to start rundown, Lewis saw chance and broke for plate but would've been out but McInnis throw to Walters was low","1920BOS.EVA.regular.comment.csv",6
"BOS192007171",64,"Bounced into centerfield stands.","1920BOS.EVA.regular.comment.csv",7
"BOS192007172",19,"$Speaker sneeks in behind Bailey and gets him out heading back to second.","1920BOS.EVA.regular.comment.csv",8
"BOS192007172",24,"$Wamby is caught off first but Gardner tries to score he is thrown out.","1920BOS.EVA.regular.comment.csv",9
"BOS192008231",14,"Speaker arrives, subs Wood.","1920BOS.EVA.regular.comment.csv",10
"BOS192008232",47,"Not sure of putout on Johnston as no putout mentioned in account - Lunte is first batter in next inning and Johnston did beat out a hit.","1920BOS.EVA.regular.comment.csv",11
"BOS192008270",43,"Got credit for stealing third?","1920BOS.EVA.regular.comment.csv",12
"BOS192009010",41,"$Hendryx spikes J.Collins, trainer Stevenson attends to  Collins.","1920BOS.EVA.regular.comment.csv",13
"BOS192009041",3,"McInnis injured leg in batting prac. and reinjured on play","1920BOS.EVA.regular.comment.csv",14
"BOS192009042",5,"Mays took Pipp's toss but missed bag","1920BOS.EVA.regular.comment.csv",15
