"DET199604240",74,"ej,bellb001,M,johnm901,Balls and strikes $Tigers manager Bell ejected by HP umpire Johnson for arguing balls and strikes while Lewis was at bat"FILENAME_TX","LINE_NUMBER_CT"

"DET199605240",14,"Debut game for Raul Casanova"1996DET.EVA.regular.comment.csv",2

"DET199606110",1,"Debut game for Rocky Coppinger"1996DET.EVA.regular.comment.csv",3

"DET199607300",59,"Debut game for Todd Greene"1996DET.EVA.regular.comment.csv",4

"DET199608280",58,"ej,oestr001,C,cedeg901,Bench jockeying $Tigers 1B coach Oester ejected by HP umpire Cederstrom for complaining that umpire yelled at pitcher to throw strikes after Keagle threw pitch at Ramirez"1996DET.EVA.regular.comment.csv",5

"DET199609100",0,"Debut for umpire Marty Foster"1996DET.EVA.regular.comment.csv",6

"DET199609110",24,"ej,bellb001,M,brinj901,Balls and strikes Tigers manager Buddy Bell ejected by HP umpire Joe Brinkman"1996DET.EVA.regular.comment.csv",7

"DET199609270",54,"game called for rain"1996DET.EVA.regular.comment.csv",8

