"CIN191804160",28,"McKechnie dropped Caton's throw.","FILENAME_TX","LINE_NUMBER_CT"
"CIN191804160",51,"Cooper injured ankle-spikes caught in first base bag.","1918CIN.EVN.regular.comment.csv",2
"CIN191804170",11,"$Reuther injured back in first.","1918CIN.EVN.regular.comment.csv",3
"CIN191804170",27,"Chase fanned on pitchout.","1918CIN.EVN.regular.comment.csv",4
"CIN191804220",56,"Schneider and Wingo ejected by Harrison for arguing ball 4.","1918CIN.EVN.regular.comment.csv",5
"CIN191804280",73,"play,9,0,smytr101,??,,W play,9,0,gonzm101,??,,64(1)3/GDP play,9,0,sherb101,??,,D8 play,9,0,smitj106,??,,W play,9,0,niehb101,??,,S8.2-H;1-2 play,9,0,baird101,??,,PO2(E1).2-3;1-2# play,9,0,baird101,??,,S/5.3-H;2-3 play,9,0,hornr101,??,,HP.1-2 play,9,0,cruiw101,??,,4(1)/FO play,9,1,schnp101,??,,NP sub,smith107,'Harry Smith',1,9,11 play,9,1,smith107,??,,K play,9,1,grohh101,??,,S9 play,9,1,magel101,??,,S/4.1-2 play,9,1,rouse101,??,,9/F.2-3 play,9,1,mages101,??,,SB2 $Game called due to rain, 9th inning plays not count.","1918CIN.EVN.regular.comment.csv",6
"CIN191804300",59,"Not certain when Neale entered.","1918CIN.EVN.regular.comment.csv",7
"CIN191804300",66,"Probably defensive indifference.","1918CIN.EVN.regular.comment.csv",8
"CIN191805140",60,"O'Mara was playing in for bunt.","1918CIN.EVN.regular.comment.csv",9
"CIN191805140",77,"No one covered first.","1918CIN.EVN.regular.comment.csv",10
"CIN191805180",59,"$Allen injured by Zimmerman's slide.","1918CIN.EVN.regular.comment.csv",11
"CIN191805200",45,"Roush missed third.","1918CIN.EVN.regular.comment.csv",12
"CIN191805200",73,"Possibly defensive indifference.","1918CIN.EVN.regular.comment.csv",13
"CIN191805210",20,"Off Nehf's bare hand","1918CIN.EVN.regular.comment.csv",14
"CIN191805210",49,"Sherry Magee ejcted at some point.","1918CIN.EVN.regular.comment.csv",15
"CIN191805210",52,"RBI for Konetchy in Retrosheet box score.","1918CIN.EVN.regular.comment.csv",16
"CIN191805220",37,"$Light rain began falling.","1918CIN.EVN.regular.comment.csv",17
"CIN191805220",79,"Kelly dropped fly.","1918CIN.EVN.regular.comment.csv",18
"CIN191805230",16,"$SB and PB on same play OK in this era","1918CIN.EVN.regular.comment.csv",19
"CIN191805270",60,"pbp ends here, rest deduced","1918CIN.EVN.regular.comment.csv",20
"CIN191805270",63,"$Luderus interferred with throw by Blackburne and DP awarded","1918CIN.EVN.regular.comment.csv",21
"CIN191806232",14,"McKechnie dropped fly but got force.","1918CIN.EVN.regular.comment.csv",22
"CIN191806232",16,"$Fly popped out of Cutshaw's glove-caught by Carey.","1918CIN.EVN.regular.comment.csv",23
"CIN191806232",60,"$Carey scored while Chase tried to get Hinchman going to 2nd.","1918CIN.EVN.regular.comment.csv",24
"CIN191806240",35,"Mollewitz ejected by Klem for arguing a call at first.","1918CIN.EVN.regular.comment.csv",25
"CIN191806240",55,"Ball boy touched ball after Schmidt scored.  AFter ball was returned to Schneider, Caton tried to score and collided  with Allen, knocking ball loose and himself out.","1918CIN.EVN.regular.comment.csv",26
"CIN191807150",63,"pbp account ends here, rest deduced","1918CIN.EVN.regular.comment.csv",27
"CIN191808160",65,"9th inning from NY Times.","1918CIN.EVN.regular.comment.csv",28
