"BAL201704080",38,"Yankees catcher Gary Sanchez left the game due to an injured arm","FILENAME_TX","LINE_NUMBER_CT"
"BAL201704080",51,"replay,5,trumm001,BAL,gormb901,BAL12,,Y,M,BAL,C $when Mark Trumbo was called out at 1B, Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay","2017BAL.EVA.regular.comment.csv",2
"BAL201704080",70,"replay,7,schoj001,BAL,gormb901,BAL12,,Y,M,NYA,A $when Joey Rickard was called safe at 2B, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay","2017BAL.EVA.regular.comment.csv",3
"BAL201704210",63,"replay,8,trumm001,BAL,wendh902,BAL12,,N,M,BAL,C $Manny Machado made a hard slide into Dustin Pedroia beyond the bag but was not called for runner interference; Pedroia was helped off the field; Orioles manager Buck Showalter challenged the out call; the ruling was upheld by replay","2017BAL.EVA.regular.comment.csv",4
"BAL201704210",63,"Dustin Pedroia left with an injured leg","2017BAL.EVA.regular.comment.csv",5
"BAL201704210",65,"ej,buttb801,C,porta901,Interference non-call Red Sox Third Base Coach Brian Butterfield ejected by 3B umpire Alan Porter arguing the non-call on Machado in the previous inning","2017BAL.EVA.regular.comment.csv",6
"BAL201704230",59,"Red Sox third baseman Pablo Sandoval left the game due to an injured knee","2017BAL.EVA.regular.comment.csv",7
"BAL201704230",61,"replay,7,schoj001,BAL,wendh902,BAL12,,Y,M,BOS,C $when Jonathan Schoop was called safe at 1B, Red Sox manager John Farrell challenged the ruling; the call was overturned by replay","2017BAL.EVA.regular.comment.csv",8
"BAL201704230",68,"ej,barnm001,P,fleta901,Throwing behind batter $Matt Barnes threw his first pitch behind Manny Machado's head; the ball struck the bat; Barnes ejected by HP umpire Andy Fletcher; Edwin Rodriguez had thrown at Machado in the sixth inning as retaliation for Machado injuring Dustin Pedroia with a slide on 4/21","2017BAL.EVA.regular.comment.csv",9
"BAL201704240",31,"replay,4,petes002,TBA,kellj901,BAL12,,N,M,BAL,O $when Shane Peterson's hit to RF was ruled a fair ball, Orioles manager Buck Showalter challenged the ruling; the call was upheld by replay","2017BAL.EVA.regular.comment.csv",10
"BAL201705050",3,"$pitcher Wade Miley struck on the left wrist","2017BAL.EVA.regular.comment.csv",11
"BAL201705050",4,"$Wade Miley struck on the leg and left with a bruised wrist","2017BAL.EVA.regular.comment.csv",12
"BAL201705070",10,"replay,1,trumm001,BAL,emmep901,BAL12,,Y,M,BAL,C $when Mark Trumbo was called out at 1B, Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay","2017BAL.EVA.regular.comment.csv",13
"BAL201705070",27,"ej,rentr001,M,emmep901,Balls and strikes White Sox Manager Rick Renteria ejected by HP umpire Paul Emmel","2017BAL.EVA.regular.comment.csv",14
"BAL201705070",77,"replay,9,garcl004,CHA,emmep901,BAL12,,N,M,CHA,C $when Leury Garcia was called out at 1B, White Sox acting manager Joe McEwing challenged the ruling; the call was upheld by replay","2017BAL.EVA.regular.comment.csv",15
"BAL201705090",79,"ej,murpd006,P,diazl901,Called third strike Nationals second baseman Daniel Murphy ejected by HP umpire Laz Diaz","2017BAL.EVA.regular.comment.csv",16
"BAL201705090",82,"replay,10,machm001,BAL,nelsj901,BAL12,,Y,M,BAL,C $when Joey Rickard was called out at 2B, Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay","2017BAL.EVA.regular.comment.csv",17
"BAL201705190",17,"replay,2,schoj001,BAL,mealj901,BAL12,,Y,M,BAL,C $when Jonathan Schoop was called out at 1B, Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay","2017BAL.EVA.regular.comment.csv",18
"BAL201705190",61,"replay,7,smoaj001,TOR,mealj901,BAL12,,Y,M,BAL,I $when Justin Smoak reached 1B on a strikeout plus a wild pitch, Orioles manager Buck Showalter challenged the ruling; the pitch struck Smoak; the call was overturned to a strikeout, thus taking a run off the board","2017BAL.EVA.regular.comment.csv",19
"BAL201705200",3,"replay,1,bautj002,TOR,mealj901,BAL12,,Y,M,TOR,C $when Ezequiel Carrera was called out at 2B, Blue Jays manager John Gibbons challenged the ruling; the call overturned by replay","2017BAL.EVA.regular.comment.csv",20
"BAL201705200",20,"replay,3,goinr001,TOR,mealj901,BAL12,,Y,M,TOR,C $when Ryan Goins was called out at 1B, Blue Jays manager John Gibbons challenged the ruling; the call overturned by replay","2017BAL.EVA.regular.comment.csv",21
"BAL201705220",23,"replay,3,dozib001,MIN,reynj901,BAL12,,N,M,BAL,O $Brian Dozier's hit down the LF line was called a fair ball; Orioles manager Buck Showalter challenged the ruling; the call was upheld by replay","2017BAL.EVA.regular.comment.csv",22
"BAL201705300",43,"replay,5,refsr001,NYA,millb901,BAL12,,Y,M,BAL,C $when Chase Headley was called safe at 2B, Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay","2017BAL.EVA.regular.comment.csv",23
"BAL201706010",43,"replay,6,jonea003,BAL,nelsj901,BAL12,I,N,U,,H $Adam Jones' fly ball to LF was caught by a fan in the first row; crew chief Jeff Nelson requested a review, which upheld the call","2017BAL.EVA.regular.comment.csv",24
"BAL201706030",51,"replay,7,manct001,BAL,nelsj901,BAL12,,Y,M,BOS,C $when Trey Mancini was called safe at 1B, Red Sox, manager John Farrell challenged the ruling; the call was overturned by replay","2017BAL.EVA.regular.comment.csv",25
"BAL201706040",10,"replay,1,trumm001,BAL,nelsj901,BAL12,,Y,M,BAL,A $when Joey Rickard was called out at 3B, Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay","2017BAL.EVA.regular.comment.csv",26
"BAL201706040",34,"replay,4,manct001,BAL,nelsj901,BAL12,,Y,M,BOS,D $when Mookie Betts was ruled not to have caught Trey Mancini's line drive, Red Sox manager John Farrell challenged the ruling; the call was overturned by replay","2017BAL.EVA.regular.comment.csv",27
"BAL201706060",55,"Pirates pitcher Ivan Nova left the game due to an injured knee","2017BAL.EVA.regular.comment.csv",28
"BAL201706060",76,"$Pirate catcher Francisco Cervelli struck on the mask by a foul ball and left with concussion-like symptoms","2017BAL.EVA.regular.comment.csv",29
"BAL201706070",12,"$McCutchen spiked Orioles third baseman Manny Machado on left wrist sliding into third, Machado left the game next inning","2017BAL.EVA.regular.comment.csv",30
"BAL201706070",92,"replay,11,freed001,PIT,laynj901,BAL12,,Y,M,PIT,A $when Gregory Polanco was called out at 1B on a pickoff attempt, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2017BAL.EVA.regular.comment.csv",31
"BAL201706160",56,"$originally scored as error, changed to single on 06-22-2017, making both runs in inning earned","2017BAL.EVA.regular.comment.csv",32
