"BRO192104300",58,"ej,rawlj101,P,emslb101,Call at 2B Johnny Rawlings ejected by 1B umpire Bob Emslie","FILENAME_TX","LINE_NUMBER_CT"
"BRO192105020",43,"$Bounce HR","1921BRO.EVN.regular.comment.csv",2
"BRO192105080",48,"$Bounce HR","1921BRO.EVN.regular.comment.csv",3
"BRO192105100",29,"$Dode Paskert thought he was called out and turned into the field","1921BRO.EVN.regular.comment.csv",4
"BRO192105100",54,"$Bounce HR","1921BRO.EVN.regular.comment.csv",5
"BRO192105120",62,"$Bounce HR","1921BRO.EVN.regular.comment.csv",6
"BRO192105150",6,"$Bounce HR","1921BRO.EVN.regular.comment.csv",7
"BRO192105150",25,"$Bounce HR","1921BRO.EVN.regular.comment.csv",8
"BRO192105150",47,"$Bounce HR","1921BRO.EVN.regular.comment.csv",9
"BRO192105160",25,"ej,olsoi101,P,mccob104,Balls and strikes Ivy Olson ejected by HP umpire Barry McCormick","1921BRO.EVN.regular.comment.csv",10
"BRO192105290",61,"$Frank Bruggy injured himself removing his mask","1921BRO.EVN.regular.comment.csv",11
"BRO192106230",50,"ej,meusi101,P,hartb901,Call at 3B (Appeal) $Irish Meusel out on appeal for leaving 3B early and was ejected by 1B Umpire Bob Hart","1921BRO.EVN.regular.comment.csv",12
"BRO192106230",53,"$Bounce HR","1921BRO.EVN.regular.comment.csv",13
"BRO192106250",15,"ej,mitcf101,M,odayh101,Fair/foul call Braves Manager Fred Mitchell ejected by HP umpire Hank O'Day","1921BRO.EVN.regular.comment.csv",14
"BRO192106260",55,"$Bounce HR","1921BRO.EVN.regular.comment.csv",15
"BRO192106270",64,"ej,millo103,P,odayh101,Fighting ej,boect101,P,odayh101,Fighting Otto Miller and Tony Boeckel ejected by HP umpire Hank O'Day","1921BRO.EVN.regular.comment.csv",16
"BRO192107130",36,"$Bounce HR","1921BRO.EVN.regular.comment.csv",17
"BRO192107130",41,"$Bounce HR","1921BRO.EVN.regular.comment.csv",18
"BRO192107200",30,"ej,olsoi101,P,quige901,Timing play Ivy Olson ejected by HP umpire Ernie Quigley when the umpire ruled Jimmy Johnston was out before Ivy Olson scored","1921BRO.EVN.regular.comment.csv",19
"BRO192107240",5,"$Hod Ford left with injured nose","1921BRO.EVN.regular.comment.csv",20
"BRO192108220",17,"$Bounce HR","1921BRO.EVN.regular.comment.csv",21
"BRO192109030",62,"game called due to rain","1921BRO.EVN.regular.comment.csv",22
