"OAK201803290",89,"$Athletics challenged call that Maldonado was safe at 2nd; call was upheld - safe on single"FILENAME_TX","LINE_NUMBER_CT"

"OAK201803310",48,"$Angels challenged call that Marte was out advancing to 3rd; call was overturned - safe on wild pitch"2018OAK.EVA.regular.comment.csv",2

"OAK201803310",72,"$Athletics challenged call that Cozart was hit by pitch; call was upheld - hit by pitch"2018OAK.EVA.regular.comment.csv",3

"OAK201804050",14,"$Rangers challenged call that Robinson was caught stealing; call was upheld - caught stealing"2018OAK.EVA.regular.comment.csv",4

"OAK201804180",27,"$Athletics challenged call that Lowrie was out to complete double play; call was overturned - force out, no DP"2018OAK.EVA.regular.comment.csv",5

"OAK201804200",12,"$Umpire review to chek foul ball hit by Pinder on 4th pitch; call was upheld - foul ball"2018OAK.EVA.regular.comment.csv",6

"OAK201805040",52,"$originally scored as throwing error by shortstop, changed to dropped catch error by 1b man on 05-08-2018"2018OAK.EVA.regular.comment.csv",7

"OAK201805040",60,"$Orioles challenged call that Jones was out at first; call was upheld - ground out"2018OAK.EVA.regular.comment.csv",8

"OAK201805050",22,"$Orioles challenged call that Joyce was safe at 1st, arguing he was out to complete DP; call was upheld - force out, no DP"2018OAK.EVA.regular.comment.csv",9

"OAK201805050",77,"$Athletics challenged call that Canha was out at first; call was upheld - ground out"2018OAK.EVA.regular.comment.csv",10

"OAK201805060",30,"$Athletics challenged call that Olson was out at 3rd; call was upheld - out on caught stealing"2018OAK.EVA.regular.comment.csv",11

"OAK201805070",18,"$Astros challenged call that Correa was out at 1st; call was overturned - single"2018OAK.EVA.regular.comment.csv",12

"OAK201805220",33,"$Mitch Haniger left with an injured arm"2018OAK.EVA.regular.comment.csv",13

"OAK201805220",69,"ej,servs001,M,knigb901,Arguing called third strike $Mariners Manager Scott Servais ejected by plate umpire Brian Knight for arguing called third strike"2018OAK.EVA.regular.comment.csv",14

"OAK201805230",24,"$originally scored as unearned and no RBI; changed to earned and RBI on 05-24-2018"2018OAK.EVA.regular.comment.csv",15

"OAK201805230",62,"$Athletics challenged call that Fowler was out at 2nd; call was upheld - out on caught stealing"2018OAK.EVA.regular.comment.csv",16

"OAK201805270",39,"$Diamondbacks challenged call that Peralta was out at 1st to complete double play; call was overturned - force out, no DP"2018OAK.EVA.regular.comment.csv",17

"OAK201805280",63,"$Athletics challenged call that Lowrie was out at 3rd; call was upheld - force out"2018OAK.EVA.regular.comment.csv",18

"OAK201805290",29,"$Athletics challenged call that Robertson was safe at 2nd for double; call was overturned - single and out stretching"2018OAK.EVA.regular.comment.csv",19

"OAK201805300",54,"$Rays challenged call that Arroyo was out at first; call was upheld - ground out"2018OAK.EVA.regular.comment.csv",20

"OAK201806080",12,"$Jorge Soler left with an injured foot"2018OAK.EVA.regular.comment.csv",21

"OAK201806090",30,"$Royals challenged call that Escobar was out at home; call was upheld - out at home"2018OAK.EVA.regular.comment.csv",22

"OAK201806150",73,"$orignally scored as wild pitch, changed to passed ball on 06-17-2018; run now unearned"2018OAK.EVA.regular.comment.csv",23

"OAK201806160",16,"$Angels challenged call that Fletcher was out at 1st; call was upheld - ground out"2018OAK.EVA.regular.comment.csv",24

"OAK201806170",56,"$Angels challenged call that Lowrie was safe at 3rd; call was upheld - safe advancing after fly ball"2018OAK.EVA.regular.comment.csv",25

"OAK201806290",63,"$Umpire review of ball hit by Guyer; call was upheld - home run"2018OAK.EVA.regular.comment.csv",26

