"CHA194904220",0,"$Commissioner Happy Chandler threw out the first ball"FILENAME_TX","LINE_NUMBER_CT"

"CHA194905050",74,"Tipton hurt by foul tip off of finger"1949CHA.EVA.regular.comment.csv",2

"CHA194905060",65,"End of World Telegram account, rest is deduced"1949CHA.EVA.regular.comment.csv",3

"CHA194905110",94,"$the White Sox scored a run in all eight innings"1949CHA.EVA.regular.comment.csv",4

"CHA194906030",70,"ej,shouc101,P,boyej901,Balls and strikes $Shoun ejected by HP umpire Jim Boyer after he left game for arguing balls and strikes"1949CHA.EVA.regular.comment.csv",5

"CHA194906070",24,"this could be 643 and other DP 63"1949CHA.EVA.regular.comment.csv",6

"CHA194906290",11,"$Baker tagged Kokos"1949CHA.EVA.regular.comment.csv",7

"CHA194907190",73,"ej,appll101,P,romme101,Call at 2B $Tommy O'Brien just beat Luke Appling's throw to 2B; White Sox manager Jack Onslow, Appling, and several others argued the call; Appling ejected by 3B umpire Eddie Rommel"1949CHA.EVA.regular.comment.csv",8

"CHA194907190",78,"ej,tiptj101,P,romme101,Call at 2B $Catcher Tipton ejected by unknown umpire Rommel for continuing to argue play at 2B earlier in inning"1949CHA.EVA.regular.comment.csv",9

"CHA194907200",25,"23 minute rain delay With an 0-1 count on Frank Quinn"1949CHA.EVA.regular.comment.csv",10

"CHA194908211",22,"ej,peckh101,P,hubbc901,Catch/trap call $Luke Appling caught Dale Mitchell's line drive near the ground and threw to Cass Michaels, who tagged Frank Papish while Papish was standing on 2B; the play was ruled a catch and a double play; Papish went to the bench and Mitchell stayed on 1B; when Mitchell was belatedly waved out, Papish dashed from the bench toward 1B but was tagged in the coaching box by Chuck Kress; after a long argument with many people, Hal Peck, who was not in the game, was ejected by 1B umpire Cal Hubbard"1949CHA.EVA.regular.comment.csv",11

"CHA194908212",44,"$Ed Klieman and Joe Gordon collided"1949CHA.EVA.regular.comment.csv",12

"CHA194908250",4,"$Mickey McDermott left with a sore shoulder"1949CHA.EVA.regular.comment.csv",13

"CHA194908270",30,"ej,tebbb101,P,joner901,Call at HP $Catcher Tebbetts ejected by plate umpire Jones for bumping him while arguing call at plate"1949CHA.EVA.regular.comment.csv",14

"CHA194908281",7,"$Tommy Henrich fractured 2nd and 3rd lumbar vertebrae crashing into wall trying to catch double"1949CHA.EVA.regular.comment.csv",15

"CHA194909252",61,"$game called due to darkness"1949CHA.EVA.regular.comment.csv",16

