"PHI192005050",94,"DWS: last two plays may be continuation and DP, but official don't show DP or CS","FILENAME_TX","LINE_NUMBER_CT"
"PHI192005312",64,"$Eayrs hurt running bases","1920PHI.EVN.regular.comment.csv",2
"PHI192006020",31,"$Muesel HR bounced into LF bleachers per 73","1920PHI.EVN.regular.comment.csv",3
"PHI192006090",56,"Not clear when or if Tragesser entered.","1920PHI.EVN.regular.comment.csv",4
"PHI192006110",35,"$Bounced into stands","1920PHI.EVN.regular.comment.csv",5
"PHI192006110",45,"Missing top of 6th.","1920PHI.EVN.regular.comment.csv",6
"PHI192006120",2,"Bigbee overslid the bag.","1920PHI.EVN.regular.comment.csv",7
"PHI192006120",18,"Bounced into the stands.","1920PHI.EVN.regular.comment.csv",8
"PHI192006120",53,"Attempted sacrifice.","1920PHI.EVN.regular.comment.csv",9
"PHI192006150",81,"Hit and run.","1920PHI.EVN.regular.comment.csv",10
"PHI192006150",88,"Schmidt hit Paulette in the back with his throw.","1920PHI.EVN.regular.comment.csv",11
"PHI192006191",39,"Probably a bunt.","1920PHI.EVN.regular.comment.csv",12
"PHI192006261",23,"Meadows ejected for arguing ball call for several minutes","1920PHI.EVN.regular.comment.csv",13
"PHI192006261",93,"After out call at home pop bottles thrown at ump Harrison","1920PHI.EVN.regular.comment.csv",14
"PHI192006280",23,"Bounce HR first hop into LF bleachers","1920PHI.EVN.regular.comment.csv",15
"PHI192006290",65,"Bounce HR by Burns","1920PHI.EVN.regular.comment.csv",16
"PHI192007281",24,"$Whitted fell trying to get back to the bag.","1920PHI.EVN.regular.comment.csv",17
"PHI192007281",67,"$Ball bounded into the bleachers","1920PHI.EVN.regular.comment.csv",18
"PHI192007282",32,"$Bounded into the bleachers","1920PHI.EVN.regular.comment.csv",19
"PHI192007310",34,"Bounced into stands.","1920PHI.EVN.regular.comment.csv",20
"PHI192007310",54,"$Tragesser made wild return throw to Gallia","1920PHI.EVN.regular.comment.csv",21
"PHI192008100",10,"Hit and run.","1920PHI.EVN.regular.comment.csv",22
"PHI192008171",50,"$Rain delay 10 minutes","1920PHI.EVN.regular.comment.csv",23
"PHI192009061",55,"$Rawlings let pop up drop.","1920PHI.EVN.regular.comment.csv",24
"PHI192009071",1,"Olson ejected by O'Day for disputing out call","1920PHI.EVN.regular.comment.csv",25
"PHI192009071",15,"$Sheridan spiked on hand by LeBourveau on SB2","1920PHI.EVN.regular.comment.csv",26
"PHI192009072",43,"$Mamaux twisted ankle covering furst","1920PHI.EVN.regular.comment.csv",27
"PHI192009090",58,"$Meusel was boxed.  He went back to third and Fletcher was there.  Fletcher was tagged.","1920PHI.EVN.regular.comment.csv",28
"PHI192009110",13,"Off Fletcher's glove.","1920PHI.EVN.regular.comment.csv",29
"PHI192009110",31,"The fly was so close to the fence that Southworth could not hold the ball.","1920PHI.EVN.regular.comment.csv",30
"PHI192009130",23,"Rawlings called for interference.","1920PHI.EVN.regular.comment.csv",31
"PHI192009210",73,"ej,paulg102,P,odayh101,Call at 1B Paulette ejected for arguing call at first, then rolled ball away and runners took extra base.","1920PHI.EVN.regular.comment.csv",32
"PHI192009220",72,"Overslid third.","1920PHI.EVN.regular.comment.csv",33
