"KCA201304120",54,"Blue Jays shortstop Jose Reyes left the game due to an injured ankle"FILENAME_TX","LINE_NUMBER_CT"

"KCA201304281",9,"replay,2,santc002,CLE,emmep901,KAN06,O,N,I,,H $Carlos Santana's fly ball caromed off the top of the padded wall onto the field and was ruled in play; acting crew chief Paul Emmel watched the replay and upheld the call"2013KCA.EVA.regular.comment.csv",2

"KCA201305060",48,"replay,7,ramia003,CHA,cedeg901,KAN06,F,N,I,,H $Alexei Ramirez hit a fly ball down the LF line on the fourth pitch that was ruled foul; White Sox manager Robin Ventura asked about the call so crew chief Gary Cederstom watched the replay and upheld the call because they did not have the proper angle to see whether the ball was fair or foul"2013KCA.EVA.regular.comment.csv",3

"KCA201305110",44,"$Walk granted after 3 balls"2013KCA.EVA.regular.comment.csv",4

"KCA201305250",39,"ej,getzc001,P,fostm901,Call at 1B $Getz ejected by 1B umpire Foster for arguing he was safe at 1st"2013KCA.EVA.regular.comment.csv",5

"KCA201305260",45,"ej,butlb003,P,fostm901,Called third strike Royals designated hitter Billy Butler ejected by HP umpire Marty Foster"2013KCA.EVA.regular.comment.csv",6

"KCA201305260",62,"Angels pitcher Sean Burnett left the game due to an injured arm"2013KCA.EVA.regular.comment.csv",7

"KCA201305260",85,"ej,sciom001,M,fostm901,Balls and strikes (Reversed) $the eighth pitch to Jeff Francoeur was called a swing by HP umpire Marty FOster; the umpires huddled and crew chief Tim Welke overturned the call to a foul ball; Angels Manager Mike Scioscia argued the call with Welke and then FOster and was ejected by Foster"2013KCA.EVA.regular.comment.csv",8

"KCA201306110",74,"ej,butlb003,P,bakej902,Called third strike Royals designated hitter Billy Butler ejected by HP umpire Jordan Baker"2013KCA.EVA.regular.comment.csv",9

"KCA201307030",41,"Royals left fielder Alex Gordon left the game due to an injured hip"2013KCA.EVA.regular.comment.csv",10

"KCA201307200",46,"Royals second baseman Chris Getz left the game due to an injured knee"2013KCA.EVA.regular.comment.csv",11

"KCA201308080",53,"originally scored E6, changed to single on 08-12-2013"2013KCA.EVA.regular.comment.csv",12

"KCA201308120",42,"Royals third baseman Mike Moustakas left the game due to an injured leg"2013KCA.EVA.regular.comment.csv",13

"KCA201308200",10,"$the ball went into the advertising sign behind HP and disappeared"2013KCA.EVA.regular.comment.csv",14

"KCA201308230",19,"originally scored E6, changed to single on 08-26-2013; run now earned"2013KCA.EVA.regular.comment.csv",15

"KCA201308250",69,"originally scored as single, changed to E3 on 09-04-2013; both runs in inning now unearned"2013KCA.EVA.regular.comment.csv",16

"KCA201308260",38,"ej,maddj801,M,gibsg901,Called third strike Rays Manager Joe Maddon ejected by HP umpire Greg Gibson"2013KCA.EVA.regular.comment.csv",17

"KCA201309020",62,"Mariners pitcher Felix Hernandez left the game due to an injured back"2013KCA.EVA.regular.comment.csv",18

"KCA201309060",56,"replay,5,infao001,DET,barrt901,KAN06,O,N,I,,H $Omar Infante's fly ball was touched by a fan reaching over the top of the LF wall; the ball caromed off the wall and was ruled in play; crew chief Ted Barrett watched the replay and upheld the call"2013KCA.EVA.regular.comment.csv",19

"KCA201309160",56,"originally scored E5, changed to single on 09-26-2013"2013KCA.EVA.regular.comment.csv",20

