"SLN192506020",44,"High into RF seats","1925SLN.EVN.regular.comment.csv",109
"SLN192506020",48,"Good catch","1925SLN.EVN.regular.comment.csv",110
"SLN192506020",54,"Low throw to 2B","1925SLN.EVN.regular.comment.csv",111
"SLN192506020",61,"Hit the top seat in RF bleachers","1925SLN.EVN.regular.comment.csv",112
"SLN192506030",13,"Great running catch","1925SLN.EVN.regular.comment.csv",113
"SLN192506030",34,"Came in fast","1925SLN.EVN.regular.comment.csv",114
"SLN192506030",44,"Fine catch","1925SLN.EVN.regular.comment.csv",115
"SLN192506030",47,"Fancy catch","1925SLN.EVN.regular.comment.csv",116
"SLN192506030",49,"Into LF bleachers","1925SLN.EVN.regular.comment.csv",117
"SLN192506030",51,"Sprinted 50 yards to catch it","1925SLN.EVN.regular.comment.csv",118
"SLN192506030",55,"Fine catch","1925SLN.EVN.regular.comment.csv",119
"SLN192506030",58,"Fast play","1925SLN.EVN.regular.comment.csv",120
"SLN192506030",70,"J.Smith fumbled","1925SLN.EVN.regular.comment.csv",121
"SLN192506030",71,"J.Smith fumbled","1925SLN.EVN.regular.comment.csv",122
"SLN192506040",5,"Infield hit off McQuillan's glove; he was hurt by the drive and Dean started warming up.","1925SLN.EVN.regular.comment.csv",123
"SLN192506040",6,"Over LF scoreboard into Sullivan Street; one of the longest drives ever made outside the park.","1925SLN.EVN.regular.comment.csv",124
"SLN192506040",16,"Good running catch","1925SLN.EVN.regular.comment.csv",125
"SLN192506040",17,"Attempted double steal; Lindstrom scored as Hornsby chased Jackson back to 1B.  It was an exciting race that Jackson won by an eyelash.","1925SLN.EVN.regular.comment.csv",126
"SLN192506040",27,"Apparently McQuillan found it impossible to continue due to the injury to his hand/wrist/fingers.","1925SLN.EVN.regular.comment.csv",127
"SLN192506040",29,"Meusel fumbled","1925SLN.EVN.regular.comment.csv",128
"SLN192506040",39,"Into LF bleachers","1925SLN.EVN.regular.comment.csv",129
"SLN192506040",53,"Over LF fence","1925SLN.EVN.regular.comment.csv",130
"SLN192506040",58,"NYEW coverage ended here","1925SLN.EVN.regular.comment.csv",131
"SLN192506040",59,"Into RF seats","1925SLN.EVN.regular.comment.csv",132
"SLN192506040",65,"$Hit on the right thumb; x-rays after the game showed it broken in two places.","1925SLN.EVN.regular.comment.csv",133
"SLN192506040",72,"When Flack scrambled back safely to 2B, Bell was tagged out","1925SLN.EVN.regular.comment.csv",134
"SLN192506040",77,"Cooney hurt his finger trying to catch the pop fly","1925SLN.EVN.regular.comment.csv",135
"SLN192506040",82,"Into LF seats","1925SLN.EVN.regular.comment.csv",136
"SLN192506040",87,"Over LF fence","1925SLN.EVN.regular.comment.csv",137
"SLN192506040",93,"Youngs fumbled","1925SLN.EVN.regular.comment.csv",138
"SLN192506050",1,"Great stop","1925SLN.EVN.regular.comment.csv",139
