"ATL198704090",85,"$Glenn Wilson hit by throw while out of baseline"FILENAME_TX","LINE_NUMBER_CT"

"ATL198704240",12,"$Gerald Perry allowed popped bunt to fall"1987ATL.EVN.regular.comment.csv",2

"ATL198704240",33,"$Roger Mason missed 1B and called out on appeal on his ground-rule double"1987ATL.EVN.regular.comment.csv",3

"ATL198704250",76,"$Scott Garrelts dropped the ball while standing on the pitcher's plate"1987ATL.EVN.regular.comment.csv",4

"ATL198705290",0,"Debut for umpire Bill Hohn"1987ATL.EVN.regular.comment.csv",5

"ATL198705290",29,"$Shawon Dunston called out when his bat hit the ball twice"1987ATL.EVN.regular.comment.csv",6

"ATL198706050",38,"DWS: really one play, separate for now"1987ATL.EVN.regular.comment.csv",7

"ATL198706200",28,"ej,thoma001,P,willb901,Fighting with Bill Gullickson ej,gullb001,P,willb901,Fighting with Andres Thomas $Andres Thomas charged the mound and both benches cleared; a brawl ensued; Thomas and pitcher Bill Gullickson ejected by HP umpire Bill Williams"1987ATL.EVN.regular.comment.csv",8

"ATL198706210",66,"ej,jonet001,P,mcshj901,Charging mound Tracy Jones ejected by HP umpire John McSherry for charging the mound"1987ATL.EVN.regular.comment.csv",9

"ATL198707050",65,"Debut game for Jeff Blauser"1987ATL.EVN.regular.comment.csv",10

"ATL198708180",6,"ej,morek001,P,grege901,Call at 1B Keith Moreland ejected by 1B umpire Eric Gregg"1987ATL.EVN.regular.comment.csv",11

"ATL198709050",1,"Debut game for Kevin Coffman"1987ATL.EVN.regular.comment.csv",12

"ATL198709050",50,"Debut game for Marty Clary"1987ATL.EVN.regular.comment.csv",13

"ATL198709060",88,"Debut game for Ron Gant"1987ATL.EVN.regular.comment.csv",14

"ATL198709070",83,"Debut game for Randy Byers"1987ATL.EVN.regular.comment.csv",15

"ATL198709080",1,"Debut game for Pete Smith"1987ATL.EVN.regular.comment.csv",16

"ATL198709080",62,"Debut game for Shawn Abner"1987ATL.EVN.regular.comment.csv",17

"ATL198709120",40,"official records have 2 ER in this inning"1987ATL.EVN.regular.comment.csv",18

"ATL198709120",74,"ej,welcb001,P,willc901,Balls and strikes Bob Welch ejected by HP umpire Charlie Williams arguing balls and strikes"1987ATL.EVN.regular.comment.csv",19

"ATL198709120",92,"ej,roeng001,P,kiblj901,Swung at pitch that struck him Gary Roenicke ejected by 1B umpire John Kibler who ruled that Roenicke swung at a pitch that hit him"1987ATL.EVN.regular.comment.csv",20

