"PHI197804280",0,"Debut for umpire Charlie Williams","FILENAME_TX","LINE_NUMBER_CT"
"PHI197804280",17,"$Ted Sizemore injured on steal attempt","1978PHI.EVN.regular.comment.csv",2
"PHI197805050",82,"$Lenny Randle walked after the sixth pitch, but nobody said anything and he tripled on the next pitch","1978PHI.EVN.regular.comment.csv",3
"PHI197805120",68,"ej,ozard801,M,rennd901,Catch/trap call Phillies Manager Danny Ozark ejected by 3B umpire Dutch Rennert","1978PHI.EVN.regular.comment.csv",4
"PHI197805130",72,"ej,hebnr001,P,wendh901,Call at 1B ej,ozard801,M,wendh901,Call at 1B Richie Hebner and Phillies Manager Danny Ozark ejected by 1B umpire Herry Wendelstedt","1978PHI.EVN.regular.comment.csv",5
"PHI197805310",9,"$Mike Schmidt left with injured knee","1978PHI.EVN.regular.comment.csv",6
"PHI197805310",17,"$Jim Fregosi's last game, will retire to manage","1978PHI.EVN.regular.comment.csv",7
"PHI197806020",70,"$Bill North called for interference at 2B, Dodgers manager Tommy Lasorda furious","1978PHI.EVN.regular.comment.csv",8
"PHI197806070",59,"Rain delay","1978PHI.EVN.regular.comment.csv",9
"PHI197806070",64,"Rain delay","1978PHI.EVN.regular.comment.csv",10
"PHI197806200",73,"ej,hebnr001,P,weyel901,Called third strike $Hebner ejected by HP umpire Weyer for arguing called third strike","1978PHI.EVN.regular.comment.csv",11
"PHI197807060",60,"ej,roges001,P,harvd901,Bench jockeying $Expos Rogers, not in game, ejected by 1B umpire Harvey for bench jockeying sometime in 7th inning","1978PHI.EVN.regular.comment.csv",12
"PHI197807190",60,"ej,sizet101,P,weyel901,Checked swing (as fielder) Ted Sizemore ejected by 1B umpire Lee Weyer after Weyer ruled Pete Rose half swing not a strike","1978PHI.EVN.regular.comment.csv",13
"PHI197807200",33,"ej,andes101,M,weyel901,Missing base on ground rule double $Reds manager Anderson ejected by HP umpire Weyer for arguing Boone not entitled to 2nd on ground rule double because he missed 1st base, although everyone agrees he returned to touch it before reaching 2nd","1978PHI.EVN.regular.comment.csv",14
"PHI197808110",62,"ej,hamid101,P,froeb901,Throwing at batter Dave Hamilton ejected by HP umpire Bruce Froemming for throwing at Bake McBride","1978PHI.EVN.regular.comment.csv",15
"PHI197809120",49,"ej,candj001,P,olsea901,Fair/foul call ej,tannc101,M,olsea901,Fair/foul call John Candelaria and Pirates Manager Chuck Tannerejected by 3B umpire Andy Olsen","1978PHI.EVN.regular.comment.csv",16
"PHI197809160",9,"ej,torrj101,M,colon901,Balls and strikes Mets Manager Joe Torre ejected by HP umpire Nick Colosi","1978PHI.EVN.regular.comment.csv",17
"PHI197809160",46,"ej,montw101,M,colon901,Balls and strikes Willie Montanez, Bobby Valentine and Mets Manager Joe Torre ejected by HP umpire Nick Colosi sometime in seventh","1978PHI.EVN.regular.comment.csv",18
"PHI197809160",47,"ej,valeb102,M,colon901,Balls and strikes $Dan Norman objected to a pitch that was called a strike by HP umpire Nick Colosi; Bobby Valentine ejected by Colosi from the bench; Colosi attempted to restart the game but walked back to The Mets dugout and ejected Willie Montanez; Montanez then dropped a towel on Colosi's shoes and threw a helmet and three bats onto the field","1978PHI.EVN.regular.comment.csv",19
"PHI197809160",66,"$outfielder Elliott Maddox was playing 1B due to the ejection of Willie Montanez; Maddox' throw to 2B went into LF","1978PHI.EVN.regular.comment.csv",20
"PHI197809250",88,"ej,bahns101,P,crawj901,Call at 1B Stan Bahnsen ejected by 1B umpire Jerry Crawford","1978PHI.EVN.regular.comment.csv",21
"PHI197809261",38,"Debut game for Bobby Ramos","1978PHI.EVN.regular.comment.csv",22
