"CHN198404130",50,"$Jody Davis rounded 3B too far","FILENAME_TX","LINE_NUMBER_CT"
"CHN198404210",83,"$Ball rolled away from the catcher","1984CHN.EVN.regular.comment.csv",2
"CHN198405070",61,"$trying to score on would be WP","1984CHN.EVN.regular.comment.csv",3
"CHN198405080",38,"Squeeze play","1984CHN.EVN.regular.comment.csv",4
"CHN198405200",14,"$Jody Davis called for interference for running into his own batted ball","1984CHN.EVN.regular.comment.csv",5
"CHN198405270",0,"Protest=V Protest=H","1984CHN.EVN.regular.comment.csv",6
"CHN198405270",12,"ej,sotom001,P,ripps901,Fair/foul call (Bumped umpire) ej,freyj801,M,rungp901,Reversal of fair/foul call $Pitcher Soto ejected by 3B umpire Rippley for arguing that apparent home run by Cey was foul; he bumped umpire during argument; the call was reversed and Cubs manager Frey ejected by HP umpire Runge; as Soto was led back to the bench, a Wrigley Field vendor hit Soto with a cup of ice; Soto was suspended for 5 days; both teams played the rest of the game under protest; the delay for the brawl and ejections was 32 minutes","1984CHN.EVN.regular.comment.csv",7
"CHN198406120",30,"ej,bowal001,P,harrl901,Balls and strikes Larry Bowa ejected by HP umpire Lanny Harris when the fourth pitch is called a strike","1984CHN.EVN.regular.comment.csv",8
"CHN198406170",88,"Joe Lefebvre injured on play","1984CHN.EVN.regular.comment.csv",9
"CHN198406262",70,"A total guess... Moreland missing E","1984CHN.EVN.regular.comment.csv",10
"CHN198406270",7,"$Rafael Belliard broke his left leg on play","1984CHN.EVN.regular.comment.csv",11
"CHN198406270",103,"$1b Benny Distefano played about 20 feet from the plate","1984CHN.EVN.regular.comment.csv",12
"CHN198406270",105,"$RF Doug Frobel played infield between 1B and 2B","1984CHN.EVN.regular.comment.csv",13
"CHN198406270",106,"$Leon Lacy played between 3B and SS","1984CHN.EVN.regular.comment.csv",14
"CHN198407180",35,"ej,willd104,M,grege901,Requesting appeal of check swing $Padres manager Williams ejected by HP umpire Gregg for arguing that appeal should have been made to 1B umpire on check swing by Sandberg","1984CHN.EVN.regular.comment.csv",15
"CHN198407190",71,"ej,cey-r001,P,quicj901,Refusal to warn pitcher after brushback Ron Cey ejected by HP umpire Jim Quick after a brushback pitch from Mark Davis; Cey wanted Quick to warn Davis","1984CHN.EVN.regular.comment.csv",16
"CHN198407210",53,"ej,johnj002,P,harrl901,Balls and strikes $Johnstone ejected by HP umpire Harris for arguing balls and strikes","1984CHN.EVN.regular.comment.csv",17
"CHN198407210",81,"ej,morek001,P,harrl901,Balls and strikes ej,freyj801,M,harrl901,Balls and strikes ej,vukoj101,C,harrl901,Balls and strikes $Cubs manager Frey, coach Vukovish and batter Moreland all ejected by HP umpire Harris for arguing alls and strikes","1984CHN.EVN.regular.comment.csv",18
"CHN198408020",72,"$line drive off Lee Smith's shoulder, deflected to SS for out, then throw to first to complete DP","1984CHN.EVN.regular.comment.csv",19
"CHN198408030",70,"$squeeze play and pitch way inside so Larry Bowa could not bunt","1984CHN.EVN.regular.comment.csv",20
"CHN198408060",62,"ej,hernk001,P,willc901,Arguing check swing strike 3 $Hernandez ejected by 3B umpire Williams for arguing check swing strike 3","1984CHN.EVN.regular.comment.csv",21
"CHN198408072",36,"$Both teams warned after Moreland was hit","1984CHN.EVN.regular.comment.csv",22
"CHN198408072",39,"ej,freyj801,M,brocf901,Intentional HBP ej,sands001,P,brocf901,Automatic ejection after warning $Cubs manager Frey and pitch Sanderson ejected by HP umpire Brocklander automatically due to earlier warning","1984CHN.EVN.regular.comment.csv",23
"CHN198408080",0,"$Both teams warned at start of game that warning from yesterday was still in effect","1984CHN.EVN.regular.comment.csv",24
"CHN198408080",66,"ej,terrw001,P,willc901,Intentional HBP ej,johnd105,M,willc901,Automatic ejection after warning $Mets manager Johnson and pitcher Terrell ejected by HP umpire Williams automatically due to earlier warning","1984CHN.EVN.regular.comment.csv",25
"CHN198408080",80,"ej,freyj801,M,willc901,Throwing near batter after warning ej,smitl001,P,willc901,Throwing near batter after warning Lee Smith and Cubs manager Jim Frey ejected by HP umpire Charlie Williams","1984CHN.EVN.regular.comment.csv",26
"CHN198408240",62,"DWS: Brizzolara needs a WP; it has to be here","1984CHN.EVN.regular.comment.csv",27
"CHN198409100",36,"ej,connb101,C,westj901,Balls and strikes $Cubs coach Connors ejected by HP umpire West for arguing balls and strikes while Hayes was at bat","1984CHN.EVN.regular.comment.csv",28
"CHN198409100",40,"Debut game for Billy Hatcher","1984CHN.EVN.regular.comment.csv",29
"CHN198409110",60,"ej,ostec103,C,pullf901,Balls and strikes $Phillies coach Osteen ejecte by HP umpire Pulli for arguing balls and strikes while Sandberg was at bat","1984CHN.EVN.regular.comment.csv",30
"CHN198409140",23,"$Mookie Wilson overslid 2B","1984CHN.EVN.regular.comment.csv",31
"CHN198409160",60,"Debut game for Ron Meridith","1984CHN.EVN.regular.comment.csv",32
"CHN198409290",69,"$David Green twisted ankle and was helped off field","1984CHN.EVN.regular.comment.csv",33
