"BAL196904080",0,"Debut for umpire Art Frantz","FILENAME_TX","LINE_NUMBER_CT"
"BAL196904080",77,"$Mark Belanger missed bunt on strike three","1969BAL.EVA.regular.comment.csv",2
"BAL196904131",52,"ej,fox-n101,C,Catch/trap call (Reversed) $2B umpire Emmett Ashford ruled that Don Buford trapped the ball hit by Ken McMullen; Orioles manager Earl Weaver argued the call; Ashford talked with 3B umpire Art Frantz and then reversed his ruling to a catch; Senators manager Ted Williams argued the reversal; Senators coach Nellie Fox ejected by HP umpire Hank Soar","1969BAL.EVA.regular.comment.csv",3
"BAL196904210",45,"$Sam McDowell cut Paul Blair on eyelid making tag","1969BAL.EVA.regular.comment.csv",4
"BAL196905100",4,"$runners going on the pitch; throw to 2B trapped Lou Piniella; Jackie Hernandez headed home when Boog Powell failed to tag Piniella","1969BAL.EVA.regular.comment.csv",5
"BAL196905210",49,"Debut game for Jerry Crider","1969BAL.EVA.regular.comment.csv",6
"BAL196905220",54,"$Rod Carew rounded 1B too far","1969BAL.EVA.regular.comment.csv",7
"BAL196905230",54,"$Frank Robinson bruised right knee going into 3B","1969BAL.EVA.regular.comment.csv",8
"BAL196905230",60,"$Orioles manager Earl Weaver protested the game during Bert Campaneris' at bat after HP umpire Frank Umont called an automatic ball on Dave Leonhard","1969BAL.EVA.regular.comment.csv",9
"BAL196905240",14,"$Dave Johnson injured left thigh; had hurt it the  night before running into RF box railing","1969BAL.EVA.regular.comment.csv",10
"BAL196906060",59,"ej,robif103,P,hallb901,Called third strike Frank Robinson ejected by HP umpire Bill Haller","1969BAL.EVA.regular.comment.csv",11
"BAL196906100",63,"According to Wash. Post, Tatum never pitched in this game, but Ortega did enter at this time.","1969BAL.EVA.regular.comment.csv",12
"BAL196906110",1,"$Sandy Alomar called for interference for running into his own batted ball","1969BAL.EVA.regular.comment.csv",13
"BAL196906240",96,"$the Senators claimed ball was foul; 3B umpire Hank Soar conferred with HP umpire Merle Anthony","1969BAL.EVA.regular.comment.csv",14
"BAL196906280",4,"Willie Horton left with pulled muscle","1969BAL.EVA.regular.comment.csv",15
"BAL196906291",64,"ej,weave801,M,odonj901,Balls and strikes Orioles Manager Earl Weaver ejected by HP umpire Jake O'Donnell","1969BAL.EVA.regular.comment.csv",16
"BAL196906292",6,"$the ball struck Earl Wilson; he left with bruised right arm near thumb","1969BAL.EVA.regular.comment.csv",17
"BAL196907082",18,"ej,houkr101,M,stewb902,Balls and strikes Yankees Manager Ralph Houk ejected by HP umpire Bob Stewart","1969BAL.EVA.regular.comment.csv",18
"BAL196907090",56,"$Elrod Hendricks was hit on right side of jaw and neck by Bobby Murcer's bat","1969BAL.EVA.regular.comment.csv",19
"BAL196907090",84,"$Billy Cowan left injured","1969BAL.EVA.regular.comment.csv",20
"BAL196907112",43,"missing play in BAL196907112","1969BAL.EVA.regular.comment.csv",21
"BAL196907112",59,"$Boog Powell rounded 2B too far","1969BAL.EVA.regular.comment.csv",22
"BAL196907120",54,"Paul Blair sprained an ankle","1969BAL.EVA.regular.comment.csv",23
"BAL196907270",35,"ej,may-c101,P,goetr901,Called third strike (Threw bat and helmet) Carlos May ejected by HP umpire Russ Goetz after flipping bat and helmet at Goetz","1969BAL.EVA.regular.comment.csv",24
"BAL196908080",64,"ej,reesr101,P,stewb902,Called third strike Rich Reese ejected by HP umpire Bob Stewart","1969BAL.EVA.regular.comment.csv",25
"BAL196908100",57,"$Cesar Tovar broke up Mike Cuellar's no-hitter","1969BAL.EVA.regular.comment.csv",26
"BAL196909100",10,"$Don Buford kicked the ball out of Jerry Moses' hands","1969BAL.EVA.regular.comment.csv",27
"BAL196909110",65,"$Paul Blair caught the ball above the CF fence left of 410' mark","1969BAL.EVA.regular.comment.csv",28
"BAL196909120",31,"Eddie Leon injured left knee while running into box seat chasing foul pop","1969BAL.EVA.regular.comment.csv",29
"BAL196909120",32,"Mike Paul struck by batted ball","1969BAL.EVA.regular.comment.csv",30
"BAL196909140",48,"ej,mcdos101,P,barnl901,Balls and strikes ej,darka101,M,barnl901,Balls and strikes Sam McDowell and Indians Manager Al Dark ejected by HP umpire Larry Barnett","1969BAL.EVA.regular.comment.csv",31
"BAL196909190",12,"$Frank Tepedino called out on appeal for not touching HP","1969BAL.EVA.regular.comment.csv",32
