"NLS197007140",0,"$Managers: Gil Hodges (NL New York), Earl Weaver (AL Baltimore); For the first time since 1957, fans chose position starters Weaver and Hodges chose the other 40 players; Sixth AS Extra-inning game, all won by NL; eighth straight NL win; MVP: Carl Yastrzemski (Boston)","FILENAME_TX","LINE_NUMBER_CT"
"NLS197007140",71,"$homer in first All-Star at bat for Dick Dietz","1970AS.EVE.asg.comment.csv",2
"NLS197007140",100,"$Pete Rose collided with Ray Fosse","1970AS.EVE.asg.comment.csv",3
