"NYA194804230",38,"fan interference","FILENAME_TX","LINE_NUMBER_CT"
"NYA194804240",44,"$Tommy Henrich was caught in a rundown but scored when Birdie Tebbetts was called for obstruction","1948NYA.EVA.regular.comment.csv",2
"NYA194804250",17,"$Phil Rizzuto left with a pulled leg muscle","1948NYA.EVA.regular.comment.csv",3
"NYA194805040",0,"$Spec Shea: 131 pitches","1948NYA.EVA.regular.comment.csv",4
"NYA194805060",71,"HP ump Boyer calls drive down RF line fair, but nearby Yankee fans insist it was foul (NY Herald-Tribune). Browns argue call vehemently, throwing things on field.","1948NYA.EVA.regular.comment.csv",5
"NYA194805082",22,"$George Kell suffered a broken right wrist","1948NYA.EVA.regular.comment.csv",6
"NYA194805100",49,"$Tommy Henrich fell into the seats chasing the ball; he left with a bruised kneecap","1948NYA.EVA.regular.comment.csv",7
"NYA194805110",36,"umpchange,5,umphome,summb901 umpchange,5,ump2b,(None) $HP umpire Jones left when hit in throat by foul; 2B Summers went behind plate and game finished with 3 umpires","1948NYA.EVA.regular.comment.csv",8
"NYA194805140",21,"$400 feet","1948NYA.EVA.regular.comment.csv",9
"NYA194805151",66,"$Elmer Valo fell into the stands","1948NYA.EVA.regular.comment.csv",10
"NYA194805151",71,"$Elmer Valo left with injured side from falling into the seats","1948NYA.EVA.regular.comment.csv",11
"NYA194805152",23,"$the throw struck Eddie Joost on the back during rundown","1948NYA.EVA.regular.comment.csv",12
"NYA194806010",5,"fan interference","1948NYA.EVA.regular.comment.csv",13
"NYA194806010",27,"$Tommy Henrich stopped briefly at 3B","1948NYA.EVA.regular.comment.csv",14
"NYA194806020",26,"$Charlie Keller left with injured finger","1948NYA.EVA.regular.comment.csv",15
"NYA194806030",72,"$missed squeeze","1948NYA.EVA.regular.comment.csv",16
"NYA194806040",12,"Ball bounces off McQuinn's chest to Hiller who dives to bag","1948NYA.EVA.regular.comment.csv",17
"NYA194806040",20,"Hiller tries to advance on short passed ball","1948NYA.EVA.regular.comment.csv",18
"NYA194806110",36,"ej,berry101,P,hubbc901,Balls and strikes $Catcher Berra ejected by HP umpire Cal Hubbard for arguing ball call on 1-1 pitch to Boudreau","1948NYA.EVA.regular.comment.csv",19
"NYA194806110",47,"20 minute rain delay","1948NYA.EVA.regular.comment.csv",20
"NYA194807150",22,"Rizzuto missed a bunt attempt and Mapes was picked off","1948NYA.EVA.regular.comment.csv",21
"NYA194807182",0,"Weather: hot $A green canvas screen was kept up to provide background for hitters at the request of Yankee players","1948NYA.EVA.regular.comment.csv",22
"NYA194807182",67,"Game called for darkness at 6:45 PM","1948NYA.EVA.regular.comment.csv",23
"NYA194808100",3,"$Eddie Lopat left with pulled groin muscle","1948NYA.EVA.regular.comment.csv",24
"NYA194808110",14,"$the pitch struck Bill Johnson's bat as he ducked away from an inside pitch","1948NYA.EVA.regular.comment.csv",25
"NYA194808240",42,"need an E4","1948NYA.EVA.regular.comment.csv",26
"NYA194808272",31,"$missed squeeze play","1948NYA.EVA.regular.comment.csv",27
"NYA194808291",46,"$George Kell left with a double fracture of the jaw suffered when he was struck by the ball; after making the putout he was taken to a local hospital","1948NYA.EVA.regular.comment.csv",28
"NYA194809010",0,"Attendance:  14012 paid; 2500 ladies; 6308 Yankee Juniors","1948NYA.EVA.regular.comment.csv",29
"NYA194809010",86,"$Phil Rizzuto pulled a muscle","1948NYA.EVA.regular.comment.csv",30
"NYA194809250",3,"$Tommy Henrich's throw hit Johnny Pesky sliding into 2B","1948NYA.EVA.regular.comment.csv",31
