"NY1192904230",1,"Hogan: caught close to Giants dugout after a brisk run","FILENAME_TX","LINE_NUMBER_CT"
"NY1192904230",2,"The former Giant was loudly applauded as he came to bat.  He responded by driving a ball into the lower tier of RF stands.","1929NY1.EVN.regular.comment.csv",2
"NY1192904230",8,"Reese attempted to pull away from pitch but it hit his bat","1929NY1.EVN.regular.comment.csv",3
"NY1192904230",16,"Thompson: fine pickup","1929NY1.EVN.regular.comment.csv",4
"NY1192904230",17,"Thomspon knocked down sharp grounder near 2B","1929NY1.EVN.regular.comment.csv",5
"NY1192904230",18,"Just out of Welsh's reach","1929NY1.EVN.regular.comment.csv",6
"NY1192904230",23,"Twisting grounder that Thompson couldn't handle cleanly","1929NY1.EVN.regular.comment.csv",7
"NY1192904230",32,"Smart pickup, but threw wide","1929NY1.EVN.regular.comment.csv",8
"NY1192904230",36,"The crowd hooted as Hogan was passed","1929NY1.EVN.regular.comment.csv",9
"NY1192904230",39,"Reese: fine catch of looping fly","1929NY1.EVN.regular.comment.csv",10
"NY1192904230",47,"Thompson and Klein collided, but Thompson hung on","1929NY1.EVN.regular.comment.csv",11
"NY1192904230",63,"O'Doul dropped it but ruled a hit","1929NY1.EVN.regular.comment.csv",12
"NY1192904230",69,"Pop fell among Reese, Ott, and Terry","1929NY1.EVN.regular.comment.csv",13
"NY1192904230",76,"Klein: sensational 1-handed catch","1929NY1.EVN.regular.comment.csv",14
"NY1192904230",82,"Close play","1929NY1.EVN.regular.comment.csv",15
"NY1192904230",85,"Jackson: fine play","1929NY1.EVN.regular.comment.csv",16
"NY1192904230",86,"Roush: running catch robbed O'Doul","1929NY1.EVN.regular.comment.csv",17
"NY1192904230",92,"Through Terry's legs; ruled a hit","1929NY1.EVN.regular.comment.csv",18
"NY1192904230",93,"Ott: nice running catch","1929NY1.EVN.regular.comment.csv",19
"NY1192904240",8,"Phillies argued called at home","1929NY1.EVN.regular.comment.csv",20
"NY1192904240",20,"Lindstom: diving catch","1929NY1.EVN.regular.comment.csv",21
"NY1192904240",32,"Kaufmann: running over-the-shoulder catch","1929NY1.EVN.regular.comment.csv",22
"NY1192904240",58,"Into the lower tier of RF stands","1929NY1.EVN.regular.comment.csv",23
"NY1192904240",65,"Hit first pitch into the lower tier of RF stands","1929NY1.EVN.regular.comment.csv",24
"NY1192904240",71,"Reese: running catch","1929NY1.EVN.regular.comment.csv",25
"NY1192904260",2,"Knocked down high bounder","1929NY1.EVN.regular.comment.csv",26
"NY1192904260",12,"Mays' throw to Cohen trapped Mueller off 2B but the runner scrambled back safely.","1929NY1.EVN.regular.comment.csv",27
"NY1192904260",17,"Mueller: brilliant catch close to RF wall","1929NY1.EVN.regular.comment.csv",28
"NY1192904260",20,"Terry: spectacular leaping 1-hand catch","1929NY1.EVN.regular.comment.csv",29
"NY1192904260",32,"Mueller: sparkling, running catch","1929NY1.EVN.regular.comment.csv",30
"NY1192904260",38,"Into upper RF grandstand","1929NY1.EVN.regular.comment.csv",31
"NY1192904260",40,"Harper hustled back to BSN bullpen in deep LF","1929NY1.EVN.regular.comment.csv",32
"NY1192904260",42,"Harper: running, diving catch brought fans to their feet","1929NY1.EVN.regular.comment.csv",33
"NY1192904260",44,"Terry scooped up low throw","1929NY1.EVN.regular.comment.csv",34
"NY1192904260",64,"Reese: fine play","1929NY1.EVN.regular.comment.csv",35
"NY1192904260",69,"Into upper RF grandstand","1929NY1.EVN.regular.comment.csv",36
"NY1192904270",1,"Lindstrom: snappy pickup/throw robbed Smith","1929NY1.EVN.regular.comment.csv",37
"NY1192904270",3,"Ott's fine fielding held Sisler's smash to a single","1929NY1.EVN.regular.comment.csv",38
"NY1192904270",5,"Lindstrom: diving catch; as he fell, he touched 3B for DP","1929NY1.EVN.regular.comment.csv",39
"NY1192904270",6,"Harper: sparkling catch","1929NY1.EVN.regular.comment.csv",40
"NY1192904270",8,"Hard running stretched single to a double","1929NY1.EVN.regular.comment.csv",41
"NY1192904270",12,"High toss","1929NY1.EVN.regular.comment.csv",42
"NY1192904270",14,"Reese: great backhand pick-up","1929NY1.EVN.regular.comment.csv",43
"NY1192904270",30,"Jackson: fine pick-up","1929NY1.EVN.regular.comment.csv",44
"NY1192904270",32,"Through Welsh's legs","1929NY1.EVN.regular.comment.csv",45
"NY1192904270",34,"Hit the facade of the upper RF stand","1929NY1.EVN.regular.comment.csv",46
"NY1192904270",35,"Mueller: dandy running catch","1929NY1.EVN.regular.comment.csv",47
"NY1192904270",44,"Caught both Jackson and Reese napping; O'Farrell unable to make a play.","1929NY1.EVN.regular.comment.csv",48
"NY1192904270",45,"Mueller rounded 3B and fell as he attempted to stop","1929NY1.EVN.regular.comment.csv",49
"NY1192904270",60,"Against upper tier of RF stand","1929NY1.EVN.regular.comment.csv",50
"NY1192904270",69,"Smith: nifty catch","1929NY1.EVN.regular.comment.csv",51
"NY1192904270",70,"Mueller: nifty catch","1929NY1.EVN.regular.comment.csv",52
