"MIL199504260",0,"Debut for umpires Jim Schaly and Matt Bohn; the season started with replacement umpires because the staff arbiters were on strike","FILENAME_TX","LINE_NUMBER_CT"
"MIL199504260",1,"Debut game for Ray Durham","1995MIL.EVA.regular.comment.csv",2
"MIL199504260",54,"Debut game for Isidro Marquez","1995MIL.EVA.regular.comment.csv",3
"MIL199504280",33,"Debut game for Steve Sparks","1995MIL.EVA.regular.comment.csv",4
"MIL199504300",45,"Debut game for Don Wengert","1995MIL.EVA.regular.comment.csv",5
"MIL199505090",0,"Suspend=19950510,,2,2,53","1995MIL.EVA.regular.comment.csv",6
"MIL199505090",72,"suspended,19950510,MIL05,weather $game suspended and completed the next day","1995MIL.EVA.regular.comment.csv",7
"MIL199505300",16,"Debut game for Tim Unroe","1995MIL.EVA.regular.comment.csv",8
"MIL199506080",80,"ej,hargm001,M,cousd901,Balls and strikes $Indians manager Hargrove ejected by HP umpire Cousins for arguing balls and strikes on Baerga","1995MIL.EVA.regular.comment.csv",9
"MIL199506290",60,"ej,wegmb001,P,roe-r901,Intentional HBP ej,garnp001,M,roe-r901,Intentional HBP $Pitcher Wegman and Brewers manager Garner ejected by HP umpire Roe for intentional HBP","1995MIL.EVA.regular.comment.csv",10
"MIL199506290",93,"ej,dibbr001,P,roe-r901,Throwing at batter ej,listp001,P,roe-r901,Fighting $Pitcer Dibble ejected by HP umpire Ros for throwing at Listach; Listach ejected by Roe when he charged mound to githt with Dibble; benches cleared","1995MIL.EVA.regular.comment.csv",11
"MIL199507020",75,"ej,garnp001,M,craft901,Balls and strikes Brewers manager Phil Garner ejected by HP umpire Terry Craft","1995MIL.EVA.regular.comment.csv",12
"MIL199507170",32,"Debut game for Scott Baker","1995MIL.EVA.regular.comment.csv",13
"MIL199507170",73,"Debut game for Jamie McAndrew","1995MIL.EVA.regular.comment.csv",14
"MIL199507180",1,"Debut game for Steve Wojciechowski","1995MIL.EVA.regular.comment.csv",15
"MIL199508250",63,"ej,puckk001,P,merrd901,Called third strike Kirby Puckett ejected by HP umpire Durwood Merrill","1995MIL.EVA.regular.comment.csv",16
