"COL201704070",42,"replay,5,lemad001,COL,cedeg901,DEN02,,Y,M,LAN,E $when DJ LeMahieu reached 1B safely without a throw, Dodgers manager Dave Roberts challenged the slide at 2B by Charlie Blackmon; Blackmon had reached out and touched Logan Forsythe's leg; the call was overturned to runner interference on BLackmon by replay; LeMahieu was declared out and Kyle Freeman returned to 2B","FILENAME_TX","LINE_NUMBER_CT"
"COL201704090",59,"replay,7,gutif001 ,LAN,cedeg901,DEN02,,N,U,,Q $when the pitch got away from catcher Tony Wolters, the ball rolled into the Dodgers' dugout and Wolters rolled down the stairs after the ball; the runners were placed at 2B and 3B but Dodgers manager Dave Roberts asked about the runner placement; crew chief Gary Cederstrom requested a rules check and was told that since the ball went out of play, it is not reviewable","2017COL.EVN.regular.comment.csv",2
"COL201704090",80,"replay,9,gonza003,LAN,cedeg901,DEN02,,N,M,COL,T $Gerardo Parra made a diving catch of Adrian Gonzalez' sinking liner; the play was ruled no catch; Yasiel Puig was tagged out near 1B; Rockies manager Bud Black challenged the ruling on the catch; the call was upheld by replay","2017COL.EVN.regular.comment.csv",3
"COL201704220",20,"Giants center fielder Denard Span left the game due to an injured arm","2017COL.EVN.regular.comment.csv",4
"COL201704220",69,"$originally scored as error, changed to single on 04-23-2017, all runs in inning now earned, then changed back to error on 05-04-2017, making 5 runs charged to Ramirez unearned","2017COL.EVN.regular.comment.csv",5
"COL201704230",42,"replay,6,pench001,SFN,davig901,DEN02,,Y,M,SFN,C $when Hunter Pence was called out at 1B, Giants manager Bruce Bochy challenged the ruling; the call was overturned by replay","2017COL.EVN.regular.comment.csv",6
"COL201704250",69,"replay,7,zimmr001,WAS,wintm901,DEN02,,Y,M,COL,C $when Ryan Zimmerman was called safe at 1B, Rockies manager Bud Black challenged the ruling; the call was overturned by replay","2017COL.EVN.regular.comment.csv",7
"COL201704260",6,"replay,1,lemad001,COL,wintm901,DEN02,,Y,M,WAS,A $when Charlie Blackmon was called safe at 1B, Nationals manager Dusty Baker challenged the ruling; the call was overturned by replay","2017COL.EVN.regular.comment.csv",8
"COL201704260",83,"replay,9,valap001,COL,wintm901,DEN02,,N,M,COL,A $when Pat Valaika was called out at 1B, Rockies manager Bud Black challenged the ruling; the call was upheld by replay","2017COL.EVN.regular.comment.csv",9
"COL201704270",71,"replay,7,blacc001,COL,wintm901,DEN02,,N,M,WAS,C $when Charlie Blackmon was called safe at 1B, Nationals manager Dusty Baker challenged the ruling; the call was upheld by replay","2017COL.EVN.regular.comment.csv",10
"COL201705050",75,"replay,9,garnd001,COL,cuzzp901,DEN02,,N,M,COL,I $when Dustin Garneau was ruled not to have been hit by a pitch, Rockies manager Bud Black challenged the call; the call was upheld by replay as a foul tip into the mitt for strike three","2017COL.EVN.regular.comment.csv",11
"COL201705060",22,"replay,2,blacc001,COL,cuzzp901,DEN02,,Y,M,ARI,C $when Charlie Blackmon was called safe at 1B, D-Backs manager Torey Lovullo challenged the ruling; the call was overturned by replay","2017COL.EVN.regular.comment.csv",12
"COL201705070",63,"$de la Rosa left with an injury during the rain delay","2017COL.EVN.regular.comment.csv",13
"COL201705092",67,"$originally scored as E7, changed to double on 05-24-2017, making Arenado's run earned","2017COL.EVN.regular.comment.csv",14
"COL201705120",36,"replay,4,garnd001,COL,millb901,DEN02,,Y,M,LAN,A $when Pat Valaika was called safe at 2B, Dodgers manager Dave Roberts challenged the ruling; the call was overturned by replay","2017COL.EVN.regular.comment.csv",15
"COL201705140",77,"replay,8,gonzc001,COL,millb901,DEN02,,Y,M,LAN,A $when Ian Desmond was called safe at 1B, Dodgers manager Dave Roberts challenged the ruling; the call was overturned by replay","2017COL.EVN.regular.comment.csv",16
"COL201705280",66,"replay,8,arenn001,COL,barrt901,STL10,,N,M,SLN,A $when DJ LeMahieu was called safe at 3B, Cardinals manager Mike Matheny challenged the ruling; the call was upheld by replay","2017COL.EVN.regular.comment.csv",17
"COL201705300",14,"Mariners Nelson Cruz left the game due to an injured leg","2017COL.EVN.regular.comment.csv",18
