"CIN193104200",32,"$Bill Regan missed the 2B bag and then made a wild throw","FILENAME_TX","LINE_NUMBER_CT"
"CIN193106030",20,"davis101,P,clarb901,Balls and strikes","1931CIN.EVN.regular.comment.csv",2
"CIN193106110",25,"$Neal Finn left injured","1931CIN.EVN.regular.comment.csv",3
"CIN193106120",9,"$Edd Roush called for interference for running out of the baseline","1931CIN.EVN.regular.comment.csv",4
"CIN193106130",33,"30 minute rain delay","1931CIN.EVN.regular.comment.csv",5
"CIN193106160",60,"$Nick Cullop left with injured shoulder","1931CIN.EVN.regular.comment.csv",6
"CIN193107140",44,"Hit and run.","1931CIN.EVN.regular.comment.csv",7
"CIN193107150",58,"$Joe Stripp caught Rabbit Maranville with the hidden ball trick","1931CIN.EVN.regular.comment.csv",8
"CIN193107160",44,"Richbourg spiked on play.","1931CIN.EVN.regular.comment.csv",9
"CIN193107240",0,"$Ladies Day; total attendance 10,000","1931CIN.EVN.regular.comment.csv",10
"CIN193107280",55,"$Del Bissonette intentionally let the popup fall","1931CIN.EVN.regular.comment.csv",11
"CIN193109062",47,"$Leo Durocher caught Chick Hafey with the hidden ball trick when he held the throw in and Hafey wandered off base so Durocher threw to second to nab him","1931CIN.EVN.regular.comment.csv",12
"CIN193109120",25,"$Gordon Slade left with injured leg","1931CIN.EVN.regular.comment.csv",13
