"BOS200710130",24,"$David Ortiz reached base 10 consecutive times","FILENAME_TX","LINE_NUMBER_CT"
"BOS200710130",46,"$Manny Ramirez' 23rd post-season home run to top Bernie Williams' mark","2007ALCS.EVE.post.comment.csv",2
"BOS200710130",98,"$the seven runs were the most scored by any team in one extra inning in post-season history","2007ALCS.EVE.post.comment.csv",3
"CLE200710150",2,"$infield shifted to right for David Ortiz","2007ALCS.EVE.post.comment.csv",4
"CLE200710160",5,"$infield shifted to right for Travis Hafner","2007ALCS.EVE.post.comment.csv",5
"CLE200710160",6,"$Mike Lowell took the throw on SB; moved back toward 3B for the rest of Travis Hafner's at bat","2007ALCS.EVE.post.comment.csv",6
"CLE200710160",19,"$infield shifted to right for David Ortiz","2007ALCS.EVE.post.comment.csv",7
"CLE200710160",40,"$Asdrubal Cabrera hit a pop foul on the first pitch that Kevin Youkilis ran down the line to catch; he juggled the ball, eventually dropping it; Franklin Gutierrez properly ran after Youkilis first touched the ball but had to go back to 3B when the ball was dropped","2007ALCS.EVE.post.comment.csv",8
"CLE200710160",51,"$the first time a team hit 3 consecutive homers in the LCS; the third time the Red Sox have hit back-to-back homers in the 2007 post-season; first time for a team to do that","2007ALCS.EVE.post.comment.csv",9
"CLE200710180",22,"$the ball hit the top of the wall and came back onto the field; Manny Ramirez did not run it out, thinking it was a home run and only reached 1B before the Red Sox complained about the call","2007ALCS.EVE.post.comment.csv",10
"CLE200710180",35,"$infield shifted to right for David Ortiz","2007ALCS.EVE.post.comment.csv",11
"CLE200710180",36,"$David Ortiz hit the ball through the left side of the infield where no one was standing","2007ALCS.EVE.post.comment.csv",12
"CLE200710180",41,"$on the 3-0 pitch, Kenny Lofton flipped his bat to the ground and had to pick it up when it was a strike; after he hit the fly ball, Josh Beckett yelled at him and Lofton ran towards the mound; both benches cleared but the umpires and others kept the peace","2007ALCS.EVE.post.comment.csv",13
"BOS200710200",9,"$into the CF TV camera box","2007ALCS.EVE.post.comment.csv",14
"BOS200710200",18,"$infield shifted to right for David Ortiz","2007ALCS.EVE.post.comment.csv",15
"BOS200710200",32,"$Kevin Youkilis hit the ball off the LF wall and ran half way to 2B; Kenny Lofton threw the ball to 2B; Asdrubal Cabrera started to chase Youkilis back to 1B while watching Dustin Pedroia at 3B; Cabrera's toss to Ryan Garko hit Youkilis' helmet and rolled into foul territory, allowing Pedroia to score; the Indians made a half-hearted attempt to claim that Youkilis moved into the throw","2007ALCS.EVE.post.comment.csv",16
"BOS200710200",33,"$Ryan Garko stepped on the bag and threw to 2B with Kevin Youkilis trapped between the bases; Garko's throw bounced and went into CF","2007ALCS.EVE.post.comment.csv",17
"BOS200710210",7,"$the grounder hit the lip of the grass and bounced over Jhonny Peralta","2007ALCS.EVE.post.comment.csv",18
"BOS200710210",51,"$Julio Lugo called off Manny Ramirez and the ball drifted","2007ALCS.EVE.post.comment.csv",19
"BOS200710210",52,"$the ball went over the 3B bag and curved into foul territory, striking the stands and bouncing into short LF","2007ALCS.EVE.post.comment.csv",20
"BOS200710210",56,"$into the Monster Seats","2007ALCS.EVE.post.comment.csv",21
"BOS200710210",67,"$Casey Blake and Jhonny Peralta collided in the same area where Julio Lugo dropped the popup in the top of the 7th; no one touched the ball and it bounced into the seats","2007ALCS.EVE.post.comment.csv",22
"BOS200710210",76,"$Coco Crisp caught the ball and ran into the wall at the bullpen; he limped into the infield where the celebration was taking place","2007ALCS.EVE.post.comment.csv",23
