"ANA200804070",34,"Angels second baseman Howie Kendrick left the game due to an injured hand/wrist"FILENAME_TX","LINE_NUMBER_CT"

"ANA200804160",75,"Debut game for Alex Serrano"2008ANA.EVA.regular.comment.csv",2

"ANA200804190",15,"Debut game for Sean Rodriguez"2008ANA.EVA.regular.comment.csv",3

"ANA200804280",23,"ej,butcm001,C,relic901,Balls and strikes Angels Pitching Coach Mike Butcher ejected by HP umpire Charlie Reliford"2008ANA.EVA.regular.comment.csv",4

"ANA200804280",76,"Debut game for Bobby Wilson"2008ANA.EVA.regular.comment.csv",5

"ANA200805010",1,"Debut game for Nick Adenhart"2008ANA.EVA.regular.comment.csv",6

"ANA200805030",48,"ej,andeg001,P,emmep901,Called third strike Angels left fielder Garret Anderson ejected by HP umpire Paul Emmel"2008ANA.EVA.regular.comment.csv",7

"ANA200805040",23,"Attempted force at 2nd, ball dropped by shortstop, runner went past bag, run down at third. 2bman Roberts gets assist"2008ANA.EVA.regular.comment.csv",8

"ANA200805140",71,"Debut game for Jose Arredondo"2008ANA.EVA.regular.comment.csv",9

"ANA200805310",72,"$Reggie Willits called for interference"2008ANA.EVA.regular.comment.csv",10

"ANA200806090",22,"$Evan Longoria called for interference"2008ANA.EVA.regular.comment.csv",11

"ANA200806110",56,"ej,maddj801,M,cousd901,Balls and strikes Rays Manager Joe Maddon ejected by HP umpire Derryl Cousins"2008ANA.EVA.regular.comment.csv",12

"ANA200806140",1,"Debut game for Charlie Morton"2008ANA.EVA.regular.comment.csv",13

"ANA200806160",56,"Originally scored E3, changed to single next day"2008ANA.EVA.regular.comment.csv",14

"ANA200806170",0,"$Jerry Manuel's first game as manager of the Mets; Willie Randolph had been fired after the last game, along with two coaches"2008ANA.EVA.regular.comment.csv",15

"ANA200806170",1,"Reyes left with tightness in left hamstring"2008ANA.EVA.regular.comment.csv",16

"ANA200806170",68,"$Gary Matthews called for interference"2008ANA.EVA.regular.comment.csv",17

"ANA200807020",13,"Debut game for Wes Bankston"2008ANA.EVA.regular.comment.csv",18

"ANA200807050",41,"originally scored 4E3, changed to single next day"2008ANA.EVA.regular.comment.csv",19

"ANA200807200",68,"$Pitch in dirt, bounced nearly back to mound where Rodriguez fielded it to get out at first"2008ANA.EVA.regular.comment.csv",20

"ANA200807220",30,"Angels pitcher Jered Weaver left the game due to an injured back"2008ANA.EVA.regular.comment.csv",21

"ANA200807230",8,"$Chone Figgins called for interference"2008ANA.EVA.regular.comment.csv",22

"ANA200808050",1,"Debut game for Chris Waters"2008ANA.EVA.regular.comment.csv",23

"ANA200808050",63,"Debut game for Luis Montanez"2008ANA.EVA.regular.comment.csv",24

"ANA200808080",68,"Angels runner Reggie Willits collided with Yankees pitcher Brian Bruney and suffered a concussion, leaving the game"2008ANA.EVA.regular.comment.csv",25

"ANA200808130",75,"$Izturis left the game due to an injured hand/wrist"2008ANA.EVA.regular.comment.csv",26

"ANA200808130",79,"ej,rodrf003,P,davig901,Balls and strikes $Pitcher Rodriguez ejected by HP umpire Davis for arguing balls and strikes after being removed from game"2008ANA.EVA.regular.comment.csv",27

"ANA200808240",10,"Angels left fielder Garret Anderson left the game due to an injured knee"2008ANA.EVA.regular.comment.csv",28

"ANA200808240",73,"ej,spand001,P,gormb901,Called third strike to end the game $Denard Span was ejected by HP umpire Brian Gorman after the game was over"2008ANA.EVA.regular.comment.csv",29

"ANA200808270",44,"Angels second baseman Howie Kendrick left the game due to an injured leg"2008ANA.EVA.regular.comment.csv",30

"ANA200808270",69,"ej,sciom001,M,schrp901,Balls and strikes Angels Manager Mike Scioscia ejected by HP umpire Paul Schrieber"2008ANA.EVA.regular.comment.csv",31

"ANA200808310",36,"ej,sciom001,M,hohnb901,Balls and strikes Angels Manager Mike Scioscia ejected by HP umpire Bill Hohn for arguing a check swing call; Hohn ignored catcher Jeff Mathis' request for Hohn to ask the third base umpire for help"2008ANA.EVA.regular.comment.csv",32

"ANA200808310",55,"ej,washr001,M,hohnb901,Balls and strikes Rangers Manager Ron Washington ejected by HP umpire Bill Hohn for arguing the check swing third strike; Washington had asked for Hohn to get help on the call"2008ANA.EVA.regular.comment.csv",33

"ANA200808310",62,"ej,lairg001,P,hohnb901,Called third strike Rangers catcher Gerald Laird ejected by HP umpire Bill Hohn"2008ANA.EVA.regular.comment.csv",34

"ANA200809080",54,"ej,huntt001,P,barrt901,Fighting with Ivan Rodriguez ej,rodri001,P,barrt901,Fighting with Torii Hunter $Torii Hunter came into the plate standing and bumped catcher Ivan Rodriguez; Rodriguez then gave Hunter a small shove and started walking towards the mound; Hunter took a couple of steps and pushed Rodriguez, who turned and, after removing his mask, tried to get back to Hunter; plate umpire Ted Barrett restrained Rodriguez, preventing him from connecting with an open-handed swing at Hunter; both benches emptied but there was no further action; both players were ejected by Barrett; a few minutes later, Yankees pitching coach Dave Eiland fainted in the dugout; he had been fighting a cold and had not eaten since early in the afternoon"2008ANA.EVA.regular.comment.csv",35

"ANA200809080",68,"Debut game for Kevin Jepsen"2008ANA.EVA.regular.comment.csv",36

"ANA200809080",74,"Debut game for Freddy Sandoval"2008ANA.EVA.regular.comment.csv",37

"ANA200809090",39,"Angels center fielder Torii Hunter left the game due to an injured leg"2008ANA.EVA.regular.comment.csv",38

"ANA200809120",31,"Angels right fielder Vladimir Guerrero left the game due to an injured knee"2008ANA.EVA.regular.comment.csv",39

"ANA200809130",70,"Angels right fielder Juan Rivera left the game due to an injured leg"2008ANA.EVA.regular.comment.csv",40

