"DET195604292",77,"370 feet"FILENAME_TX","LINE_NUMBER_CT"

"DET195605110",0,"53 minute rain delay before start of game"1956DET.EVA.regular.comment.csv",2

"DET195605130",4,"$Earl Torgeson caught Minnie Minoso with the hidden ball trick"1956DET.EVA.regular.comment.csv",3

"DET195605150",49,"390 feet"1956DET.EVA.regular.comment.csv",4

"DET195605160",19,"$Mel Parnell sprained ankle sliding into 2B"1956DET.EVA.regular.comment.csv",5

"DET195605160",74,"ej,hitcb101,C,berrc103,Fair/foul call Tigers Coach Billy Hitchcock ejected by HP umpire Charlie Berry arguing that Frank House's tapper to the left of HP was foul"1956DET.EVA.regular.comment.csv",6

"DET195605190",3,"Palmer doesn't credit Philley with walk pitcher Maas BBs correct as is"1956DET.EVA.regular.comment.csv",7

"DET195605190",56,"Palmer doesn't credit Philley with walk pitcher Maas BBs correct as is"1956DET.EVA.regular.comment.csv",8

"DET195605260",26,"$Earl Torgeson caught foul at dugout steps"1956DET.EVA.regular.comment.csv",9

"DET195605260",51,"8 minute rain delay"1956DET.EVA.regular.comment.csv",10

"DET195605271",25,"$375 feet"1956DET.EVA.regular.comment.csv",11

"DET195606180",64,"$the second ball ever hit completely out of Tiger Stadium"1956DET.EVA.regular.comment.csv",12

"DET195606190",24,"$Bob Grim left with a severe headache"1956DET.EVA.regular.comment.csv",13

"DET195606260",0,"Protest=V Protest=H"1956DET.EVA.regular.comment.csv",14

"DET195606260",6,"$Ernie Oravetz appeared to catch Jack Phillips' fly ball at the wall; Oravetz threw to 1B and Roy Sievers stepped on the bag for an apparent double play since Harvey Kuenn had run to 3B; 3B umpire John Rice ruled the ball hit the screen before Oravetz caught it; Senators manager Chuck Dressen ran onto the field arguing with Rice; Dressen protested the game; Sievers tagged Phillips, who was ruled out for not being on the bag; Tigers manager Bucky Harris protested the game"1956DET.EVA.regular.comment.csv",15

"DET195606260",44,"game called for rain; to be replayed"1956DET.EVA.regular.comment.csv",16

"DET195607241",13,"ej,richp101,M,stevj901,Balk call Orioles Manager Paul Richards ejected by HP umpire Johnny Stevens"1956DET.EVA.regular.comment.csv",17

"DET195607260",82,"ej,tighj801,C,romme101,Bench jockeying $Tigers coach Tighe ejected by 3B umpire Rommel for bench jockeying"1956DET.EVA.regular.comment.csv",18

"DET195608030",42,"$Bob Cerv hit wall and injured right knee"1956DET.EVA.regular.comment.csv",19

"DET195608050",0,"$42 minute rain delay before start of game"1956DET.EVA.regular.comment.csv",20

"DET195608050",85,"1:27 rain delay"1956DET.EVA.regular.comment.csv",21

"DET195608110",6,"44 minute rain delay"1956DET.EVA.regular.comment.csv",22

"DET195609180",7,"Palmer charged Maxwell SF as SH to P Johnson"1956DET.EVA.regular.comment.csv",23

